DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
697947,1,3,80,2,,,,2,,2,,1,1,,2,,2,1,66,84.051.519.442.203
697947,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,84.051.519.442.203
697947,1,5,80,2,,,,2,,2,,2,,.,,,2,1,66,84.051.519.442.203
697952,1,2,80,2,,,,2,,2,,1,4,,9,,2,1,66,929.045.249.320.908
697952,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,66,929.045.249.320.908
697952,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,929.045.249.320.908
697953,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,843.609.233.300.208
697956,1,2,80,1,4,7,,2,,2,,,,,9,2,2,1,66,83.400.112.691.906
697956,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,83.400.112.691.906
697960,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,66,649.054.192.282.801
697960,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,649.054.192.282.801
697962,1,2,80,1,1,5,,2,,2,,,1,,9,1,2,1,66,497.410.791.255.895
697962,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,497.410.791.255.895
697964,1,2,80,1,4,1,,2,,2,,,,,9,2,2,1,66,11.893.766.235.292
698653,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,146.788.835.373.968
698653,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,146.788.835.373.968
698653,1,8,80,2,,,,2,,2,,2,,.,,,2,1,15,146.788.835.373.968
698657,1,2,80,1,3,3,,2,,2,,,,,1,2,2,1,15,243.001.786.878.156
698657,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,243.001.786.878.156
698657,1,4,80,1,4,4,,2,,2,,,,,8,2,2,1,15,243.001.786.878.156
698666,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,265.274.769.638.161
698666,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,265.274.769.638.161
698671,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,237.366.340.235.149
698671,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,237.366.340.235.149
698684,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,417.953.796.790.029
698684,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,417.953.796.790.029
698684,1,7,80,2,,,,2,,2,,2,,.,,,2,1,15,417.953.796.790.029
698689,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,323.350.917.705.543
698691,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,158.070.544.530.128
698691,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,158.070.544.530.128
698694,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,176.876.055.512.185
698695,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,250.188.919.567.638
698705,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,234.151.715.847.893
698705,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,234.151.715.847.893
698709,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,149.823.887.942.076
698710,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,135.000.562.196.553
698710,1,2,80,1,4,4,,3,,2,,,,,8,2,2,1,15,135.000.562.196.553
698710,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,135.000.562.196.553
698715,1,2,80,1,4,3,,2,,2,,,,,4,2,2,1,15,426.130.085.986.687
698715,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,426.130.085.986.687
698715,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,426.130.085.986.687
698733,1,1,80,1,4,3,,2,,2,,,,,8,2,2,1,15,120.568.322.097.862
698735,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698739,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,15,387.912.784.023.727
698739,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,387.912.784.023.727
698743,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,224.270.131.445.598
698743,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,224.270.131.445.598
698746,1,1,80,1,4,3,,2,,2,,,,,8,2,2,1,15,174.140.057.706.684
698747,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698749,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698749,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698752,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,141.982.697.761.342
698752,1,5,80,1,4,3,,2,,2,,,,,8,2,2,1,15,141.982.697.761.342
698754,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,227.667.235.832.152
698754,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,227.667.235.832.152
698759,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,280.689.529.948.403
698759,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,280.689.529.948.403
698770,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,335.669.155.888.816
698770,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,335.669.155.888.816
698774,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,256.354.331.216.503
698779,1,7,80,2,,,,2,,2,,2,,.,,,2,1,15,128.630.153.422.995
698782,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,160.787.513.368.337
698784,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,256.354.331.216.503
698784,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,256.354.331.216.503
698796,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698796,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698830,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698838,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,134.213.972.379.984
698838,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,134.213.972.379.984
698860,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,120.568.322.097.862
698860,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698860,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698860,1,11,80,1,4,3,,2,,2,,,,,4,2,2,1,15,120.568.322.097.862
698866,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,15,255.038.471.769.136
698870,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,15,325.483.501.068.833
698873,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,210.295.143.697.748
698881,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,317.518.397.773.073
698881,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,317.518.397.773.073
698906,1,3,80,1,1,3,,2,,2,,,,,1,2,2,1,15,197.491.593.332.552
698906,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,197.491.593.332.552
698906,1,5,80,1,1,1,,2,,2,,,,,2,2,2,1,15,197.491.593.332.552
698906,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,197.491.593.332.552
698906,1,7,80,2,,,,2,,2,,2,,.,,,2,1,15,197.491.593.332.552
698907,1,2,80,1,1,7,,2,,2,,,,,1,2,2,1,15,120.568.322.097.862
698910,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,15,27.651.375.958.051
698910,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,15,27.651.375.958.051
698910,1,4,80,1,1,1,,2,,2,,,,,2,2,2,1,15,27.651.375.958.051
698921,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,140.398.412.996.141
698921,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,140.398.412.996.141
698921,1,7,80,2,,,,2,,2,,2,,.,,,2,1,15,140.398.412.996.141
698928,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,283.425.527.753.904
698948,1,1,80,1,3,3,,2,,2,,,,,4,2,2,1,15,256.354.331.216.503
698950,1,2,80,1,1,8,POR EMBARAZO,2,,2,,,,,9,2,2,1,15,221.482.795.215.994
698953,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,222.683.053.897.354
698953,1,7,80,2,,,,2,,2,,2,,.,,,2,1,15,222.683.053.897.354
698953,1,9,80,2,,,,2,,2,,2,,.,,,2,1,15,222.683.053.897.354
698953,1,10,80,2,,,,2,,2,,2,,.,,,2,1,15,222.683.053.897.354
698959,1,3,80,1,2,2,,2,,2,,,,,1,2,2,1,15,341.853.596.504.973
698961,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,15,256.354.331.216.503
698961,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,256.354.331.216.503
698967,1,2,80,1,4,8,POR LA EDAD,2,,2,,,,,8,2,2,1,15,280.689.529.948.403
698968,1,3,80,1,3,1,,2,,2,,,,,2,2,2,1,15,120.568.322.097.862
698968,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,120.568.322.097.862
698970,1,3,80,1,4,8,POR LA EDAD,2,,2,,,,,8,2,2,1,15,164.185.313.129.952
698973,1,2,80,2,,,,2,,2,,2,,.,,,2,1,15,325.483.501.068.833
698974,1,1,80,2,,,,3,,2,,1,4,,10,,2,1,15,316.844.615.939.467
698974,1,3,80,1,4,1,,2,,2,,,,,2,2,2,1,15,316.844.615.939.467
698974,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,316.844.615.939.467
699008,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,134.213.972.379.984
699008,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,134.213.972.379.984
699010,1,1,80,1,2,3,,2,,2,,,,,4,2,2,1,15,188.579.078.746.124
699010,1,2,80,2,,,,2,,2,,1,4,,4,,2,1,15,188.579.078.746.124
699010,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,188.579.078.746.124
699010,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,188.579.078.746.124
699010,1,6,80,2,,,,2,,2,,2,,.,,,2,1,15,188.579.078.746.124
699017,1,1,80,1,1,3,,2,,2,,,,,4,2,2,1,15,323.350.917.705.543
699021,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,270.275.187.757.207
699028,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,284.760.416.168.562
699028,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,284.760.416.168.562
699031,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,308.597.959.351.415
699034,1,2,80,1,3,3,,2,,2,,,,,4,2,2,1,15,12.989.536.982.132
699045,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,289.609.968.370.061
699045,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,289.609.968.370.061
699049,1,3,80,2,,,,2,,2,,2,,.,,,2,1,15,191.307.152.716.394
699049,1,4,80,2,,,,2,,2,,2,,.,,,2,1,15,191.307.152.716.394
699049,1,5,80,2,,,,2,,2,,2,,.,,,2,1,15,191.307.152.716.394
699051,1,1,80,1,4,8,POR LA EDAD,2,,2,,,,,8,2,2,1,15,256.354.331.216.503
699051,1,2,80,1,4,8,POR LA EDAD,2,,2,,,,,8,2,2,1,15,256.354.331.216.503
701091,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,124.452.014.133.642
701093,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,127.619.285.664.615
701096,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,130.538.256.610.931
701098,1,2,80,1,3,3,,2,,2,,,,,9,2,2,1,63,742.901.301.994.899
701098,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,742.901.301.994.899
701100,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,63,744.475.877.329.104
701100,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,744.475.877.329.104
701104,1,1,80,1,4,3,,2,,2,,,,,8,2,2,1,63,140.852.589.578.181
701104,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,63,140.852.589.578.181
701110,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,116.717.567.864.869
701113,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,63,127.243.883.919.067
701114,1,1,80,1,2,2,,2,,2,,,2,,9,1,2,1,63,570.538.392.042.074
701117,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,116.374.500.811.604
701117,2,1,80,1,4,3,,2,,2,,,,,4,2,2,1,63,116.374.500.811.604
701120,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,617.289.646.560.369
701122,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,150.449.751.003.186
701124,1,2,80,1,3,1,,2,,2,,,,,2,2,2,1,63,938.444.012.884.723
701124,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,938.444.012.884.723
701125,1,1,80,1,3,8,VENTA DE LA FINCA,2,,2,,,,,8,2,2,1,63,859.243.454.998.553
701125,1,2,80,1,4,8,REEMPLAZARON EL PERSONAL POR MAQUINAS SELECCIONANDO,2,,2,,,,,8,2,2,1,63,859.243.454.998.553
701125,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,859.243.454.998.553
701127,1,1,80,1,2,3,,2,,2,,,,,4,2,2,1,63,992.784.952.226.347
701127,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,992.784.952.226.347
701127,2,4,80,1,2,7,,2,,2,,,,,8,2,2,1,63,992.784.952.226.347
701127,2,5,80,2,,,,2,,2,,2,,.,,,2,1,63,992.784.952.226.347
701132,1,1,80,1,4,3,,3,,2,,,,,4,2,2,1,63,956.613.065.656
701136,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,63,955.038.490.321.794
701136,1,3,80,1,1,1,,2,,2,,,1,,2,1,2,1,63,955.038.490.321.794
701137,1,1,80,1,3,3,,3,,2,,,,,4,2,2,1,63,143.416.669.155.531
701137,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,143.416.669.155.531
701139,1,2,80,1,1,7,,2,,2,,,,,2,2,2,1,63,114.900.662.587.741
701139,1,3,80,1,3,5,,2,,2,,,,,2,2,2,1,63,114.900.662.587.741
