DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6016,P6020,P6030,P6030S1,P6030S3,P6050,P6060,P6060S1,P6070,P6081S1,P6081,P6082,P6083S1,P6083,P6084,P6085,P6071S1,P6071,P6085S1,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6992,P6992S1,P6160,P6170,P6175,P6180,P6180S1,P6180S2,P6190,P6190S1,P6200,P6200S1,P6210,P6210S1,P6220,P6177,P6177S1,P6040,DPTO,fex_c_2011
678025,1,1,17,10,1,1,1,4,1971,1,2,,6,,3,2,2,1,,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,5,11,2,,,37,17,151.141.403.708.679
678025,1,2,17,10,2,2,1,3,1947,5,2,,5,,3,2,,2,2,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,61,17,151.141.403.708.679
678026,1,1,17,10,1,1,1,6,1965,1,2,,3,,3,2,,2,2,2,2,1,,1,,,3,,,2,,.,1,2,,,,,,,,,3,4,,,,42,17,162.511.726.621.883
678026,1,2,17,10,2,2,1,3,1969,2,2,,3,,2,2,,3,2,2,1,1,,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,39,17,162.511.726.621.883
678026,1,3,17,10,2,1,1,2,1994,3,2,,6,1,1,,2,1,,2,,,,1,,,1,5,,2,,.,1,1,1,2,,,2,,2,,4,8,,,,14,17,162.511.726.621.883
678026,1,4,17,10,2,2,1,7,1999,3,2,,,1,1,,2,1,,2,,,,1,,,1,5,,2,,.,1,1,1,1,0,1200,2,,2,,3,2,,,,8,17,162.511.726.621.883
678028,1,1,17,10,1,1,1,12,1967,1,2,,2,,3,1,,2,1,2,2,1,,1,,,3,,,2,,.,2,2,,,,,,,,,1,0,,,,40,17,118.733.636.116.284
678028,1,2,17,10,2,2,1,8,1958,2,2,,2,,2,1,,2,1,2,1,1,,1,,,3,,,2,,.,1,2,,,,,,,,,3,2,,,,49,17,118.733.636.116.284
678028,1,3,17,10,2,2,1,10,2000,4,2,,,,2,2,,2,2,2,,,,1,,,3,,,2,,.,2,1,1,1,0,500,2,,2,,3,1,,,,7,17,118.733.636.116.284
678029,1,1,17,10,1,1,1,3,1983,1,2,,6,,2,2,3,1,,2,,,,1,,,1,1,18460,2,,.,1,2,,,,,,,,,5,10,1,,,25,17,150.080.772.454.268
678029,1,2,17,10,1,2,1,11,2005,3,2,,,1,1,,,2,2,2,,,,1,,,1,5,,2,,.,,,,,,,,,,,,,,,,2,17,150.080.772.454.268
678029,1,3,17,10,3,2,1,11,1950,5,2,,4,,3,2,,3,2,2,,,,1,,,1,5,,2,,.,1,2,,,,,,,,,3,2,,,,57,17,150.080.772.454.268
678030,1,1,17,10,1,1,1,8,1974,1,2,,2,,2,2,,3,2,2,2,1,,1,,,1,1,18460,2,,.,1,2,,,,,,,,,5,11,2,,,33,17,178.509.335.398.771
678030,1,2,17,10,2,2,1,1,1977,2,2,,2,,2,2,,2,2,2,1,1,,1,,,1,5,,2,,.,1,2,,,,,,,,,3,5,,,,31,17,178.509.335.398.771
