DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4229761;1;4;1;70;50;28;48;1; ;2;28;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;12;12;75;1;2;7512;01;50;232,784686025035
4229761;1;6;1;70;50;6;48;1; ;2;6;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;45;99;52;1;1;5249;01;50;232,784686025035
4229762;1;2;1;70;50;4;50;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;170000;54;54;85;1;1;8532;01;50;272,437601916813
4229766;1;3;1;70;50;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;37;97;51;1;1;5155;01;50;235,545181575906
4229768;1;3;1;70;50;16;48;1; ;2;16;1; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;58;58;74;1;2;7492;01;50;247,480896963203
4229770;1;1;1;70;50;3;48;1; ;2;3;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;58;58;45;1;1;4530;01;50;281,324959061395
4229770;1;3;1;70;50;2;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;85;85;50;1;1;5020;01;50;281,324959061395
4229771;1;4;1;70;50;24;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;53;55;1;2;5530;01;50;215,61657967653
4229793;1;1;1;70;50;12;48;1; ;2;28;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;70;1;1;7020;01;50;251,213096085019
4229796;1;4;1;70;50;24;24;1; ;2;24;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;55;1;2;5521;01;50;253,281906497443
4229797;1;2;1;70;50;8;48;1; ;2;8;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5211;01;50;234,703924673309
4229802;1;1;1;70;52;52;24;1; ;2;77;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;05;41;1;2;4100;01;52;176,943266817675
4229807;1;1;1;70;52;3;40;2; ;2;3;2; ;9;2;1; ; ;1; ; ; ; ; ; ; ; ;1;930000;19;19;80;1;1;8050;01;52;227,907422910143
4229808;1;2;1;70;52;1;48;4; ;2;192;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;32;60;1;1;6022;01;52;212,17380644252
4229817;1;3;1;70;52;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;52;200,797401435567
4229821;1;2;1;70;52;8;40;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;99;44;44;64;1;1;6421;01;52;256,245550401578
4229822;1;2;1;70;52;156;48;1; ;2;98;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;13;32;80;1;2;8043;01;52;158,462620171958
