DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927797;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;26400000;2;1;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;664,816268190981
3927799;1;1;1;95;2; ; ; ; ; ; ;1;2;2;3600000; ; ; ; ;2;2;1; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;177,430387192315
3927799;1;3;1;95;2; ; ; ; ; ; ;1;1;2; ; ; ;720000; ;2;2;2; ;2; ; ;1;720000; ; ; ;17;02;1;720000; ; ; ; ; ; ; ;17;177,430387192315
3927799;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;177,430387192315
3927800;1;1;1;95;1;1;2; ; ;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;557,016286266355
3927800;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;557,016286266355
3927800;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;557,016286266355
3927800;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;557,016286266355
3927801;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;779,718948810775
3927801;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;779,718948810775
3927801;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;779,718948810775
3927802;1;1;1;95;1;2;1; ;2000000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;741,89393258228
3927802;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;741,89393258228
3927803;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;800,081568946594
3927814;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;852,276504195022
3927814;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;852,276504195022
3927815;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;13200000;2;1;2; ;2; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1042,20455438545
3927815;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;02; ; ; ; ; ; ; ; ; ;05;1042,20455438545
