DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4205786;1;2;1;70;2;24;48;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;2;5521;11;50;3058,47301656743
4205874;1;2;1;70;2;4;40;1; ;2;32;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;11;50;1935,74794964965
4205889;1;2;1;70;2;12;48;1; ;2;12;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;95;1;1;9500;11;50;2691,08637782789
4205916;1;1;1;70;2;28;40;1; ;2;28;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;56;95;1;2;9500;11;50;868,706845392703
4205925;1;2;1;70;2;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;53;55;1;1;5529;11;50;1940,32989138717
4206067;1;3;1;70;2;4;48;3; ;2;4;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;280000;62;62;95;1;1;9500;11;08;5355,18256604825
4206074;1;3;1;70;2;13;50;1; ;2;13;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;00;00;00;1;1;0000;11;08;5624,59647404484
4206124;1;3;1;70;2;40;40;1; ;2;40;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;87;87;28;1;2;2811;11;15;1062,5941635186
4206177;1;4;1;70;2;8;40;1; ;2;8;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;11;15;633,393089420408
4206402;1;2;1;70;2;40;40;1; ;2;75;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5233;11;18;485,589684468693
4206470;1;2;1;70;2;20;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;2;5521;11;18;570,722566723167
4206504;1;7;1;70;2;4;48;1; ;2;96;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8511;11;18;1820,26480575824
4206533;1;5;1;70;2;8;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;19;3713,75833542307
4206553;1;1;1;70;2;4;48;1; ;2;12;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;11;19;2830,17294071062
4206556;1;4;1;70;2;4;48;1; ;2;48;1; ;9;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;32;39;52;1;1;5211;11;19;2017,00947554972
4206557;1;2;1;70;2;16;40;1; ;2;16;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;05;97;45;1;2;4530;11;19;2009,31792222075
4206579;1;3;1;70;2;8;40;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;11;19;2234,49852252129
4206584;1;3;1;70;2;12;48;1; ;2;36;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;75;1;1;7524;11;19;1512,38203709972
4206618;1;3;1;70;2;32;40;1; ;2;52;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;01;1;2;0123;11;19;1169,4034907658
4206620;1;2;1;70;2;20;40;1; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;53;54;95;1;2;9500;11;19;2270,09163992748
4206633;1;1;1;70;2;32;30;2; ;2;52;1; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;55;55;74;1;2;7493;11;19;1054,02822764452
