DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;clase;MES;OCI;RAMA4D_R4;OFICIO;RAMA2D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5160781;1;9;1;60;23;2; ; ; ; ; ; ; ; ; ; ;12;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;12;2; ;12; ; ;3;8; ;2; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;0113;62;01; ;23;1517,95013914259; 
5160782;1;1;1;60;23;2; ; ; ; ; ; ; ; ; ; ;240;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;3;200000;1;8000000;3; ;12;1;2;1;0;1;3;1;2;30;2; ;30; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;4; ;1;23;16;4; ;150000;2;1;3;3;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;2;5; ;2;03;1;0113;61;01;350000;23;1621,071013284; 
5160782;1;2;1;60;23;2; ; ; ; ; ; ; ; ; ; ;7;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;7; ; ; ; ; ; ; ; ;20;2; ;20; ; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;1040;77;10; ;23;1621,071013284; 
5160782;1;3;1;60;23;2; ; ; ; ; ; ; ; ; ; ;48;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;24;2; ;24; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;2;3; ;2;03;1;0113;62;01; ;23;1621,071013284; 
5160783;1;1;1;60;23;2; ; ; ; ; ; ; ; ; ; ;129;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;180000;1;2000000;3; ;12;2; ; ; ; ;3;9;2;30;2; ;30; ; ;1;8; ;7; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;26;6; ;1;23;14;4; ;0;1;8;3;3;5;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1;2;2;1;2;1;1;3; ;2;03;1;0161;61;01;180000;23;1866,50537430238; 
5160783;1;2;1;60;23;2; ; ; ; ; ; ; ; ; ; ;12;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;30000;1;360000;3; ;12;2; ; ; ; ;3;4;2;20;2; ;20; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;5619;77;56;30000;23;1866,50537430238; 
5160785;1;1;1;60;23;2; ; ; ; ; ; ; ; ; ; ;480;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;500000;1;8000000;3; ;12;1;1;1;0;0;3;1;2;50; ;.;40;6; ;2;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;40;4; ;2; ; ; ; ; ; ; ;3;10;20;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;3; ;2;03;1;1630;95;16;500000;23;895,127427014895; 
5160785;1;3;1;60;23;2; ; ; ; ; ; ; ; ; ; ;300;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;3;500000;1;5000000;3; ;12;1;1;1;0;0;3;1;1;30;2; ;30; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;26;4; ;1;23;10;6; ; ;2;6;3;3;25;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;8; ;2;03;1;0113;61;01;500000;23;895,127427014895; 
5160785;1;4;1;60;23;2; ; ; ; ; ; ; ; ; ; ;24;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;80000;1;1400000;3; ;12;1;1;0;0;1;3;1;2;12;2; ;12; ; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;24;1; ;2; ; ; ; ; ; ; ;1;14; ;2; ; ; ;1;1;1;1;2;2;2;1;2;1;2; ;1;1;2;2;2;2;2;1;3; ;2;03;1;5619;53;56;80000;23;895,127427014895; 
5160786;1;1;1;60;23;2; ; ; ; ; ; ; ; ; ; ;240;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;700000;1;10000000;3; ;12;1;1;1;0;0;2;5;2;40; ;.;40; ; ;2;8; ;3; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;0;120;1; ;2; ; ; ; ; ; ; ;3;10;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;0150;61;01;700000;23;895,127427014895; 
5160786;1;3;1;60;23;1;1; ; ;1; ; ;1;2;2;2;24;8; ;1; ;2;300000;2; ; ;1;100000;1;100000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;240;4; ;2; ; ; ; ; ; ; ;8;3;15;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;0150;62;01;500000;23;895,127427014895; 
5160786;1;4;1;60;23;1;1; ; ;1; ; ;1;2;2;2;24;3; ;1; ;2;100000;2; ; ;1;100000;1;100000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;3; ;2; ; ; ; ; ; ; ;6;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;9700;54;97;300000;23;895,127427014895; 
5160788;1;1;1;60;76;1;1; ; ;1; ; ;1;2;2;2;0;8; ;2; ;2;50000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;18;1; ;18; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;4; ;2; ; ; ; ; ; ; ;8;3;30;1;30;2;1;1;1;2;1;2;1;2;1;1;2;2; ;2;1;1;2;1;2;2;1;2; ;2;03;1;0123;62;01;50000;76;11434,6538297655; 
5160788;1;3;1;60;66;1;1; ; ;1; ; ;1;2;2;2;0;8; ;7;SE LO OFRECIERON;2;500000;2; ; ;1;240000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;45; ;.;45; ; ;3;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;4; ;1;76;3;4; ;180000;1;8;13;3;20;1;15;2;1;1;1;1;1;2;1;2;2;1;2;2; ;2;1;1;2;1;2;2;1;3; ;2;03;1;0123;62;01;920000;76;11434,6538297655; 
5160789;1;1;1;60;76;1;1; ; ;1; ; ;1;2;2;2;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;200000;1;1800000;3; ;10;2; ; ; ; ;3;1;1;45; ;.;40;1; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;120;4; ;2; ; ; ; ; ; ; ;9;3;15;1;10;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;5; ;2;03;1;0161;61;01;200000;76;2858,66345744137; 
5160789;1;2;1;60;66;1;1; ; ;1; ; ;1;2;2;2;4;8; ;1; ;2;490000;2; ; ;1;240000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;45; ;.;63; ; ;3;8; ;12;CON SU SUELDO;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;8; ;2; ; ; ; ; ; ; ;7;3;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;2;03;1;0123;62;01;730000;76;2858,66345744137; 
5160802;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;288;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;0;1;1800000;3; ;12;2; ; ; ; ;3;1;1;15;1; ;0;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;120;6; ;2; ; ; ; ; ; ; ;3;3;30;1;15;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;2;03;1;0113;61;01;0;68;2575,15210446188; 
5160802;1;3;1;60;68;2; ; ; ; ; ; ; ; ; ; ;72;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;400000;1;4800000;3; ;12;2; ; ; ; ;2;1;1;36;2; ;28;6; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;2; ;2; ; ; ; ; ; ; ;1;3;60;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;8; ;2;03;1;0161;61;01;400000;68;2575,15210446188; 
5160804;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;120;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;60000;1;1150000;3; ;12;2; ; ; ; ;3;4;2;30;2; ;30; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;60;1; ;2; ; ; ; ; ; ; ;3;3;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;0123;61;01;60000;68;1905,67507510896; 
5160805;1;1;1;60;15;2; ; ; ; ; ; ; ; ; ; ;48;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;400000;1;4800000;3; ;12;2; ; ; ; ;2;1;1;45; ;.;45; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;3;1;40;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;8; ;2;03;1;0161;61;01;400000;68;2883,62622708847; 
5160806;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;300;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;450000;1;5400000;3; ;12;2; ; ; ; ;2;9;2;40; ;.;40; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;10;35;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;1;1;5; ;2;03;1;0161;61;01;450000;68;1905,67507510896; 
5160818;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;240;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;450000;1;3800000;3; ;12;1;1;0;0;1;3;1;2;20;2; ;20; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;120;1; ;2; ; ; ; ; ; ; ;10;3;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;3; ;2;03;1;0113;61;01;450000;68;1597,20095248237; 
5160818;1;2;1;60;68;2; ; ; ; ; ; ; ; ; ; ;240;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;20;2; ;20; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;10;1;20;2;1;1;1;2;1;2;1;2;2;1;1;2; ;2;1;2;2;2;2;2;1;2; ;2;03;1;0113;62;01; ;68;1597,20095248237; 
5160820;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;12;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;450000;1;5400000;3; ;12;2; ; ; ; ;2;3;2;45; ;.;45; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2;1;0;240;1; ;2; ; ; ; ; ; ; ;3;10;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;0161;61;01;450000;68;1828,07092418351; 
5160821;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;240;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;400000;1;4800000;3; ;12;2; ; ; ; ;1;1;2;28;2; ;28; ; ;1;8; ;2; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;0;120;4; ;2; ; ; ; ; ; ; ;3;3;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;2;03;1;0141;61;01;400000;68;1496,09279407667; 
5160821;1;3;1;60;68;1;2;2;6;1; ; ;1;2;2;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1800000;1;11870000;3; ;10;2; ; ; ; ;1;1;1;40; ;.;40; ; ;9;7; ;1; ;1;2;2;3;1;1; ; ; ; ; ; ; ; ;1;2;1;2;36;2; ;2; ; ; ; ; ; ; ;1;11;40;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;2;03;1;8412;21;84;1800000;68;1496,09279407667; 
5160822;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;120;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;200000;1;2400000;3; ;12;2; ; ; ; ;2;1;1;16;1; ;16; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;60;1;16;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;8; ;2;03;1;0161;61;01;200000;68;1203,92258218108; 
5160824;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;240;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;250000;1;3000000;3; ;12;1;1;0;1;0;3;1;1;42; ;.;42; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;12;60;1; ;2; ; ; ; ; ; ; ;3;10;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;3; ;2;03;1;0141;61;01;250000;68;1217,67956505839; 
5160824;1;2;1;60;68;2; ; ; ; ; ; ; ; ; ; ;300;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;250000;1;3000000;3; ;12;1;1;0;1;0;3;9;1;42; ;.;42; ; ;2;8; ;2; ;1;2;2;4;1; ;1; ; ; ; ; ; ; ;2;2;1;12;72;4; ;2; ; ; ; ; ; ; ;2;10;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;8; ;2;03;1;0141;61;01;250000;68;1217,67956505839; 
5160826;1;2;1;60;68;2; ; ; ; ; ; ; ; ; ; ;50;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;500000;1;6000000;3; ;12;2; ; ; ; ;2;5;2;45; ;.;45; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;15;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;2;03;1;0161;61;01;500000;68;1217,67956505839; 
5160827;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;72;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;350000;1;4200000;3; ;12;2; ; ; ; ;3;1;1;28;2; ;28; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;5; ;2;03;1;0113;61;01;350000;68;1265,22282237552; 
5160827;1;2;1;60;68;2; ; ; ; ; ; ; ; ; ; ;120;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2; ;1;6000000;3; ;12;1;1;0;1;0;3;1;1;44; ;.;44; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;2;3;20;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;0121;61;01; ;68;1265,22282237552; 
5160827;1;3;1;60;68;2; ; ; ; ; ; ; ; ; ; ;84;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;800000;1;9600000;3; ;12;2; ; ; ; ;2;8;1;54; ;.;54; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;9;3;50;2; ; ; ;1;1;2;1;2;1;2;2;1;1;2; ;2;1;2;2;1;2;2;1;3; ;2;03;1;0161;61;01;800000;68;1265,22282237552; 
5160827;1;4;1;60;68;2; ; ; ; ; ; ; ; ; ; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;480000;1;5760000;3; ;12;2; ; ; ; ;2;3;1;32;2; ;32; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;60;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;2;03;1;0161;61;01;480000;68;1265,22282237552; 
5160828;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;276;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;500000;1;6000000;3; ;12;2; ; ; ; ;2;9;2;50; ;.;50; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;15;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;03;1;0161;61;01;500000;68;1828,07092418351; 
5160830;1;1;1;60;68;2; ; ; ; ; ; ; ; ; ; ;192;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1;3600000;3; ;12;1;2;0;1;1;3;1;2;20;2; ;20; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;180;1; ;2; ; ; ; ; ; ; ;3;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;0121;60;01;300000;68;1118,8266026079; 
5160830;1;2;1;60;68;2; ; ; ; ; ; ; ; ; ; ;360;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;250000;1;3000000;3; ;12;2; ; ; ; ;2;3;2;20;1; ;20; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;30;1;30;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;1;3; ;2;03;1;0161;61;01;250000;68;1118,8266026079; 
5160830;1;3;1;60;68;2; ; ; ; ; ; ; ; ; ; ;192;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;30;2; ;30; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;36;1; ;2; ; ; ; ; ; ; ;3;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;03;1;0121;62;01; ;68;1118,8266026079; 
