directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;Fex_c_2011
2155;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;4394,15609296835
2155;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;4394,15609296835
2158;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;11;4418,26572241273
2158;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;4418,26572241273
2159;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;144,30395516712
2159;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;144,30395516712
2160;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2896,31485172009
2160;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;2896,31485172009
2160;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;2896,31485172009
2162;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;249,521614762608
2162;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;249,521614762608
2164;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2088,16337595614
2164;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2088,16337595614
2166;1;1;4;2;2;2;2; ;1;8;2; ;1;4;1;1;03;76;1074,68338403503
2168;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;551,668322896174
2168;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;551,668322896174
2170;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1274,0268885162
2170;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1274,0268885162
2178;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;5;2;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;8;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;9;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1128,7452376541
2178;1;10;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1128,7452376541
2180;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2441,03685354306
2180;1;2;4;2;2;2;1;7; ; ; ; ; ; ;1;1;03;11;2441,03685354306
2184;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;2147,75652902268
2184;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;2147,75652902268
2184;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;2147,75652902268
2184;1;4;2;2;2;2;2; ;1;7;1;1; ;1;1;1;03;08;2147,75652902268
2189;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;46,7525417727219
2189;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;46,7525417727219
2189;1;3;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;52;46,7525417727219
2191;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;286,008443066235
2191;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;68;286,008443066235
2192;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;11;1884,72725399949
2197;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;46,7525417727219
2197;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;46,7525417727219
2197;1;3;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;46,7525417727219
2198;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;231,644742343663
2198;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;231,644742343663
2198;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;231,644742343663
2199;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;153,748449366266
2199;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;153,748449366266
2199;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;52;153,748449366266
2201;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;03;54;382,874200929823
2201;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;03;54;382,874200929823
2201;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;382,874200929823
2201;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;382,874200929823
2203;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;284,493595253243
2203;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;284,493595253243
2203;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;284,493595253243
2209;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1861,27814660804
2210;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;364,53896638158
2210;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;364,53896638158
2210;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;364,53896638158
2210;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;364,53896638158
2210;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;364,53896638158
2210;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;364,53896638158
2211;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1207,32222821258
2211;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1207,32222821258
2211;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;1207,32222821258
2211;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;1207,32222821258
2212;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;752,278368824518
2216;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;418,4803076516
2216;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;418,4803076516
2220;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;550,95911502024
2220;1;2;4;2;2;2;2; ;1;2;1;1; ;1;1;1;03;13;550,95911502024
2220;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;550,95911502024
2220;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;550,95911502024
2220;1;6;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;550,95911502024
2220;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;550,95911502024
2220;1;9;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;550,95911502024
2221;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;570,350640205986
2221;1;2;4;2;2;1; ; ; ; ; ; ; ; ; ;1;03;68;570,350640205986
2221;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;570,350640205986
2221;1;4;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;68;570,350640205986
2221;1;6;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;570,350640205986
2222;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;233,563065073816
2222;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;73;233,563065073816
2222;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;73;233,563065073816
2226;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;3013,01381805735
2226;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;3013,01381805735
2231;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;17;133,462622694366
2231;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;17;133,462622694366
2231;1;3;4;2;2;2;1;3; ; ; ; ; ; ;1;1;03;17;133,462622694366
2233;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;223,229348158406
2233;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;223,229348158406
2233;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;223,229348158406
2233;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;223,229348158406
2237;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;207,295230652937
2237;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;207,295230652937
2240;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;187,71698151355
2240;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;187,71698151355
2240;1;3;3;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;187,71698151355
2247;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;175,369474969212
2247;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;03;52;175,369474969212
2248;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;595,396142128809
2250;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1980,86573651155
2256;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;11;3975,56992110023
2256;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;03;11;3975,56992110023
2257;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;76;1007,48041101348
2259;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;284,426072054912
2259;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;54;284,426072054912
2259;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;54;284,426072054912
2259;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;284,426072054912
2260;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;52;47,2566768714306
2260;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;47,2566768714306
2262;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;693,497259992775
2262;1;2;6;2;2;2;2; ;1;13; ; ; ; ; ;1;03;68;693,497259992775
2265;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;92,7272402013309
2265;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;92,7272402013309
2265;1;3;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;92,7272402013309
2273;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;168,665309700934
2273;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;168,665309700934
2276;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2372,73036210228
2276;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;2372,73036210228
2276;1;3;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2372,73036210228
2279;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;789,401567215701
2279;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;789,401567215701
2285;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;316,200990387565
2285;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;316,200990387565
2285;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;316,200990387565
2294;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;795,86575893098
2294;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;795,86575893098
2294;1;3;4;2;2;2;1;3; ; ; ; ; ; ;1;1;03;13;795,86575893098
2294;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;795,86575893098
2298;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1130,9619637508
2298;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1130,9619637508
2298;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1130,9619637508
2298;1;5;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1130,9619637508
2298;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1130,9619637508
2299;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;149,186226051632
2299;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;149,186226051632
2307;1;1;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;372,908797576182
2307;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;372,908797576182
2307;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;372,908797576182
2312;1;1;6;2;2;2;1;1; ; ; ; ; ; ;1;1;03;76;682,211833972758
2312;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;682,211833972758
2312;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;682,211833972758
2313;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;420,011367640872
2316;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;52;106,410182638396
2316;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;106,410182638396
2317;1;1;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;1140,05200994409
2317;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1140,05200994409
2317;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1140,05200994409
2318;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;52;92,5700327099893
2318;1;2;4;2;2;2;2; ;1;7;2; ;2; ; ;1;03;52;92,5700327099893
2318;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;52;92,5700327099893
2321;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;682,468653756283
2322;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;145,202220584848
2322;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;145,202220584848
2322;1;3;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;73;145,202220584848
2326;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;52;176,821962090964
2326;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;176,821962090964
2326;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;176,821962090964
2326;1;4;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;176,821962090964
2327;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1137,81505245429
2327;1;2;6;2;2;2;1;3; ; ; ; ; ; ;1;1;03;05;1137,81505245429
2327;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;1137,81505245429
2327;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1137,81505245429
2329;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;459,678362976562
2329;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;459,678362976562
2334;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;257,288155171406
2334;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;257,288155171406
2334;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;257,288155171406
2334;1;4;6;2;2;2;1;2; ; ; ; ; ; ;1;1;03;73;257,288155171406
2334;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;257,288155171406
2334;1;6;6;2;2;2;2; ;1;2;1;1; ;1;1;1;03;73;257,288155171406
2337;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;11;4245,04274262093
2340;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1684,27095914753
2340;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1684,27095914753
2342;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;58,5648238002179
2342;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;58,5648238002179
2344;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;174,531267004324
2344;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;17;174,531267004324
2344;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;17;174,531267004324
2346;1;1;3;2;2;2;1;4; ; ; ; ; ; ;1;1;03;52;80,2553982455638
2347;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;169,112537876721
2347;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;169,112537876721
2347;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;169,112537876721
2347;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;169,112537876721
2349;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;23;271,186769280289
2350;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;195,134150658782
2350;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;195,134150658782
2351;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;23;175,67991353868
2351;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;175,67991353868
2356;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;74,5223759937677
2356;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;74,5223759937677
2356;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;74,5223759937677
2356;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;74,5223759937677
2357;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;512,315789435788
2357;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;08;512,315789435788
2358;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1616,32860664604
2358;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1616,32860664604
2358;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;1616,32860664604
2361;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;561,56312394631
2361;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;561,56312394631
2361;1;3;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;561,56312394631
2362;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;126,522714991971
2362;1;2;4;2;2;2;1;3; ; ; ; ; ; ;1;1;03;73;126,522714991971
2362;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;126,522714991971
2362;1;4;4;2;2;2;1;3; ; ; ; ; ; ;1;1;03;73;126,522714991971
2362;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;126,522714991971
2363;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;17;163,365166028602
2363;1;2;6;2;2;2;1;1; ; ; ; ; ; ;1;1;03;17;163,365166028602
2363;1;3;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;17;163,365166028602
2365;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;76;964,692630775491
2365;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;964,692630775491
2365;1;4;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;76;964,692630775491
2366;1;1;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;54;569,046095821672
2366;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;569,046095821672
2368;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1513,11330953418
2368;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1513,11330953418
2368;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;1513,11330953418
2368;1;4;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1513,11330953418
2372;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1145,01959198495
2372;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;76;1145,01959198495
2375;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;832,374960073568
2375;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;832,374960073568
2383;1;1;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;1436,17479267107
2383;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;1436,17479267107
2383;1;4;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;1436,17479267107
2387;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;410,138449769038
2387;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;410,138449769038
2388;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;08;1575,95766585458
2388;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;08;1575,95766585458
2388;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;1575,95766585458
2388;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;1575,95766585458
2392;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;719,310177879668
2392;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;719,310177879668
2392;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;719,310177879668
2411;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;17;371,439120186486
2412;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;52;69,2361922171148
2412;1;2;4;2;2;2;1;6; ; ; ; ; ; ;1;1;03;52;69,2361922171148
2414;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;145,202220584848
2414;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;145,202220584848
2414;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;73;145,202220584848
2415;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1540,55813156669
2415;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;76;1540,55813156669
2415;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;1540,55813156669
2416;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;125,83325372176
2416;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;125,83325372176
2416;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;23;125,83325372176
2416;1;4;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;23;125,83325372176
2424;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;226,248011861862
2424;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;226,248011861862
2424;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;54;226,248011861862
2424;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;54;226,248011861862
2425;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;03;11;2997,99118212216
2425;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;2997,99118212216
2430;1;1;4;2;2;2;2; ;1;7;1;2; ; ; ;1;03;23;153,562791780949
2430;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;23;153,562791780949
2430;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;153,562791780949
2430;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;153,562791780949
2431;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;08;722,803095164705
2442;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;17;216,724476111606
2442;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;17;216,724476111606
2444;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;11;3912,92772517989
2444;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;11;3912,92772517989
2445;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2445;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2445;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2445;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2445;1;5;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2445;1;6;4;2;2;1; ; ; ; ; ; ; ; ; ;1;03;13;440,493253058184
2446;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;226,445923192852
2446;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;226,445923192852
2446;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;226,445923192852
2446;1;4;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;52;226,445923192852
2446;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;226,445923192852
2446;1;6;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;52;226,445923192852
2446;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;226,445923192852
2451;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;835,673185174891
2451;1;2;4;2;2;2;1;5; ; ; ; ; ; ;1;1;03;05;835,673185174891
2451;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;835,673185174891
2453;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;324,909292915116
2453;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;324,909292915116
2453;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;324,909292915116
2454;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;52;133,755833394027
2454;1;2;4;2;2;2;2; ;1;7;1;1; ;2;1;1;03;52;133,755833394027
2454;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;133,755833394027
2454;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;52;133,755833394027
2455;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;1305,15205041096
2455;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1305,15205041096
2455;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;1305,15205041096
2458;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;76;1144,30754187368
2458;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1144,30754187368
2458;3;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1144,30754187368
2458;3;2;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;76;1144,30754187368
2458;3;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;76;1144,30754187368
2459;1;1;6;2;2;2;1;4; ; ; ; ; ; ;1;1;03;17;484,491061282802
2462;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1738,73097534842
2462;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;11;1738,73097534842
2466;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;08;918,310297093533
2466;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;918,310297093533
2468;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;2644,33400653778
