DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2628417,1,2,1,3,1,4,2,1,5,1,,,99,10000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,4,1,1,2,2,2,2,1,,,1,2,2,73,1,269.434.733.333.895
2628418,1,3,2,3,1,4,2,5,5,1,,,1000000,99,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,4,2,1,2,2,2,2,1,,,1,2,2,73,1,269.434.733.333.895
2628421,1,2,1,6,,4,2,1,5,1,,,1000000,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,2,1,1,4,1,1,2,2,2,2,1,,,1,2,2,73,1,324.340.718.695.454
2628422,1,3,1,2,1,3,1,1,5,1,,,5000000,200000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,5,1,1,1,4,1,2,2,2,1,2,,1,1,2,2,73,1,26.604.848.327.073
2628423,1,2,1,3,1,3,2,5,5,1,,,99,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,1,2,1,2,2,2,2,2,,,1,2,2,73,1,238.062.322.786.837
2628424,1,4,2,3,1,4,1,1,5,4,,,,20000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,1,1,1,4,1,2,2,2,1,1,,2,1,2,2,73,1,324.340.718.695.454
2628425,1,3,2,2,1,4,2,1,5,4,,,,100000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,5,1,1,4,2,1,2,2,2,2,1,,,1,2,2,73,1,140.322.279.400.424
2628432,1,4,2,2,1,4,1,1,4,1,,,4000000,80000,,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,3,1,1,1,2,1,2,2,2,1,2,,1,1,2,2,73,1,829.452.554.582.626
2628441,1,3,2,3,1,4,1,5,5,1,,,8000000,40000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,2,2,2,1,1,,2,1,2,2,73,1,195.937.819.132.695
2628442,1,3,2,3,1,4,1,1,4,3,,,,,60000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,5,1,1,1,2,1,2,2,2,1,1,,2,1,2,2,73,1,289.882.368.336.379
2628443,1,3,1,2,1,4,2,1,5,4,,,,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,5,2,1,2,2,2,2,2,,,1,2,2,73,1,107.245.315.715.475
2628444,1,4,2,2,1,4,1,1,5,2,,250000,10000000,80000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,1,1,2,1,2,2,2,1,1,,1,1,2,2,73,1,270.272.223.711.672
2628445,1,2,1,3,2,4,1,1,5,4,,,,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,1,2,,1,1,2,2,73,1,28.834.951.741.467
2628445,2,1,1,3,2,4,1,1,4,4,,,,40000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,2,2,,,,,,,,,,,1,1,2,2,73,1,28.834.951.741.467
2628446,1,5,5,2,1,4,1,1,5,1,,,3000000,100000,,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,6,2,2,,7,1,1,4,2,1,2,2,2,1,1,,1,1,2,2,73,1,497.039.640.346.532
2628447,1,3,2,2,1,3,2,5,5,4,,,,40000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,6,1,1,4,1,1,2,2,2,2,1,,,1,2,2,73,1,316.321.175.878.378
2628449,1,1,1,6,,3,2,1,5,1,,,2000000,10000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,4,1,1,2,2,2,2,2,,,1,2,2,73,1,254.759.258.440.915
2628450,1,2,1,6,,4,2,5,5,4,,,,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,4,1,1,2,2,2,2,1,,,1,2,2,73,1,195.937.819.132.695
2628451,1,1,1,6,,4,2,5,5,4,,,,40000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,4,1,2,2,2,2,2,,,,1,2,2,73,1,315.215.084.460.581
2628452,1,2,1,3,1,4,1,1,5,4,,,,70000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,4,1,2,2,2,2,1,,,2,1,2,2,73,1,324.340.718.695.454
2628461,1,3,2,1,1,1,1,1,5,4,,,,300000,,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,3,1,1,1,2,1,2,1,1,1,2,2,1,1,2,2,73,1,146.331.056.511.641
2628470,1,3,2,3,1,4,1,1,5,4,,,,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,1,2,1,2,2,2,1,1,,2,1,2,2,73,1,324.340.718.695.454
2628473,1,2,2,3,1,3,2,2,5,3,,,,,35000,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,,6,1,1,4,2,1,2,2,2,2,1,,,1,2,2,73,1,425.769.695.786.916
2628475,1,3,1,3,1,4,1,1,5,1,,,25000000,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,2,1,1,4,1,1,2,2,2,1,1,,2,1,2,2,73,1,183.156.337.425.278
2628476,1,3,1,3,1,4,1,1,5,1,,,7000000,7000000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,3,1,1,4,1,1,2,2,2,1,2,,2,1,2,2,73,1,337.122.200.402.871
2628477,1,4,2,2,1,3,1,1,5,1,,,3000000,50000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,5,1,1,4,2,1,2,2,2,1,2,,1,1,2,2,73,1,286.044.795.456.546
2628478,1,2,2,6,,4,2,1,5,1,,,5000000,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,4,1,1,4,2,1,2,2,2,2,2,,,1,2,2,73,1,253.267.001.563.313
2628479,1,2,1,6,,4,2,1,5,1,,,400000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,4,1,1,2,2,2,2,2,,,1,2,2,73,1,254.759.258.440.915
2628480,1,3,2,3,1,4,2,1,5,1,,,1000000,120000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,,4,1,1,4,2,1,2,2,2,2,2,,,1,2,2,73,1,271.369.320.563.566
2628481,1,2,2,3,1,4,2,1,5,1,,,400000,40000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,3,1,1,4,1,1,2,2,2,2,1,,,1,2,2,73,1,24.432.309.273.573
