DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,MES,DPTO,ORDEN,fex_c_2011
2615632,1,6,4,1,1,1,1,1,3,3,,,,,420000,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,4,2,1,1,17,2,17,1,172.955.255.090.403
2615634,1,6,4,1,1,1,1,1,3,1,,,50000000,350000,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,4,2,1,1,17,2,17,1,122.668.142.630.077
2615635,1,5,2,1,1,1,1,1,3,1,,,80000000,400000,,1,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,1,3,2,2,,3,1,1,1,6,1,1,1,1,1,4,2,1,1,17,2,17,1,178.171.040.551.986
2615636,1,5,2,1,1,1,1,1,3,1,,,80000000,400000,,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,,2,1,1,1,7,1,1,1,1,1,4,2,1,1,17,2,17,1,17.249.924.830.723
2615637,1,1,1,1,2,1,1,6,,3,,,,,140000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,3,1,3,1,2,1,1,1,3,2,1,1,17,2,17,1,165.408.849.283.232
2615638,1,1,1,1,2,1,1,6,,3,,,,,130000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,3,1,3,1,2,1,1,1,3,2,1,1,17,2,17,1,179.446.626.417.262
2615639,1,1,1,1,2,1,1,6,,3,,,,,120000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,3,1,6,1,1,1,1,1,3,7,1,1,17,2,17,1,179.446.626.417.262
2615640,1,1,1,1,2,1,1,2,2,3,,,,,140000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,3,1,6,1,2,1,1,1,3,7,1,1,17,2,17,1,16.901.308.276.711
2615642,1,3,2,1,1,1,1,1,3,1,,,85000000,600000,,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,,2,2,,2,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,187.787.455.119.759
2615643,1,3,2,1,1,1,1,1,3,1,,,90000000,650000,,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,16.016.838.490.761
2615644,1,4,3,1,1,1,1,1,3,2,,456000,90000000,700000,,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,4,2,2,,4,1,2,1,4,1,1,1,1,1,6,2,1,1,17,2,17,1,13.156.182.019.008
2615645,1,4,3,1,1,1,1,1,3,1,,,120000000,600000,,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,2,,5,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,169.155.626.408.337
2615646,1,1,1,1,2,1,1,1,4,3,,,,,180000,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,,2,2,,2,1,3,1,3,1,2,1,1,1,3,7,1,1,17,2,17,1,169.807.505.662.436
2615647,1,1,1,1,2,1,1,6,,3,,,,,150000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,3,1,3,1,2,1,1,1,3,7,1,1,17,2,17,1,178.652.203.521.936
2615649,1,1,1,1,1,1,1,6,,3,,,,,150000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,3,1,3,1,2,1,1,1,3,7,1,1,17,2,17,1,179.446.626.417.262
2615651,1,4,2,1,1,1,1,1,3,1,,,100000000,700000,,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,178.148.334.364.934
2615652,1,4,2,1,1,1,1,1,3,3,,,,,620000,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,176.441.420.630.523
2615653,1,4,3,1,1,1,1,1,3,3,,,,,650000,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,1,1,1,1,5,2,1,1,17,2,17,1,145.599.597.324.111
2615654,1,1,1,1,2,1,1,2,1,3,,,,,150000,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,3,1,6,1,2,1,1,1,3,4,1,1,17,2,17,1,169.807.505.662.436
