PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20220834;08;2022;7156529;1;2;1;70;;2;247.70114731;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156531;1;1;1;70;;2;213.74335269;54;1;;;;;;;;;1;;48;0;4;CONDUCIR CAMION DE TRANSPORTE DE MATERIAL DE CONSTRUCCION;1;6;2;2;;2;;.;8332;46;4663
20220834;08;2022;7156531;1;2;1;70;;2;213.74335269;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156532;1;2;1;70;;2;121.93302839;54;1;;;;;1;;40;600000;1;;120;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156532;1;3;1;70;;2;121.93302839;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156533;1;1;1;70;;2;108.87568563;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156533;1;4;1;70;;2;108.87568563;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156535;1;1;1;70;;2;210.72401711;54;1;;;;;;;;;1;;60;0;4;CARGAR DESCARGAR  ACOMODAR Y EMBALAR CON PLASTICO LADRILLO Y TABLETAS EN TEJAR;1;7;2;3;;2;;.;9333;23;2393
20220834;08;2022;7156536;1;1;1;70;;2;468.05983701;54;1;;;;;1;;40;500000;1;;36;0;3;COCINERA EN DIFERENTES FINCAS;4;1;2;2;;2;;.;5120;56;5621
20220834;08;2022;7156537;1;1;1;70;;2;389.1220764;54;1;;;;;;;;;1;;144;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156538;1;2;1;70;;2;678.48479156;54;1;;;;;1;;48;1000000;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156539;1;1;1;70;;2;403.97714161;54;1;;;;;;;;;1;;60;0;4;SEMBRAR Y LIMPIAR CULTIVOS DE ARROZ EN DIFERENTES FINCAS;4;1;2;2;;2;;.;9211;01;0112
20220834;08;2022;7156539;1;2;1;70;;2;403.97714161;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156541;1;2;1;70;;2;734.74155448;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156542;1;2;1;70;;2;403.97714161;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156543;1;2;1;70;;2;560.46432409;54;;2;1;42;1;;;40;400000;1;;3;0;8;PREPARAR PASTELES  EN ESCUELA;4;1;2;2;;2;;5120;9412;56;5629
20220834;08;2022;7156543;1;3;1;70;;2;560.46432409;54;1;;;;;;;;;1;;1;0;2;LIMPIAR CON MACHETE CULTIVOS DE ARROZ EN DIFERENTES FINCAS;4;1;2;2;;1;80000;.;9211;01;0112
20220834;08;2022;7156544;1;1;1;70;;2;624.02115842;54;1;;;;;;;;;1;;72;0;4;SEMBRAR Y LIMPIAR CULTIVOS DE ARROZ EN DIFERENTES FINCAS;4;1;2;2;;2;;.;6111;01;0112
20220834;08;2022;7156545;1;1;1;70;;2;386.20756737;54;1;;;;;1;;48;500000;1;;36;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156547;1;2;1;70;;2;595.62377287;54;;1;1;12;3;;;48;1000000;1;;96;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;9111;9111;97;9700
20220834;08;2022;7156548;1;2;1;70;;2;572.84510277;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156549;1;1;1;70;;2;404.07481402;54;1;;;;;;;;;1;;60;0;3;SERVICIO DOMESTICO;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156550;1;2;1;70;;2;509.78611422;54;1;;;;;;;;;1;;36;0;3;DOCENTE  EN CENTRO DE DESARROLLO INFANTIL DEL INSTITUTO COLOMBIANI DE BIENESTAR FAMILIAR;1;3;2;2;;2;;.;2342;88;8891
20220834;08;2022;7156550;1;3;1;70;;2;509.78611422;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156551;1;2;1;70;;2;582.66794966;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156552;1;1;1;70;;2;624.11883083;54;1;;;;;2;3;;500000;1;;2;0;4;FUMIGAR EN EL CULTIVOS DE ARROZ EN DIFERENTES FINCAS;4;1;2;2;;2;;.;7544;01;0112
20220834;08;2022;7156553;1;1;1;70;;2;252.99750979;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156553;1;2;1;70;;2;252.99750979;54;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156554;1;1;1;70;;2;638.41391934;54;;1;1;1;4;;;48;800000;1;;0;2;8;FUMIGAR Y ABONAR CULTIVO DE ARROZ EN DIFERENTES FINCAS;4;1;2;2;;1;600000;9211;9211;01;0112
20220834;08;2022;7156554;1;2;1;70;;2;638.41391934;54;1;;;;;1;;44;200000;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156560;1;2;1;70;;1;1229.7309915;52;;1;1;4;1;;;40;2000000;1;;8;0;2;SERVICIO DE SALUD DE ODONTOLOGIA;1;2;2;2;;2;;2261;2261;86;8622
20220834;08;2022;7156562;1;2;1;70;;1;1608.408466;52;1;;;;;2;5;;1000000;1;;12;0;8;SECRETARIA AUXILIAR;2;10;2;2;;2;;.;4120;84;8412
20220834;08;2022;7156570;1;2;1;70;;1;890.34167818;52;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156571;1;1;1;70;;1;878.21442287;52;1;;;;;1;;35;600000;1;;1;0;9;COSECHAR CAFE;4;1;2;2;;1;300000;.;6111;01;0161
20220834;08;2022;7156571;1;3;1;70;;1;878.21442287;52;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156572;1;2;1;70;;1;1180.246688;52;1;;;;;1;;40;400000;1;;1;0;6;RECOLECTAR MATERIAL RECICLABLE (LATAS);4;1;2;2;;1;100000;.;9611;38;3830
20220834;08;2022;7156572;1;3;1;70;;1;1180.246688;52;1;;;;;1;;40;600000;1;;1;0;8;COSECHAR CAFE;4;1;2;2;;1;300000;.;6112;01;0123
20220834;08;2022;7156579;1;2;1;70;;1;970.34371066;52;1;;;;;2;5;;1000000;1;;36;0;4;COSECHAR CAFE;4;1;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156580;1;1;1;70;;1;792.28770686;52;1;;;;;;;;;1;;24;0;7;VENDER PLATAS HORNAMENTALES;4;1;2;2;;2;;.;5221;47;4759
20220834;08;2022;7156581;1;1;1;70;;1;1044.7935088;52;1;;;;;;2;;400000;1;;1;0;3;PINTAR ARTICULOS DE CUERO;1;3;2;2;;1;400000;.;7370;15;1512
20220834;08;2022;7156583;1;1;1;70;;1;772.03906607;52;1;;;;;;;;;1;;240;0;4;COSECHAR CAFE;4;1;2;2;;2;;.;9211;01;0161
20220834;08;2022;7156587;1;2;1;70;;2;3074.6180355;52;1;;;;;;;;;1;;240;0;4;TEJER SOMBREROS EN PAJA TOQUILLA;4;1;2;2;;2;;.;7333;16;1690
20220834;08;2022;7156590;1;1;1;70;;2;2300.8742514;52;1;;;;;1;;20;400000;1;;0;3;8;COSECHAR CAFE;7;3;2;2;;1;400000;.;9211;01;0123
20220834;08;2022;7156590;1;2;1;70;;2;2300.8742514;52;1;;;;;2;3;;1500000;1;;2;0;2;COSECHAR CAFE;4;1;2;2;;2;;.;6112;01;0123
20220834;08;2022;7156591;1;2;1;70;;2;3074.6180355;52;1;;;;;1;;15;200000;1;;12;0;4;EMPLEADA DOMESTICA;3;1;2;2;;2;;.;9111;97;9700
20220834;08;2022;7156592;1;3;1;70;;2;2453.7321499;52;1;;;;;;;;;1;;240;0;4;COSECHAR CAFE;4;1;2;2;;2;;.;9211;01;0161
20220834;08;2022;7156594;1;1;1;70;;2;1181.1904421;52;1;;;;;;;;;1;;1;0;3;TEJER SOMBRERO EN PAJA TOQUILLA;4;1;2;2;;1;140000;.;7342;15;1513
20220834;08;2022;7156596;1;3;1;70;;2;3192.2731807;52;1;;;;;;;;;1;;0;3;2;PALEAR CULTIVO DE CAFE;6;2;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156597;1;2;1;70;;2;2184.3255365;52;1;;;;;;;;;1;;36;0;3;COSECHAR CAFE;4;1;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156599;1;2;1;70;;2;2555.9170605;52;1;;;;;;;;;1;;5;0;4;PREPARAR COMIDAS RAPIDAS;4;1;2;2;;2;;.;9411;56;5619
20220834;08;2022;7156600;1;4;1;70;;2;2129.5755736;52;1;;;;;2;4;;400000;1;;3;0;2;COSECHAR CAFE;4;1;2;2;;2;;.;6112;01;0123
20220834;08;2022;7156601;1;2;1;70;;2;3795.2492172;52;1;;;;;;;;;1;;24;0;4;COSECHAR CAFE;6;2;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156602;1;2;1;70;;2;2263.9901205;52;;1;1;4;4;;;20;400000;1;;1;0;8;COSECHAR CAFE;4;1;2;2;;2;;9211;9211;01;0123
20220834;08;2022;7156608;1;3;1;70;;2;2532.2587638;52;1;;;;;;;;;1;;1;0;2;PEGAR TELA EN BILLETERAS;1;3;2;2;;1;120000;.;8153;15;1513
20220834;08;2022;7156610;1;2;1;70;;2;2066.6703913;52;1;;;;;;;;;1;;264;0;4;TEJER SOMBREROS EN PAJA TOQUILLA;4;1;2;2;;2;;.;7342;14;1410
20220834;08;2022;7156613;1;1;1;70;;2;2945.4184338;52;1;;;;;;;;;1;;60;0;4;PALEAR TERRENO;4;1;2;2;;2;;.;9211;01;0161
20220834;08;2022;7156619;1;2;1;70;;2;132.23393392;63;1;;;;;1;;24;400000;1;;240;0;4;ASEAR VIVIENDAS PREPARAR ALIMENTOS;4;1;2;2;;2;;.;9111;81;8121
20220834;08;2022;7156620;1;2;1;70;;2;132.23393392;63;1;;;;;2;5;;500000;1;;48;0;4;SERVICIO DOMESTICO POR DIAS;4;1;2;2;;2;;.;9111;81;8121
20220834;08;2022;7156621;1;3;1;70;;2;257.62569146;63;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156621;1;6;1;70;;2;257.62569146;63;;1;1;2;1;;;24;500000;1;;12;0;3;ASEAR VIVIENDAS PREPARAR ALIMENTOS;4;1;2;2;;2;;5131;9111;81;8121
20220834;08;2022;7156623;1;2;1;70;;2;382.05203945;63;1;;;;;;;;;1;;12;0;3;RECOLECTAR CAFE;4;1;2;2;;2;;.;6111;01;0123
20220834;08;2022;7156627;1;1;1;70;;2;132.23393392;63;1;;;;;;;;;1;;180;5;3;ASEAR LIMPIAR ARREGLAR CASAS DE FAMILIA;4;1;2;2;;2;;.;9112;81;8121
20220834;08;2022;7156628;1;2;1;70;;2;163.35077079;63;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156628;1;3;1;70;;2;163.35077079;63;;1;1;3;1;;;48;1000000;1;;1;4;8;REALIZAR LABORES DE ASEO EN SUPERMERCADOS;1;9;2;2;;1;1200000;9112;9112;47;4711
20220834;08;2022;7156630;1;2;1;70;;2;125.70713491;63;1;;;;;;;;;1;;60;5;9;ATENDER CLIENTES VENDER BOTONES CREMALLERAS HILOS BROCHES HERRAJES Y ADORNOS;1;4;2;2;;2;;.;5223;47;4751
20220834;08;2022;7156630;1;3;1;70;;2;125.70713491;63;1;;;;;;;;;1;;24;5;6;ASEAR LIMPIAR ARREGLAR CASAS DE FAMILIA;4;1;2;2;;2;;.;9111;81;8121
20220834;08;2022;7156632;1;2;1;70;;2;160.13646731;63;1;;;;;;;;;1;;120;4;3;AUXILIAR DE COCINA PREPARAR ALIMENTOS;4;1;2;2;;2;;.;9412;56;5611
20220834;08;2022;7156632;1;3;1;70;;2;160.13646731;63;1;;;;;;;;;1;;60;4;4;ABONAR SEMBRAR Y RECOLECTAR CAFE;7;3;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156634;1;1;1;70;;2;382.05203945;63;1;;;;;;;;;1;;4;5;8;RECOLECTAR CAFE;4;1;2;2;;2;;.;9211;01;0123
20220834;08;2022;7156635;1;2;1;70;;2;208.06195706;63;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156635;1;3;1;70;;2;208.06195706;63;1;;;;;;;;;2;;;;;.;;;;2;;2;;.;.;;.
20220834;08;2022;7156638;1;2;1;70;;2;149.1440366;63;1;;;;;2;5;;400000;1;;30;0;4;AUXILIAR DE COCINA PREPARAR ALIMENTOS;4;1;2;2;;2;;.;9412;56;5611
20220834;08;2022;7156639;1;1;1;70;;2;187.62657819;63;;1;1;6;1;;;48;2500000;1;;3;0;6;DIRIGIR Y SUPERVISAR DEPARTAMENTO DE SEGURIDAD LABORAL;1;10;2;2;;2;;3257;3257;01;0145
