DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
1072278;1;1;1;95;1; ;1;2; ; ;70000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;469,052392446422
1072278;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;469,052392446422
1072278;1;5;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;800000;2;1;2; ;2;05;05;469,052392446422
1072278;2;1;2;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;240000;1;05;05;469,052392446422
1072278;2;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;469,052392446422
1072278;2;3;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;469,052392446422
1072280;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;400000;1;05;05;700,951847183639
1072280;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;600000;1;05;05;700,951847183639
1072281;1;1;1;95;1; ;1;2; ; ;150000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1178,55651507795
1072281;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2;100000; ; ; ; ; ;2;2;1; ;2;05;05;1178,55651507795
1072282;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;881,28494675049
1072282;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;881,28494675049
1072282;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;350000;2;1;2; ;2;05;05;881,28494675049
1072283;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1277,16482476827
1072283;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1277,16482476827
1072283;1;5;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;1500000;1;05;05;1277,16482476827
1072283;1;6;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;95000; ; ; ;2;2;2;250000;1;05;05;1277,16482476827
1072283;1;7;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;680000;2;1;2;1290000;1;05;05;1277,16482476827
1072284;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;1300000;2;1;2; ;2;05;05;1093,87364137803
1072284;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;450000;1;05;05;1093,87364137803
1072284;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1093,87364137803
1072285;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;400000;2;1;2;250000;1;05;05;839,87235100818
1072286;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1162,83539514154
1072286;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1162,83539514154
1072286;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1162,83539514154
1072287;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1178,55651507795
1072287;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;1300000;1;05;05;1178,55651507795
1072288;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1178,55651507795
1072288;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;82000; ; ; ;2;2;2; ;2;05;05;1178,55651507795
1072289;1;1;1;95;1; ;1;2; ; ;230000;2;1;2; ;1; ; ;300000; ; ; ;2;2;2; ;2;05;05;1012,12726492989
1072289;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1012,12726492989
1072289;1;4;1;95;1; ;2;1; ;456000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1012,12726492989
1072289;1;5;1;95;1; ;2;1; ;470000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1012,12726492989
1072290;1;1;1;95;1; ;1;2; ; ;430000;2;1;2; ;2; ; ; ; ; ;1500000;2;1;2; ;2;05;05;839,87235100818
1072291;1;1;1;95;1; ;1;1; ;1126000;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;706,422199411199
1072291;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;706,422199411199
1072291;2;1;2;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;1600000;2;1;2; ;2;05;05;706,422199411199
1072291;2;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;706,422199411199
1072291;2;3;2;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;700000;1;05;05;706,422199411199
1072295;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;98;2;1;2; ;2;05;05;908,424478817667
1072295;1;2;1;95;1; ;1;2; ; ;750000;2;1;2; ;2; ; ; ; ; ;98;2;1;2; ;2;05;05;908,424478817667
1072296;1;1;1;95;1; ;1;1; ;496900;180000;2;1;2; ;2;500000; ; ; ; ; ;2;2;1; ;2;05;05;812,725899908789
1072296;1;2;1;95;1; ;2;1; ;496900; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;812,725899908789
1072296;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;812,725899908789
1072296;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;812,725899908789
1072296;1;5;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;44000; ; ; ;2;2;2; ;2;05;05;812,725899908789
1072296;1;6;1;95;2; ; ; ; ; ; ; ;1;2; ;2;400000; ; ; ; ; ;2;2;1; ;2;05;05;812,725899908789
1072298;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;4800000;2;1;2; ;2;05;05;933,010308470938
1072299;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,19076767812
1072299;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,19076767812
1072299;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,19076767812
1072299;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1009,19076767812
1072300;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1041,80757100507
1072300;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1041,80757100507
