DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
905541;1;3;2;2;1;4;1;4;4;;;99;150000;;2;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;15;1;941.932.735.050.656
905543;1;2;1;6;;4;9;5;3;;;;;50000;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;4;2;2;2;2;2;;;;1;2;1;15;1;961.933.023.253.634
905545;1;3;3;2;1;4;1;4;1;;;98;99;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;15;1;136.705.142.858.593
905548;1;2;2;6;;4;2;5;4;;;;99;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;2;1;;;1;2;1;15;1;106.322.893.498.391
905553;1;4;2;2;1;4;1;5;1;;;99;99;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;2;1;2;1;15;1;686.844.986.481.005
905555;1;1;1;2;1;4;1;4;3;;;;;200000;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;15;1;791.482.011.695.404
905557;1;4;3;3;1;4;1;4;5;;;;99;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;0;;1;1;2;1;15;1;139.237.123.493.594
905559;1;2;1;6;;4;2;5;3;;;;;80000;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;15;1;738.293.599.111.844
905561;1;1;1;3;1;4;1;4;3;;;;;50000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;3;4;1;2;2;2;1;2;;1;1;2;1;15;1;108.569.971.479.281
905563;1;4;4;2;1;4;1;4;1;;;99;99;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;3;2;1;2;2;2;1;2;;1;1;2;1;15;1;760.386.707.742.223
