DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;fex_c_2011
905581;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;150.233.636.884.726
905584;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;866.627.830.433.042
905585;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;895.063.625.670.507
905585;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;895.063.625.670.507
905587;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;948.252.038.254.067
905587;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;948.252.038.254.067
905589;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905589;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905595;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;13.629.299.555.249
905595;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;13.629.299.555.249
905597;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;155.552.478.143.082
905597;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;155.552.478.143.082
905598;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;113.870.333.801.527
905598;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;113.870.333.801.527
905598;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;113.870.333.801.527
905601;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905601;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905601;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;107.183.394.043.215
905602;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;122.291.551.986.949
905603;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;117.509.249.698.133
905603;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;117.509.249.698.133
905603;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;117.509.249.698.133
905603;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;117.509.249.698.133
905605;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;988.208.951.945.772
905605;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;988.208.951.945.772
905605;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;988.208.951.945.772
905607;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905607;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905607;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905607;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905608;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;948.252.038.254.067
905608;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;948.252.038.254.067
905610;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;141.768.821.190.084
905610;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;141.768.821.190.084
905610;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;141.768.821.190.084
905610;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;141.768.821.190.084
905610;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;141.768.821.190.084
905613;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905613;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905614;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.823.771.292.763
905614;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.823.771.292.763
905614;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;103.823.771.292.763
905615;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;116.557.215.919.245
905615;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;116.557.215.919.245
905615;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;116.557.215.919.245
905619;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;13.154.528.238.117
905621;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.612.388.935.165
905621;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.612.388.935.165
905621;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.612.388.935.165
905621;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.612.388.935.165
905621;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.612.388.935.165
905624;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905624;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;93.086.055.304.949
905625;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;131.190.589.805.127
905625;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;131.190.589.805.127
905625;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;131.190.589.805.127
905625;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;131.190.589.805.127
