DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
885476;1;3;1;10;1;1;1;5;2003;5;3;;1;;;1;5;;2;2;1;1;2;0;;5;0;5;840.821.737.310.079
885476;1;4;1;10;1;2;1;2;2007;1;3;;1;;;1;5;;2;;;;;;;5;;5;840.821.737.310.079
885477;1;1;1;10;1;2;1;2;1972;36;1;6;1;;;3;;;2;1;2;;3;2;;5;2;5;594.974.704.754.096
885477;1;2;1;10;2;2;1;11;1991;16;3;2;2;1;18;;;;2;1;2;;4;7;;5;7;5;594.974.704.754.096
885477;1;3;1;10;3;1;1;7;1988;20;5;2;1;;;1;1;18400;2;1;2;;5;10;1;5;10;5;594.974.704.754.096
885477;1;4;1;10;4;2;1;2;1931;77;5;5;2;1;13;;;;1;2;2;;1;0;;5;0;5;594.974.704.754.096
885478;1;1;1;10;1;2;1;10;1966;41;1;4;1;;;3;;;2;1;2;;4;7;;5;7;5;627.937.263.560.486
885478;1;2;1;10;3;2;1;3;1994;14;3;6;1;;;3;;;2;1;1;1;4;8;;5;8;5;627.937.263.560.486
885478;1;3;1;10;3;2;1;6;1989;19;3;4;1;;;3;;;2;1;2;;4;7;;5;7;5;627.937.263.560.486
885478;1;4;1;10;3;2;1;8;2006;2;4;;1;;;3;;;2;;;;;;;5;;5;627.937.263.560.486
885480;1;1;1;10;1;2;1;2;1939;69;1;5;1;;;1;5;;2;1;2;;3;2;;5;2;5;701.454.217.279.782
885481;1;1;1;10;1;1;1;11;1935;72;1;5;1;;;3;;;1;1;2;;4;6;;5;6;5;807.181.680.941.323
885482;1;1;1;10;1;2;1;12;1972;35;1;2;1;;;3;;;1;1;2;;3;5;;5;5;5;694.210.056.826.278
885482;1;2;1;10;1;1;1;11;1991;16;3;6;1;;;3;;;2;1;2;;4;9;;5;9;5;694.210.056.826.278
885483;1;1;1;10;1;2;1;1;1965;43;1;4;1;;;1;5;;1;1;2;;3;5;;5;5;5;595.185.192.542.151
885483;1;2;1;10;2;2;1;8;1988;20;3;6;1;;;1;1;18400;2;1;2;;6;3;3;5;14;5;595.185.192.542.151
885483;1;3;1;10;3;2;1;8;1989;19;3;6;1;;;3;;;1;1;1;2;6;1;2;5;12;5;595.185.192.542.151
885483;1;4;1;10;4;1;1;1;1995;13;3;6;1;;;1;3;57700;1;1;1;1;2;0;;5;0;5;595.185.192.542.151
885485;1;1;1;10;1;1;1;4;1945;63;1;2;1;;;1;5;;2;1;2;;3;3;;5;3;5;223.278.955.146.955
885485;1;2;1;10;2;2;1;8;1964;44;2;2;1;;;1;1;18400;2;1;2;;4;9;;5;9;5;223.278.955.146.955
885485;1;3;1;10;3;1;1;11;1984;23;3;2;1;;;1;1;18400;2;1;2;;4;9;;5;9;5;223.278.955.146.955
885485;1;4;1;10;4;2;1;12;1988;19;5;2;1;;;1;5;;2;1;2;;4;7;;5;7;5;223.278.955.146.955
885485;1;5;1;10;4;1;1;3;2005;3;4;;1;;;1;5;;2;2;2;;1;0;;5;0;5;223.278.955.146.955
885486;1;1;1;10;1;2;1;11;1945;62;1;3;1;;;1;5;;2;1;2;;3;5;;5;5;5;723.876.752.632.885
885486;1;2;1;10;2;1;1;7;1941;67;2;3;1;;;1;2;92000;2;1;2;;4;7;;5;7;5;723.876.752.632.885
885486;1;3;1;10;3;1;1;2;1992;16;4;6;1;;;1;5;;2;1;1;1;4;8;;5;8;5;723.876.752.632.885
885487;1;1;1;10;1;1;1;11;1966;41;1;3;1;;;1;1;18400;2;1;1;1;5;10;1;5;10;5;819.387.369.446.053
885487;1;2;1;10;2;2;1;1;1964;44;2;3;1;;;1;5;;1;2;2;;1;0;;5;0;5;819.387.369.446.053
885487;1;3;1;10;3;1;1;12;1989;18;3;6;1;;;1;5;;2;1;1;1;4;8;;5;8;5;819.387.369.446.053
885487;1;4;1;10;2;2;1;1;1992;16;3;6;1;;;1;5;;2;1;1;1;4;8;;5;8;5;819.387.369.446.053
885487;1;5;1;10;5;1;1;11;1993;14;3;6;1;;;1;5;;1;1;1;1;3;4;;5;4;5;819.387.369.446.053
885487;1;6;1;10;2;1;1;4;1996;12;3;6;1;;;1;5;;2;1;1;1;3;4;;5;4;5;819.387.369.446.053
885487;1;7;1;10;2;2;1;5;1999;9;3;;1;;;1;5;;2;1;1;1;3;2;;5;2;5;819.387.369.446.053
885487;1;8;1;10;2;1;1;12;2001;6;3;;1;;;1;5;;2;2;1;1;3;0;;5;0;5;819.387.369.446.053
885487;1;9;1;10;9;1;1;1;1981;27;5;6;1;;;1;1;22000;2;1;1;1;5;10;1;5;10;5;819.387.369.446.053
885488;1;1;1;10;1;2;1;1;1946;62;1;5;1;;;1;2;50000;2;1;2;;4;9;;5;9;5;280.581.686.911.913
885489;1;1;1;10;1;2;1;5;1967;41;1;1;1;;;3;;;1;1;2;;3;5;;5;5;5;705.034.358.224.839
885489;1;2;1;10;2;1;1;6;1989;19;3;6;1;;;3;;;2;1;2;;3;5;;5;5;5;705.034.358.224.839
885489;1;3;1;10;1;2;1;5;1994;14;3;6;1;;;3;;;1;1;1;1;4;7;;5;7;5;705.034.358.224.839
885489;1;4;1;10;1;1;1;9;1995;13;3;6;1;;;3;;;1;1;1;1;3;2;;5;2;5;705.034.358.224.839
885489;1;5;1;10;1;1;1;1;2000;8;3;;1;;;3;;;1;1;1;1;3;0;;5;0;5;705.034.358.224.839
885490;1;1;1;10;1;2;1;7;1968;40;1;5;1;;;1;1;18500;2;1;2;;4;7;;5;7;5;730.452.902.437.705
