directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;Area;clase;DPTO;Fex_c_2011
14929;1;2;45;47;4781;4;14;0;6; ;120000;1;1;04;76;1;76;513,63831187824
14930;1;1;54;97;9700;3;54;54; ;480000; ; ;1;04;18;1;18;51,58451911507
14931;1;1;55;85;8544;4;40;0;6; ;877803;1;1;04;52;1;52;151,552691760479
14932;1;1;53;56;5619;4;15;0;5; ;250000;1;1;04;13;1;13;1109,35655642584
14938;1;1;53;55;5511;4;48;0;5; ;800000;1;1;04;13;1;13;1139,75498227742
14939;1;2;97;45;4530;1;48;0;7;960000; ; ;1;04;50;1;50;224,491099539311
14940;1;1;58;85;8530;1;48;48; ;960000; ; ;1;04;50;1;50;201,715263369523
14944;1;1;41;47;4724;4;14;7;6; ; ;1;1;04;08;1;08;774,212221152019
14946;1;1;41;47;4711;4;84;50;7; ;400000;1;1;04;50;1;50;130,888375334553
14951;1;1;41;47;4711;4;46;0;7; ;900000;1;1;04;70;1;70;127,473575609565
14951;1;2;79;14;1410;4;30;0;7; ;350000;1;1;04;70;1;70;127,473575609565
14952;1;3;45;47;4792;4;42;0;7; ;350000;1;1;04;41;1;41;55,0433493377986
14952;1;4;33;86;8621;1;48;10;7;980657; ; ;1;04;41;1;41;55,0433493377986
14955;1;4;33;47;4711;1;48;48; ;960000; ; ;1;04;50;1;50;148,396470982778
14956;1;3;44;47;4719;4;50;0;5; ;800000;1;1;04;23;1;23;86,532375416295
14956;1;5;57;96;9602;4;48;0;5; ;400000;1;1;04;23;1;23;86,532375416295
14957;1;1;84;45;4520;4;54;9;2; ;300000;1;1;04;18;1;18;45,2811762916297
14957;1;3;59;96;9609;4;30;6;4; ;250000;1;1;04;18;1;18;45,2811762916297
14961;1;1;58;84;8423;2;72;84; ; ; ; ;1;04;76;1;76;1402,94004762839
14961;1;2;83;31;3110;1;50;0;7;900000; ; ;1;04;76;1;76;1402,94004762839
14961;1;3;33;47;4711;1;63;63; ; ; ; ;1;04;76;1;76;1402,94004762839
14962;1;1;03;43;4321;1;48;48; ;1100000; ; ;1;04;68;1;68;1429,58609820463
14964;1;1;49;64;6499;4;7;7; ; ;2500000;1;1;04;50;1;50;296,437985563727
14965;1;1;41;47;4721;4;40;0;6; ;1000000;1;1;04;68;1;68;1321,63445099747
14968;1;2;13;85;8530;1;40;40; ;2100000; ; ;1;04;50;1;50;268,478867576188
14969;1;3;59;96;9609;4;40;0;7; ;300000;1;1;04;76;1;76;1213,87397089979
14970;1;2;98;49;4921;4;43;0;7; ;600000;1;1;04;70;1;70;194,61607283157
14970;1;3;98;49;4921;4;48;0;7; ;800000;1;1;04;70;1;70;194,61607283157
14972;1;1;45;47;4721;4;28;8;6; ;320000;1;1;04;68;1;68;186,784451713524
14973;1;1;84;42;4290;1;48;0;5;1000000; ; ;1;04;50;1;50;355,969005596522
14974;1;2;16;85;8544;1;48;0;5;877803; ; ;1;04;23;1;23;128,823990994572
14977;1;1;45;47;4752;1;47;0;7;980667; ; ;1;04;41;1;41;112,797766883638
14978;1;1;85;95;9522;4;48;0;7; ;500000;1;1;04;76;1;76;2095,06350044466
14978;1;3;39;47;4752;1;50;0;7;1140000; ; ;1;04;76;1;76;2095,06350044466
14979;1;1;79;95;9524;4;48;0;7; ;400000;1;1;04;41;1;41;118,397901033979
14979;1;2;39;65;6511;1;45;0;3;980657; ; ;1;04;41;1;41;118,397901033979
14980;1;1;32;68;6820;1;48;0;6;877000; ; ;1;04;68;1;68;325,610834494925
14980;1;3;77;10;1081;4;72;35;6; ;800000;1;1;04;68;1;68;325,610834494925
14981;1;1;41;46;4649;5;60;0;5; ; ;1;1;04;11;1;11;1969,55724712776
14981;1;2;41;46;4649;4;40;0;5; ; ;1;1;04;11;1;11;1969,55724712776
14981;1;3;54;97;9700;3;60;65; ;900000; ; ;1;04;11;1;11;1969,55724712776
14982;1;1;08;84;8412;2;45;70; ;4500000; ; ;1;04;50;1;50;243,216513848581
14983;1;1;45;47;4759;1;45;25;6;877800; ; ;1;04;18;1;18;54,039175388855
14983;1;2;13;85;8530;2;30;10;5;1200000; ; ;1;04;18;1;18;54,039175388855
14984;1;2;77;10;1011;1;48;36;6;980657; ; ;1;04;41;1;41;121,056231446108
14985;1;2;13;85;8553;4;48;25;6; ;800000;1;1;04;50;1;50;226,122174235016
14988;1;3;54;97;9700;3;60;60; ;350000; ; ;1;04;70;1;70;126,217569309295
14988;1;4;59;97;9700;3;84;84; ;500000; ; ;1;04;70;1;70;126,217569309295
14989;1;1;41;47;4723;4;30;0;6; ;1200000;1;1;04;41;1;41;119,851868730362
14989;1;2;11;41;4112;1;48;48; ;1640000; ; ;1;04;41;1;41;119,851868730362
14990;1;2;34;09;0910;1;40;40; ; ; ; ;1;04;50;1;50;317,449996914075
14991;1;1;03;86;8610;1;45;0;3;877810; ; ;1;04;19;1;19;79,5147132397556
14994;1;1;61;01;0141;5;60;20;6; ;8000000;1;1;04;50;1;50;175,210249717897
14995;1;1;59;94;9420;1;42;18;6; ; ; ;1;04;19;1;19;147,855854338467
14996;1;1;44;47;4719;4;48;0;5; ;800000;1;1;04;23;1;23;178,030292280942
14997;1;1;98;49;4921;4;84;40;7; ;700000;1;1;04;44;1;44;54,1393860749456
14997;1;2;54;97;9700;3;48;48; ;300000; ; ;1;04;44;1;44;54,1393860749456
14998;1;1;97;46;4631;1;50;6;7;877803; ; ;1;04;54;1;54;621,815139400258
14998;1;2;41;47;4711;4;24;0;6; ;100000;1;1;04;54;1;54;621,815139400258
15000;1;3;41;47;4771;4;60;0;6; ;0;1;1;04;50;1;50;226,122174235016
15002;1;1;53;56;5619;4;25;12;6; ;350000;1;1;04;18;1;18;52,6684527217275
15004;1;3;44;68;6820;4;48;0;7; ;700000;1;1;04;23;1;23;120,740041284388
15006;1;3;77;10;1081;1;48;16;6;540000; ; ;1;04;23;1;23;155,35206834661
15006;1;4;59;86;8621;1;48;48; ;877803; ; ;1;04;23;1;23;155,35206834661
15011;1;2;39;84;8414;1;40;40; ;3000000; ; ;1;04;08;1;08;658,733539216417
15014;1;1;87;25;2511;1;50;0;3;877803; ; ;1;04;54;1;54;508,389720454962
15015;1;1;53;56;5619;4;24;0;7; ;40000;1;1;04;41;1;41;73,1929572445447
15015;1;2;53;56;5619;6;24;0;7; ; ; ;1;04;41;1;41;73,1929572445447
15022;1;2;44;64;6412;1;48;40;7;1400000; ; ;1;04;23;1;23;129,565218892574
15023;1;1;45;47;4792;4;10;10; ; ;150000;1;1;04;44;1;44;68,3196721311472
15023;1;4;54;97;9700;3;48;48; ;680000; ; ;1;04;44;1;44;68,3196721311472
15025;1;1;98;49;4921;4;72;48;6; ;500000;1;1;04;66;1;66;230,479306646244
15026;1;2;16;74;7410;1;45;40;5; ; ; ;1;04;11;1;11;2176,44885901288
15031;1;2;21;66;6615;4;25;25; ; ;1000000;1;1;04;52;1;52;211,216516107727
15031;1;3;12;69;6910;4;30;0;6; ;500000;1;1;04;52;1;52;211,216516107727
15035;1;1;21;94;9499;1;48;48; ;2000000; ; ;1;04;27;1;27;47,6775456919062
15035;1;2;44;79;7911;1;40;40; ;1500000; ; ;1;04;27;1;27;47,6775456919062
15039;1;2;54;97;9700;3;16;0;6;264; ; ;1;04;54;1;54;364,719381762777
15040;1;1;11;69;6920;4;20;20; ; ;1200000;1;1;04;41;1;41;304,460359123024
15041;1;1;58;80;8010;1;72;72; ;1500000; ; ;1;04;11;1;11;1623,71976000723
15043;1;2;11;72;7210;1;48;48; ;2500000; ; ;1;04;47;1;47;208,265954690917
15044;1;2;33;64;6412;1;48;48; ;1400000; ; ;1;04;11;1;11;2355,31653012677
15046;1;1;14;94;9491;1;50;4;6;1800000; ; ;1;04;54;1;54;591,390543686801
15046;1;2;45;47;4792;4;7;0;7; ; ;1;1;04;54;1;54;591,390543686801
15046;1;3;97;46;4631;1;48;36;6;877803; ; ;1;04;54;1;54;591,390543686801
15046;1;4;41;47;4711;4;24;0;7; ;300000;1;1;04;54;1;54;591,390543686801
15047;1;1;45;46;4632;1;44;44; ;1700000; ; ;1;04;66;1;66;454,902725378426
15047;1;2;97;46;4665;1;44;44; ;1150000; ; ;1;04;66;1;66;454,902725378426
15049;1;1;45;47;4781;4;48;12;6; ; ;1;1;04;17;1;17;79,2661224330076
15049;1;4;97;52;5224;4;21;0;6; ;150000;1;1;04;17;1;17;79,2661224330076
15050;1;1;42;56;5611;5;40;35;6; ;4000000;1;1;04;11;1;11;2678,56125453082
15050;1;2;44;68;6820;4;35;10;5; ;3000000;1;1;04;11;1;11;2678,56125453082
15050;1;3;19;86;8692;1;40;20;5;1600000; ; ;1;04;11;1;11;2678,56125453082
15054;1;1;57;96;9602;4;56;0;5; ;1200000;1;1;04;27;1;27;106,564800576865
15054;1;2;41;47;4721;4;48;0;5; ;150000;1;1;04;27;1;27;106,564800576865
15055;1;3;60;01;0141;1;8;0;7;0; ; ;1;04;15;1;15;112,789761024513
15056;1;1;98;49;4923;4;40;0;6; ;600000;1;1;04;47;1;47;135,744391896985
15058;1;1;55;81;8121;4;20;0;7; ;300000;1;1;04;27;1;27;30,807029524001
15058;1;3;71;08;0811;4;48;0;7; ;150000;1;1;04;27;1;27;30,807029524001
15058;1;6;98;49;4921;4;20;0;7; ;700000;1;1;04;27;1;27;30,807029524001
15058;1;7;54;97;9700;3;45;0;7;250000; ; ;1;04;27;1;27;30,807029524001
15059;1;1;84;33;3312;4;50;0;7; ;800000;1;1;04;76;1;76;1730,59356401916
15059;1;2;57;96;9602;4;36;0;7; ;30000;1;1;04;76;1;76;1730,59356401916
15062;1;1;53;56;5619;4;30;0;6; ;150000;1;1;04;23;1;23;232,290633987784
15062;1;2;87;36;3600;1;48;48; ;877803; ; ;1;04;23;1;23;232,290633987784
15062;1;7;54;97;9700;3;48;0;7;400000; ; ;1;04;23;1;23;232,290633987784
15062;1;8;53;56;5619;4;30;0;7; ;100000;1;1;04;23;1;23;232,290633987784
15063;1;1;61;81;8130;4;48;0;6; ;400000;1;1;04;47;1;47;182,907748743436
15063;1;2;54;81;8121;4;24;0;6; ;100000;1;1;04;47;1;47;182,907748743436
15063;1;4;95;41;4111;4;54;0;6; ;1300000;1;1;04;47;1;47;182,907748743436
15064;1;2;97;05;0510;1;48;0;6;1800000; ; ;1;04;20;1;20;304,813316055326
15065;1;1;41;47;4754;4;60;0;7; ;0;1;1;04;15;1;15;132,284816117542
15068;1;1;44;64;6412;1;40;35;6;3200000; ; ;1;04;52;1;52;350,915238235678
15068;1;2;44;64;6424;1;44;0;6;1500000; ; ;1;04;52;1;52;350,915238235678
15069;1;1;13;85;8544;1;60;60; ;3100000; ; ;1;04;08;1;08;736,047039626874
15069;1;2;19;85;8544;1;40;40; ;3000000; ; ;1;04;08;1;08;736,047039626874
15070;1;1;45;92;9200;4;49;0;6; ;400000;1;1;04;70;1;70;87,2248607443393
15070;1;3;98;49;4921;4;60;6;6; ;550000;1;1;04;70;1;70;87,2248607443393
15070;1;15;53;56;5619;1;48;0;6;450000; ; ;1;04;70;1;70;87,2248607443393
15073;1;2;45;47;4781;4;30;0;6; ;60000;1;1;04;68;1;68;237,367526392262
15074;1;1;08;84;8424;2;40;40; ;4500000; ; ;1;04;70;1;70;154,817032464985
15074;1;2;12;85;8551;2;40;40; ;3800000; ; ;1;04;70;1;70;154,817032464985
15076;1;1;54;81;8121;4;48;0;6; ;400000;1;1;04;15;1;15;158,059964289535
15076;1;2;98;49;4921;4;60;24;6; ;800000;1;1;04;15;1;15;158,059964289535
15078;1;1;97;47;4711;1;60;40;7;877803; ; ;1;04;15;1;15;111,86743143564
15079;1;1;84;45;4520;4;45;0;6; ;300000;1;1;04;05;1;05;2311,96110474641
15081;1;1;41;47;4752;5;60;0;6; ; ;1;1;04;17;1;17;204,144143560508
15081;1;3;38;82;8220;1;48;48; ;1100000; ; ;1;04;17;1;17;204,144143560508
15081;1;4;38;82;8220;1;48;48; ;10000000; ; ;1;04;17;1;17;204,144143560508
15082;1;1;98;49;4921;4;56;12;5; ;900000;1;1;04;27;1;27;83,2189888440545
15083;1;1;44;79;7911;1;40;0;6;300000; ; ;1;04;15;1;15;73,3747157886079
15083;1;2;58;84;8423;2;40;40; ;1800000; ; ;1;04;15;1;15;73,3747157886079
15084;1;1;41;47;4771;4;14;8;6; ;500000;1;1;04;44;1;44;68,3196721311472
15084;1;2;12;84;8424;2;60;60; ;3000000; ; ;1;04;44;1;44;68,3196721311472
15086;1;2;55;64;6412;1;48;24;6;877803; ; ;1;04;05;1;05;3648,42738606734
15086;1;3;03;13;1313;1;60;0;6;1100000; ; ;1;04;05;1;05;3648,42738606734
15089;1;3;15;84;8412;4;40;40; ; ; ;1;1;04;76;1;76;1288,67532478991
15093;1;3;45;47;4771;1;54;0;5;1000000; ; ;1;04;27;1;27;23,3995788022275
15093;1;4;03;62;6201;4;30;0;6; ;700000;1;1;04;27;1;27;23,3995788022275
15094;1;2;58;47;4761;1;24;12;6;700000; ; ;1;04;20;1;20;321,284556272978
15094;1;4;58;47;4761;1;48;24;6;980000; ; ;1;04;20;1;20;321,284556272978
15095;1;2;58;84;8422;2;40;40; ;1800000; ; ;1;04;18;1;18;188,466731038935
15096;1;1;13;85;8512;1;40;0;6;877803; ; ;1;04;66;1;66;583,347812121788
15099;1;1;98;49;4921;4;48;0;5; ; ;1;1;04;20;1;20;255,40173065083
15099;1;2;45;56;5619;4;40;0;5; ;300000;1;1;04;20;1;20;255,40173065083
15101;1;5;21;70;7020;4;40;0;6; ;0;1;1;04;68;1;68;319,837998404721
15102;1;1;13;85;8541;2;48;0;3;1820000; ; ;1;04;20;1;20;89,5818204335893
15106;1;1;99;47;4721;4;56;0;6; ;700000;1;1;04;11;1;11;2128,74676881994
15106;1;2;99;47;4721;4;56;0;6; ;700000;1;1;04;11;1;11;2128,74676881994
15108;1;1;11;84;8415;2;40;40; ; ; ; ;1;04;70;1;70;111,55285281795
15110;1;3;37;49;4923;1;60;0;6;900000; ; ;1;04;63;1;63;50,8510644887253
15110;1;6;45;47;4731;1;48;0;6; ; ; ;1;04;63;1;63;50,8510644887253
15115;1;1;99;81;8129;1;48;48; ;1200000; ; ;1;04;20;1;20;151,950901896986
15115;1;2;45;47;4792;4;4;1;6; ;200000;1;1;04;20;1;20;151,950901896986
15116;1;1;51;56;5613;4;60;0;6; ; ;1;1;04;17;1;17;149,641897553124
15116;1;2;45;56;5613;6;50;1;6; ; ; ;1;04;17;1;17;149,641897553124
15117;1;1;38;82;8220;1;48;48; ;1100000; ; ;1;04;17;1;17;51,036035890127
15117;1;3;93;41;4112;1;48;0;3;1300000; ; ;1;04;17;1;17;51,036035890127
15117;1;4;11;21;2100;1;48;48; ;1700000; ; ;1;04;17;1;17;51,036035890127
15118;1;1;12;84;8413;2;48;0;1;2050000; ; ;1;04;19;1;19;71,8347856292156
15118;1;4;45;47;4789;4;40;0;6; ;1000000;1;1;04;19;1;19;71,8347856292156
15120;1;1;41;47;4729;4;50;0;6; ;200;1;1;04;66;1;66;516,747746059438
15121;1;1;49;64;6499;4;7;7; ; ;2500000;1;1;04;50;1;50;296,437985563727
15122;1;1;45;47;4789;4;55;0;6; ; ;1;1;04;68;1;68;259,745636015666
15123;1;1;95;41;4111;4;48;0;7; ;500000;1;1;04;20;1;20;189,0901202331
15123;1;3;55;66;6630;1;48;0;6;877803; ; ;1;04;20;1;20;189,0901202331
15124;1;1;98;49;4923;4;48;0;6; ;1600000;1;1;04;54;1;54;907,133525718682
15126;3;1;95;41;4112;4;56;0;5; ;640000;1;1;04;54;1;54;221,375287408281
15132;1;1;75;13;1312;1;48;0;6; ; ; ;1;04;11;1;11;5147,88179411035
15132;1;4;06;86;8621;4;30;30; ; ; ;1;1;04;11;1;11;5147,88179411035
15136;1;2;39;84;8424;2;40;0;3;2800000; ; ;1;04;08;1;08;546,068995661451
15137;1;1;95;31;3110;4;65;1;1; ;900000;1;1;04;18;1;18;42,2900111664087
15140;1;1;54;97;9700;3;54;0;6;562000; ; ;1;04;15;1;15;96,1245435799176
15141;1;1;95;41;4111;1;48;0;7;987000; ; ;1;04;50;1;50;304,914802899898
15142;1;1;30;80;8010;1;48;48; ;1100000; ; ;1;04;66;1;66;147,132600239585
15147;1;3;39;85;8551;4;48;0;6; ;877803;1;1;04;11;1;11;3406,56385660941
15149;1;1;58;68;6820;1;50;50; ;900000; ; ;1;04;68;1;68;352,290795224272
15149;1;3;15;15;1522;4;30;0;6; ;900000;1;1;04;68;1;68;352,290795224272
15149;1;4;19;86;8692;1;45;0;6;1200000; ; ;1;04;68;1;68;352,290795224272
15150;1;1;33;70;7010;1;45;0;6;1500000; ; ;1;04;52;1;52;149,699389310739
15150;1;2;33;56;5611;1;48;0;6;950000; ; ;1;04;52;1;52;149,699389310739
15151;1;1;32;86;8692;1;40;40; ;980657; ; ;1;04;27;1;27;15,7442342204647
15154;1;1;55;97;9700;3;30;30; ;250000; ; ;1;04;27;1;27;69,6529070426417
15154;1;2;41;47;4721;4;40;40; ; ;400000;1;1;04;27;1;27;69,6529070426417
15158;1;1;57;96;9602;4;50;0;6; ;1500;1;1;04;66;1;66;605,197994214096
15171;1;2;97;15;1522;1;55;0;5;1000000; ; ;1;04;41;1;41;359,633147223726
15173;1;1;54;81;8121;4;30;0;6; ;0;1;1;04;68;1;68;267,926188084459
15174;1;2;53;56;5619;1;48;0;6;60000; ; ;1;04;68;1;68;239,97567445259
15174;1;3;98;49;4921;4;60;0;6; ;0;1;1;04;68;1;68;239,97567445259
15174;1;4;53;56;5619;1;48;0;6;100000; ; ;1;04;68;1;68;239,97567445259
15178;1;1;03;61;6190;1;48;48; ;900000; ; ;1;04;66;1;66;392,075262342182
15179;1;1;11;84;8412;2;50;50; ;4700000; ; ;1;04;76;1;76;1026,77895258669
15181;1;2;79;95;9529;4;20;0;7; ;0;1;1;04;27;1;27;13,7559703279031
15183;1;2;33;47;4711;1;55;55; ;850000; ; ;1;04;27;1;27;21,2715203856197
15183;1;5;59;86;8691;1;40;40; ;850000; ; ;1;04;27;1;27;21,2715203856197
15184;1;1;53;56;5611;1;48;0;6;877803; ; ;1;04;66;1;66;651,685389372968
15184;1;2;57;96;9602;4;48;0;6; ;600;1;1;04;66;1;66;651,685389372968
15185;1;2;54;97;9700;3;40;0;7;250000; ; ;1;04;27;1;27;30,807029524001
15186;1;1;89;43;4330;4;60;0;6; ;150000;1;1;04;68;1;68;325,610834494925
15186;1;2;80;15;1522;4;62;0;6; ;80000;1;1;04;68;1;68;325,610834494925
15188;1;1;85;43;4321;4;40;0;7; ;700000;1;1;04;18;1;18;60,9714064150667
15188;1;5;03;66;6613;1;45;45; ;970000; ; ;1;04;18;1;18;60,9714064150667
15189;1;1;59;86;8622;1;40;0;6;400000; ; ;1;04;15;1;15;206,410708212486
15189;1;2;58;84;8423;2;40;40; ;1800000; ; ;1;04;15;1;15;206,410708212486
15193;1;1;33;64;6412;1;48;48; ;2000000; ; ;1;04;44;1;44;128,834573846192
15193;1;2;44;64;6412;1;48;48; ;1800000; ; ;1;04;44;1;44;128,834573846192
15194;1;1;55;85;8530;1;48;0;6;877803; ; ;1;04;20;1;20;132,466077927802
15194;1;2;95;41;4111;4;48;0;7; ;900000;1;1;04;20;1;20;132,466077927802
15194;1;3;41;47;4741;4;48;0;7; ;700000;1;1;04;20;1;20;132,466077927802
15196;1;1;18;93;9311;4;24;0;6; ;400000;1;1;04;68;1;68;318,907164663501
15196;1;2;59;85;8559;1;48;0;6;800000; ; ;1;04;68;1;68;318,907164663501
15196;1;4;55;81;8121;4;20;0;6; ;0;1;1;04;68;1;68;318,907164663501
15197;1;1;85;43;4321;4;48;0;6; ;500000;1;1;04;17;1;17;78,3804868234322
15197;1;2;79;14;1410;1;48;0;6;600000; ; ;1;04;17;1;17;78,3804868234322
15198;1;1;34;84;8415;2;40;20;7;3800000; ; ;1;04;27;1;27;15,3249254009698
15199;1;1;21;85;8551;5;48;24;6; ;3000000;1;1;04;52;1;52;189,69528828686
15200;1;1;14;94;9491;1;48;48; ;877803; ; ;1;04;66;1;66;408,822629773375
15201;1;1;21;47;4752;1;44;16;1;1000000; ; ;1;04;18;1;18;69,8443160860389
15201;1;3;13;85;8530;2;44;25;1;4000000; ; ;1;04;18;1;18;69,8443160860389
15203;1;1;54;97;9700;3;48;0;6;455000; ; ;1;04;66;1;66;484,084743734472
15207;1;1;21;96;9609;4;40;5;6; ; ;1;1;04;76;1;76;1101,20163318474
15207;1;2;32;96;9609;4;15;0;6; ;0;1;1;04;76;1;76;1101,20163318474
15207;1;3;16;90;9004;4;80;10;6; ;0;1;1;04;76;1;76;1101,20163318474
15207;1;4;12;69;6910;4;40;5;6; ;0;1;1;04;76;1;76;1101,20163318474
15207;1;5;15;46;4642;1;48;0;3;1300000; ; ;1;04;76;1;76;1101,20163318474
15214;1;1;16;74;7420;4;48;25;6; ;0;1;1;04;18;1;18;62,7843770404443
15215;1;1;02;72;7210;2;36;0;7; ; ; ;1;04;27;1;27;15,3249254009698
15215;1;2;21;70;7020;4;48;0;7; ; ;1;1;04;27;1;27;15,3249254009698
15216;1;1;45;47;4792;4;20;0;6; ;300000;1;1;04;17;1;17;122,26891316238
15217;1;1;98;49;4921;4;56;12;7; ;490000;1;1;04;70;1;70;103,125673412099
15219;1;3;58;97;9700;3;56;56; ;100000; ; ;1;04;18;1;18;80,6198276779815
15220;1;2;58;88;8890;1;55;55; ;1200000; ; ;1;04;27;1;27;81,079796135469
15221;1;1;54;88;8890;4;40;0;5; ;200000;1;1;04;41;1;41;164,533595896518
15223;1;1;89;23;2310;4;42;0;7; ;800000;1;1;04;08;1;08;989,23085503204
15223;1;2;57;96;9602;1;48;0;7;700000; ; ;1;04;08;1;08;989,23085503204
15224;1;1;63;02;0220;4;20;0;7; ;400000;1;1;04;27;1;27;30,807029524001
15224;1;2;54;97;9700;3;40;20;7;300000; ; ;1;04;27;1;27;30,807029524001
15224;1;3;34;61;6190;1;20;0;7;300000; ; ;1;04;27;1;27;30,807029524001
15225;1;3;03;35;3513;1;48;48; ;920000; ; ;1;04;20;1;20;108,448812198212
15226;1;3;59;86;8610;1;48;48; ; ; ; ;1;04;17;1;17;120,30252030986
15231;1;1;13;85;8544;1;40;40; ;2000000; ; ;1;04;08;1;08;430,645500768011
15231;1;3;16;73;7310;4;48;48; ; ;2000000;1;1;04;08;1;08;430,645500768011
15233;1;1;45;47;4774;1;48;30;6;1000000; ; ;1;04;66;1;66;421,555042301496
15234;1;2;77;46;4631;1;50;0;6;520000; ; ;1;04;15;1;15;90,561634516318
15236;1;2;98;49;4921;4;70;0;6; ;400000;1;1;04;70;1;70;118,393162569385
15237;1;1;85;10;1040;1;48;48; ;170000; ; ;1;04;20;1;20;221,395643997602
15237;1;2;39;64;6412;1;48;48; ;930000; ; ;1;04;20;1;20;221,395643997602
15238;1;1;44;68;6820;4;40;0;6; ;800000;1;1;04;18;1;18;32,5914945645579
15239;1;2;59;86;8610;1;48;36;6;1200000; ; ;1;04;20;1;20;134,322855148912
15240;1;3;33;64;6492;1;48;30;6;1000000; ; ;1;04;19;1;19;24,4902478904492
15242;1;2;54;88;8890;1;20;20; ;438900; ; ;1;04;54;1;54;303,03733363572
15242;1;3;07;84;8413;4;48;48; ; ;2000000;1;1;04;54;1;54;303,03733363572
15244;1;1;98;49;4921;4;30;0;6; ;0;1;1;04;68;1;68;1626,47510235393
15244;1;2;54;81;8121;4;24;0;6; ;0;1;1;04;68;1;68;1626,47510235393
15246;1;1;02;35;3513;1;49;49; ;1000000; ; ;1;04;18;1;18;158,090870199255
15248;1;2;37;53;5320;4;40;40; ; ;500000;1;1;04;20;1;20;150,867196315573
15250;1;2;06;86;8622;1;48;48; ;2100000; ; ;1;04;41;1;41;164,753284607174
15251;1;2;38;82;8220;1;30;30; ;630000; ; ;1;04;76;1;76;970,340527637214
15252;1;5;55;86;8610;1;48;48; ;1272000; ; ;1;04;63;1;63;65,8478670383999
15252;1;6;19;86;8692;1;48;48; ;1400000; ; ;1;04;63;1;63;65,8478670383999
15256;1;1;41;46;4620;4;50;0;6; ;200000;1;1;04;15;1;15;188,047222153237
15256;1;2;54;81;8121;4;20;0;6; ;60000;1;1;04;15;1;15;188,047222153237
15258;1;1;77;56;5619;4;50;0;5; ;700000;1;1;04;20;1;20;60,3597375580094
15259;1;1;21;96;9602;1;48;0;6;3000000; ; ;1;04;08;1;08;538,933058862401
15259;1;2;44;47;4774;1;48;0;6;1800000; ; ;1;04;08;1;08;538,933058862401
15260;1;2;06;86;8622;4;48;0;6; ;1200000;1;1;04;20;1;20;185,21933864064
15260;1;4;07;86;8692;4;48;0;6; ;1200000;1;1;04;20;1;20;185,21933864064
15265;1;1;54;97;9700;3;72;72; ;834000; ; ;1;04;73;1;73;944,308875823183
15269;1;2;83;80;8020;4;30;0;7; ;0;1;1;04;15;1;15;86,5818230695691
15269;1;3;32;71;7110;1;40;40; ;877803; ; ;1;04;15;1;15;86,5818230695691
15269;1;4;41;47;4752;4;48;0;7; ;0;1;1;04;15;1;15;86,5818230695691
15271;1;4;97;47;4729;1;48;24;6;877803; ; ;1;04;63;1;63;148,392445484144
15273;1;1;45;45;4530;1;48;0;6;877803; ; ;1;04;68;1;68;1894,55113523088
15274;1;1;95;41;4111;1;50;0;6;500000; ; ;1;04;23;1;23;162,979558220053
15275;1;2;98;53;5320;4;50;0;6; ;900000;1;1;04;18;1;18;37,8103808233898
15276;1;1;03;35;3520;1;48;0;6;1200000; ; ;1;04;44;1;44;42,5815654821193
15276;1;2;33;86;8610;1;48;0;6;1500000; ; ;1;04;44;1;44;42,5815654821193
15279;1;1;18;84;8412;4;24;0;6; ;1800000;1;1;04;20;1;20;173,833703115267
15279;1;2;45;47;4792;4;20;0;6; ;100000;1;1;04;20;1;20;173,833703115267
15283;1;1;03;35;3513;4;54;0;7; ;1200000;1;1;04;54;1;54;341,00503686002
15283;1;2;45;92;9200;1;48;0;7;877802; ; ;1;04;54;1;54;341,00503686002
15289;1;1;87;45;4520;4;42;0;5; ;900000;1;1;04;47;1;47;108,377399725744
15289;1;3;87;45;4520;4;40;0;5; ;800000;1;1;04;47;1;47;108,377399725744
15290;1;3;39;46;4645;1;48;48; ;1470000; ; ;1;04;08;1;08;758,945965440247
15291;1;1;39;45;4542;1;48;0;3;1200000; ; ;1;04;66;1;66;505,989799086235
15292;1;1;79;95;9529;4;12;0;6; ;60000;1;1;04;41;1;41;66,6077603096994
15292;1;2;97;47;4711;1;48;48; ;1000000; ; ;1;04;41;1;41;66,6077603096994
15292;1;5;54;97;9700;3;30;0;6;500000; ; ;1;04;41;1;41;66,6077603096994
15292;1;6;33;47;4711;1;36;36; ;800000; ; ;1;04;41;1;41;66,6077603096994
15297;1;1;60;01;0141;1;50;50; ;1000000; ; ;1;04;18;1;18;50,2809481807019
15298;1;2;55;53;5320;1;48;0;3;877800; ; ;1;04;54;1;54;486,81602571552
15300;1;2;59;86;8610;1;30;30; ;1200000; ; ;1;04;41;1;41;151,536947645584
15301;2;1;53;56;5619;4;36;16;6; ;340000;1;1;04;76;1;76;1448,88915083212
15302;1;1;95;41;4111;4;54;0;7; ;500000;1;1;04;08;1;08;1026,24956371853
15302;1;2;45;47;4792;4;16;0;7; ;300000;1;1;04;08;1;08;1026,24956371853
15303;1;1;77;56;5619;4;65;0;7; ;350000;1;1;04;54;1;54;413,065251521282
15303;1;3;33;47;4741;1;60;0;7;877800; ; ;1;04;54;1;54;413,065251521282
15304;1;2;33;64;6412;1;48;0;6; ; ; ;1;04;44;1;44;72,5014321388597
15312;1;1;79;15;1513;4;56;0;5; ;700000;1;1;04;54;1;54;284,58704699051
