DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;DPTO;AREA;fex_c_2011
448097;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;827,684892578135
448098;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;1;05;05;822,344898349138
448098;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1200000;2;1;2;1;05;05;822,344898349138
448099;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;56000; ; ; ;2;2;2;1;05;05;808,631130179356
448099;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;808,631130179356
448099;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;808,631130179356
448100;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48000; ; ; ;2;2;2;1;05;05;681,152897181714
448100;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1500000;2;1;2;1;05;05;681,152897181714
448101;1;1;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1107,3520540694
448101;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1107,3520540694
448101;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1107,3520540694
448101;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1107,3520540694
448102;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;60000; ; ; ;2;2;2;1;05;05;776,274357869666
448102;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;776,274357869666
448102;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;776,274357869666
448102;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;776,274357869666
448102;1;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;776,274357869666
448102;1;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;776,274357869666
448103;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;744,040042581961
448103;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;744,040042581961
448103;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;744,040042581961
448104;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;919,716459243216
448104;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2;600000; ; ; ; ; ;2;2;1;1;05;05;919,716459243216
448105;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;48000; ; ; ;2;2;2;1;05;05;1091,77323588863
448105;1;4;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;900000; ; ; ;2;2;2;1;05;05;1091,77323588863
448105;1;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;1091,77323588863
448106;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;1;05;05;919,716459243216
448106;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;919,716459243216
448107;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;650000; ; ; ;2;2;2;1;05;05;865,710535714718
448107;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;865,710535714718
448107;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;865,710535714718
448108;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;933,816594409514
448108;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;933,816594409514
448108;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;933,816594409514
448108;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;933,816594409514
448108;1;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;933,816594409514
448109;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;653,247638744421
448109;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;653,247638744421
448110;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;821,005084372656
448110;1;2;95;1; ;2;1; ;433700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;821,005084372656
448110;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;821,005084372656
448111;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;720,219203530118
448111;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;800000; ; ; ;2;2;2;1;05;05;720,219203530118
448111;1;3;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;60000; ; ; ;2;2;2;1;05;05;720,219203530118
448112;1;1;95;1; ;1;2; ; ;360000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;974,10874976823
448112;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;974,10874976823
448112;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;974,10874976823
448112;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;974,10874976823
448112;1;6;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;974,10874976823
448113;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;1;05;05;862,637053707853
448113;1;2;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;600000;2;1;2;1;05;05;862,637053707853
448114;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;919,716459243216
448114;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;900000; ; ; ;2;2;2;1;05;05;919,716459243216
448115;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;657,25364575678
448115;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;657,25364575678
448115;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;657,25364575678
448115;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;657,25364575678
448116;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;1280000; ; ; ;2;2;2;1;05;05;764,332967808281
