DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5214671;1;1;1;70;54;24;48;4; ;2;30;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;97;41;1;2;4772;09;54;352,232180369989
5214673;1;3;1;70;23;28;48;1; ;2;30;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;14;92;92;1;2;1410;09;23;194,753320024822
5214682;1;5;1;70;54;26;48;1; ;2;48;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1800000;2; ;41;02;02;1;2;4111;09;54;244,984713991253
5214685;1;3;1;70;54;32;48;1; ;2;36;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;84;45;97;1;2;8413;09;54;370,713735055783
5214687;1;3;1;70;76;20;48;1; ;2;25;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;82;97;17;1;2;8230;09;76;1389,10534561301
5214688;1;2;1;70;76;25;48;1; ;2;25;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877807;2; ;90;19;17;1;2;9008;09;76;1144,23663082642
5214695;1;1;1;70;76;39;72;1; ;2;39;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;1;100000;1200000;2; ;86;59;59;1;2;8621;09;76;1263,45873092884
5214700;1;3;1;70;76;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877807; ; ; ;59; ;1;1;.;09;76;1319,87002994022
5214701;1;1;1;70;76;8;48;1; ;2;4;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;800000;877807;2; ;95;03;03;1;1;9511;09;76;1127,77974453497
5214717;1;2;1;70;13;8;40;4; ;2;20;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;56;41;53;1;1;5619;09;13;155,253634574547
