DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6006;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4167572;1;4;2;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;2;2;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;47;153,149136341994;47
4167573;1;4;2;1;1;1;10;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;47;170,065529985043;47
4167574;1;3;2;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;1;2; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;47;79,8983079242717;47
4167575;1;5;3;1;1;1;1;1;3;4; ; ; ;1000000; ;2;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;2;2;1;1; ;3;1;1;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;47;197,912958466481;47
4167576;1;3;2;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;2;2;1;2; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;47;180,986821072474;47
4167577;1;4;3;1;1;1;10;1;3;3; ; ; ; ;500000;1;2;1;1;1;1;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2; ;5;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;47;196,961613852303;47
4167578;1;4;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;2;1;2;1;3; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;47;186,040322764872;47
4167579;1;1;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;6;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;10;47;280,41816294784;47
4167580;1;3;2;1;1;1;10;1;3;5; ; ; ;300000; ;2;1;2;1;1;1;1;2;1;2;1;1;1;2;2;1;1;1;2;1;2;1;2; ;3;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;47;138,851402673389;47
4167581;1;4;3;1;1;1;9;1;3;5; ; ; ;300000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;2;2;2;2;1;2; ;4;1;1;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;47;183,465052475062;47
4167582;1;3;2;1;1;1;1;1;3;1; ; ;98;300000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;47;79,8983079242717;47
4167583;1;3;1;1;1;1;10;6; ;5; ; ; ;300000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;1;1; ;1;2; ;1;1;1;2;1;1;2;1;1;3;1;2;01;1;10;47;147,923980146935;47
4167584;1;3;1;1;1;1;10;1;3;2; ;500000;70000000;500000; ;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;2;2;1;4; ;4;2; ;1;2;1;4;1;2;1;1;1;7;1;2;01;1;10;47;139,18460668086;47
4167585;1;1;1;1;1;1;1;1;3;3; ; ; ; ;100000;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;47;107,318065681343;47
4167586;1;2;1;1;1;1;9;1;3;5; ; ; ;250000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ;4;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;10;47;138,786892055799;47
4167587;1;3;2;1;1;1;1;1;3;4; ; ; ;250000; ;2;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2; ;4;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;10;47;186,040322764872;47
4167588;1;3;2;1;1;1;1;1;3;5; ; ; ;300000; ;2;1;1;1;1;1;1;2;1;2;1;2;1;1;2;1;1;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;47;136,3731712708;47
4167589;1;1;1;1;1;1;10;2;3;3; ; ; ; ;300000;2;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;47;138,851402673389;47
4167590;1;2;1;1;1;1;10;1;3;3; ; ; ; ;200000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;4;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;47;186,040322764872;47
4167591;1;3;2;1;1;1;1;1;3;4; ; ; ;300000; ;2;1;2;2;1;1;1;1;2;2;1;2;1;1;2;1;1;2;2;2;2;1;1; ;4;2; ;1;2;1;2;1;1;1;1;1;3;1;2;01;1;10;47;114,689882702559;47
4167592;1;3;2;1;1;1;10;1;3;3; ; ; ; ;300000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;2; ;7;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;47;224,15666538281;47
4167594;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;1;2;2;1;1;2;2;2;1;2; ;4;1;1;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;47;154,345436268016;47
4167595;1;4;3;1;1;1;10;1;3;1; ; ;150000000;1000000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;47;85,977724871531;47
4167596;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;1;2;2;1;2; ;5;2; ;1;1;1;2;1;3;1;1;1;3;1;2;01;1;10;47;171,592416773454;47
4167597;1;3;2;1;1;1;10;1;3;3; ; ; ; ;480000;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;1;1;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;47;138,851402673389;47
4167598;1;3;2;1;1;1;10;1;3;3; ; ; ; ;300000;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;1; ;4;2; ;1;2;1;2;1;3;1;1;1;3;1;2;01;1;10;47;167,906508262846;47
4167599;1;4;3;1;1;1;1;1;3;4; ; ; ;400000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;5;2; ;1;1;1;2;1;3;1;1;1;3;1;2;01;1;10;47;86,3728525061883;47
4167602;1;3;2;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;47;136,3731712708;47
4167606;1;7;1;2;1;1;2;1;4;4; ; ; ;500000; ;2;1;2;1;1;1;1;1;1;2;1;1;1;2;2;1;1;2;2;2;2;1;1; ;1;2; ;1;1;1;4;1;2;2;2;1;3;2; ;01;1;10;47;147,923980146935;47
4167607;1;3;1;1;1;1;10;1;3;4; ; ; ;700000; ;2;1;2;1;1;1;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1; ;1;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;10;47;119,190701382952;47
4167608;1;3;2;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;1;2;1;2;2;1;3; ;6;2; ;1;1;1;4;1;4;1;1;1;3;1;2;01;1;10;47;93,757030423445;47
4167609;1;4;1;1;1;1;1;1;3;4; ; ; ;700000; ;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;4;1;1;1;3;1;2;01;1;10;47;164,624057418542;47
4167610;1;5;1;1;1;1;10;1;3;1; ; ;98;600000; ;1;2;1;2;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;1; ;3;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;47;171,28295084402;47
4167611;1;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2; ;4;2; ;1;2;1;4;1;4;1;1;1;3;1;2;01;1;10;47;114,689882702559;47
4167612;1;3;2;1;1;1;1;1;3;3; ; ; ; ;450000;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2; ;4;2; ;1;2;1;2;1;4;1;1;1;3;1;2;01;1;10;47;186,040322764872;47
4167613;1;3;2;1;1;1;10;1;3;4; ; ; ;450000; ;2;2;1;2;1;1;1;2;2;2;1;2;1;1;2;2;1;1;1;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;47;148,245806972409;47
4167614;1;6;3;1;1;1;1;1;3;1; ; ;98;1200000; ;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;1;1;2;2;2;2;1;2; ;5;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;47;182,128354131864;47
4167615;1;4;3;1;1;1;10;1;3;3; ; ; ; ;900000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;2;2;1;2;1;3; ;5;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;47;102,028435605627;47
4167616;1;3;2;1;1;1;1;1;3;5; ; ; ;200000; ;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1; ;4;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;47;114,689882702559;47
4167617;1;2;1;1;1;1;10;1;1;5; ; ; ;150000; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;1;1;2;1;1;2;1;1;3;2; ;01;1;10;47;121,680309967538;47
4167618;1;3;2;1;1;1;10;1;3;4; ; ; ;200000; ;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2; ;3;2; ;1;1;1;4;1;2;1;1;1;3;1;2;01;1;10;47;151,931715483017;47
4167619;1;2;1;1;1;1;1;1;3;3; ; ; ; ;280000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;2;1;2;1;3;1;1;1;3;1;1;01;1;10;47;162,210336633543;47
4167620;1;4;1;1;1;1;1;1;3;4; ; ; ;300000; ;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;4;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;47;230,332145741072;47
4167621;1;3;2;1;1;1;2;1;4;5; ; ; ;250000; ;2;2;1;2;1;1;1;2;2;2;1;2;2;1;2;1;1;1;2;2;2;1;2; ;5;2; ;1;1;1;4;1;1;2;1;1;3;2; ;01;1;10;47;212,617196951741;47
4167622;1;3;2;1;1;1;1;1;3;4; ; ; ;350000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;2;1;2;1;1;1;3;1;1;01;1;10;50;220,104193912793;50
4167623;1;3;2;1;1;1;1;1;3;5; ; ; ;350000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;3; ;3;2; ;1;2;1;2;1;2;1;1;1;3;1;1;01;1;10;50;163,501230750515;50
4167625;1;4;3;1;1;1;1;1;3;3; ; ; ; ;530000;2;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;1;4; ;5;2; ;1;2;1;4;1;3;1;1;1;3;1;2;01;1;10;50;213,575803898699;50
4167628;1;3;1;1;1;1;1;1;3;1; ; ;60000000;400000; ;2;2;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;1;1;2;1;3;1;1;1;3;1;2;01;1;10;50;269,139727189406;50
4167629;1;4;3;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;50;300,875489936645;50
4167630;1;1;1;1;2;1;1;6; ;3; ; ; ; ;150000;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1; ;1;2; ;1;3;1;2;1;3;2;1;1;3;1;1;01;1;10;50;263,813090596777;50
4167631;1;4;3;1;1;1;1;1;3;4; ; ; ;450000; ;1;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;1;2; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;50;300,875489936645;50
4167632;1;4;3;5;1;1;1;1;3;3; ; ; ; ;350000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;4;2; ;1;2;1;2;1;1;1;2;1;3;1;1;01;1;10;50;235,885560544724;50
4167633;1;3;2;1;1;1;1;1;3;5; ; ; ;400000; ;2;2;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;2;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;1;10;50;142,918614399014;50
4167634;1;2;1;1;1;1;1;1;4;3; ; ; ; ;220000;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;1;2;1;1;3;1;1;01;1;10;50;216,571510625214;50
4167635;1;5;4;1;1;1;1;1;3;1; ; ;800000000;500000; ;2;2;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;3; ;4;2; ;1;1;1;4;1;2;1;1;1;3;1;1;01;1;10;50;123,582672648315;50
4167636;1;4;3;1;1;1;1;1;3;1; ; ;160000000;600000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;1;2;2;1;5; ;8;2; ;1;1;1;2;1;1;1;1;1;1;1;2;01;1;10;50;213,89327693217;50
4167637;1;3;2;1;1;1;1;1;3;1; ; ;100000000;350000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;3; ;5;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;177,944842517558;50
4167638;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;1;2;2;1;4; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;157,561418788617;50
4167639;1;3;2;1;1;1;1;1;3;3; ; ; ; ;350000;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;171,326315930386;50
4167640;1;5;3;1;1;1;1;1;3;1; ; ;50000000;300000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3; ;3;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;50;293,255026828485;50
4167641;1;3;1;1;1;1;1;1;3;3; ; ; ; ;300000;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;50;269,139727189406;50
4167642;1;3;2;1;1;1;1;1;3;1; ; ;98;600000; ;1;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;50;274,466363782035;50
4167643;1;3;2;1;1;1;1;1;3;3; ; ; ; ;450000;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2; ;5;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;325,148682850337;50
4167644;1;3;2;1;1;1;1;1;3;3; ; ; ; ;98;2;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;187,919401077542;50
4167645;1;4;3;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;3; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;216,069447314706;50
4167646;1;1;1;1;1;1;1;1;3;4; ; ; ;400000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2; ;4;2; ;1;2;1;2;1;2;1;1;1;3;1;1;01;1;10;50;157,561418788617;50
4167647;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;2; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;317,686113016791;50
4167650;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;50;415,644058098494;50
4167651;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2; ;4;2; ;1;2;1;4;1;4;1;1;1;3;1;2;01;1;10;50;618,561602953436;50
4167652;1;3;1;1;1;1;1;1;3;1; ; ;250000000;900000; ;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;50;538,279454378812;50
4167653;1;4;3;1;1;1;1;1;3;1; ; ;100000000;600000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;1;2;1;3; ;6;2; ;1;2;1;4;1;3;1;1;1;3;1;2;01;1;10;50;147,329204934426;50
4167654;1;4;2;1;1;1;1;1;3;3; ; ; ; ;650000;2;1;1;2;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;171,326315930386;50
4167655;1;4;3;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;2;1;1;1;2;2;2;1;2;1;1;2;2;1;1;2;2;2;1;2; ;6;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;206,90598299203;50
4167656;1;4;3;1;1;1;1;1;3;1; ; ;50000000;450000; ;2;2;1;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;136,734394420815;50
4167657;1;3;2;1;1;1;1;1;3;3; ; ; ; ;450000;2;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;1;1;1;2;2;1;3; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;220,670880133799;50
4167658;1;4;3;1;1;1;1;1;3;3; ; ; ; ;380000;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;1;4; ;6;2; ;1;2;1;2;1;2;1;1;1;3;1;2;01;1;10;50;258,676021180193;50
4167659;1;3;2;1;1;1;1;1;3;1; ; ;98;98; ;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1; ;3;2; ;1;2;1;4;1;2;1;1;1;3;1;2;01;1;10;50;295,548853344016;50
4167660;1;1;1;1;1;1;1;6; ;3; ; ; ; ;250000;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;3;1;4;1;3;2;1;1;3;1;2;01;1;10;50;226,301661168897;50
4167661;1;4;4;1;1;1;1;1;3;3; ; ; ; ;580000;2;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;2;2;1;2;2;1;4; ;7;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;192,42942221592;50
4167662;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;182,592764484912;50
4167663;1;2;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;1;2; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;2;01;1;10;50;309,280801476718;50
4167664;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;50;176,652952523015;50
4167665;1;4;2;1;1;1;1;1;3;1; ; ;98;1000000; ;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;50;212,536764027128;50
4167666;1;4;3;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;2;2;2;1;6; ;6;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;50;206,90598299203;50
4167667;1;5;4;1;1;1;1;1;3;3; ; ; ; ;800000;2;1;1;1;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;4; ;4;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;50;210,129635352809;50
4167668;1;4;2;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;2;1;2;1;1;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;50;269,139727189406;50
4167669;1;7;4;1;1;1;1;1;3;1; ; ;98;1000000; ;2;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;2;1;2;1;2; ;5;2; ;1;1;1;4;1;3;1;1;1;3;1;2;01;1;10;50;191,038101618411;50
4167670;1;3;1;1;1;1;1;1;3;3; ; ; ; ;520000;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;2;1;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;50;223,894532494578;50
4167671;1;1;1;1;2;1;1;2;4;3; ; ; ; ;150000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1; ;1;2; ;1;3;1;4;1;2;1;1;1;3;1;1;01;1;10;50;226,301661168897;50
4167676;1;4;2;1;1;1;3;1;3;5; ; ; ;350000; ;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;2;2; ;1;1;1;4;1;1;1;1;1;3;2; ;01;1;10;50;207,210127434499;50
4167677;1;2;1;1;2;1;1;1;3;3; ; ; ; ;350000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;3;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;50;246,82454109423;50
4167677;2;1;1;1;2;1;1;6; ;3; ; ; ; ;200000;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;2;1;1;4;1;1;1;1;1;3;1;2;01;1;10;50;246,82454109423;50
4167678;1;3;2;1;1;1;3;1;4;3; ; ; ; ;450000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;1;1;2;1;1;2;1;1;3;2; ;01;1;10;50;251,530925733232;50
4167679;1;2;1;1;1;1;1;1;3;5; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;50;186,627511082999;50
4167680;1;6;4;1;1;1;1;1;3;4; ; ; ;450000; ;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;1;4; ;4;2; ;1;1;1;4;1;1;1;1;1;3;1;2;01;1;10;50;151,791181557127;50
4167681;1;3;1;1;1;1;3;1;3;5; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;1;1;2;1;1;1;1;1;3;2; ;01;1;10;50;182,592764484912;50
4167682;1;3;2;1;1;1;3;1;3;3; ; ; ; ;275000;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;2; ;4;2; ;1;2;1;4;1;1;1;1;1;4;2; ;01;1;10;50;309,280801476718;50
4167685;1;4;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;1;1;1;3;1;2;01;1;10;50;317,686113016791;50
4167686;1;5;1;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;10;50;216,069447314706;50
4167688;1;4;3;1;1;1;1;1;3;1; ; ;200000000;1100000; ;1;2;1;1;1;1;1;1;1;2;1;1;2;1;2;2;1;1;2;1;2;1;3; ;3;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;10;50;229,221169087207;50
4167689;1;4;3;1;1;1;1;1;3;1; ; ;140000000;1200000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;1;3; ;4;2; ;1;1;1;4;1;4;1;1;1;3;1;2;01;1;10;50;253,494362000899;50
4167690;1;4;2;1;1;1;1;1;3;1; ; ;98;1500000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;2;2;2;1;1;2; ;2;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;10;50;269,139727189406;50
4167691;1;4;3;1;1;1;1;1;3;1; ; ;200000000;1000000; ;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;1;4; ;4;2; ;1;1;1;4;1;4;1;1;1;3;1;1;01;1;10;50;230,95665972061;50
4167692;1;5;2;1;1;1;1;1;3;1; ; ;200000000;600000; ;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;50;182,592764484912;50
