DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,005,958;1;3;1;60;2;47;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;780,000;1;8,300,000;3;;3;2;12;54;;.;60;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;0;36;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;13;10;3;;1;;45;47;1;11;4;4723;780000;47;595.66654284;
6,005,958;1;4;1;60;2;47;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;300,000;1;1,200,000;1;;1;2;4;10;1;;10;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;18;60;3;;1;2;;;;;;;;1;20;2;1;1;1;1;2;1;2;2;2;2;2;;2;1;2;2;1;2;2;1;14;;3;;1;1;45;47;1;11;4;4723;300000;47;595.66654284;
6,005,959;1;1;1;60;2;47;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;600,000;1;7,000,000;3;;3;2;12;30;2;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;3;6;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;12;35;3;;1;;77;10;1;11;4;1040;600000;47;965.56073968;
6,005,961;1;2;1;60;2;47;1;2;1;;9;;1;2;2;2;48;;1;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;1;507,490;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;8;;1;;2;;;;;;;;;;;;1;1;2;1;0;60;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;11;30;3;;1;;62;01;1;11;1;0122;908526;47;988.03273026;
6,005,962;1;1;1;60;2;47;1;1;;;1;;2;2;2;2;24;;1;;2;200,000;2;;;1;250,000;2;;2;;2;;2;;;1;50,000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;42;;.;42;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;48;4;;8;2;;;;;;;;2;;;;1;1;1;2;2;2;1;1;1;2;;2;1;2;2;1;2;2;1;3;35;3;;1;1;54;97;1;11;3;9700;450000;47;1557.1350904;
6,005,962;1;2;1;60;2;47;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;480,000;1;1,500,000;1;;5;1;3;4;2;;4;;;;1;5;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;2;3;;1;;45;47;1;11;4;4711;480000;47;1557.1350904;
6,005,965;1;2;1;60;2;47;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;700,000;1;2,100,000;3;;1;1;12;70;;.;70;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;6;1;;3;2;;;;;;;;2;;;;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;2;2;2;2;3;2;9;;1;1;98;49;1;11;4;4921;700000;47;807.20487421;
6,005,965;1;5;1;60;2;47;1;1;;;1;;1;2;2;2;132;;1;;2;908,526;2;;;2;;2;;2;;2;;2;;;1;106,454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;4;7;;1;;1;1;1;11;1;;;;;;;;;1;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;12;30;9;;1;;77;10;1;11;1;1081;908526;47;807.20487421;
6,005,967;1;1;1;60;2;47;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;30,000;1;1,400,000;1;;11;2;12;14;1;;4;6;;2;1;2;;10;;2;;;;;;;;;;;;1;2;2;1;0;4;1;;5;2;;;;;;;;1;30;2;1;1;2;1;2;2;2;2;1;1;2;;2;1;2;2;1;2;2;1;13;15;3;;1;1;95;41;1;11;4;4111;30000;47;1063.3598654;
6,005,967;1;2;1;60;2;47;1;1;;;1;;2;2;2;2;228;;1;;2;300,000;2;;;1;120,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;30;1;;30;;;;5;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;3;;8;2;;;;;;;;1;30;2;1;1;1;1;2;2;1;1;1;1;2;;2;1;2;2;2;2;2;1;12;10;3;;1;1;53;56;1;11;1;5611;420000;47;1063.3598654;
6,005,968;1;3;1;60;2;47;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;250,000;1;2,500,000;3;;1;1;12;60;;.;60;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;3;18;4;;3;2;;;;;;;;2;;;;1;1;1;2;1;1;1;1;1;2;;2;1;1;2;2;2;2;2;3;15;3;;1;1;98;49;1;11;4;4921;250000;47;906.23243837;
6,005,968;1;4;1;60;2;47;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400,000;1;1,600,000;3;;1;1;4;40;;.;40;;;;1;5;;2;;2;;;;;;;;;;;;1;2;2;1;12;24;1;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;1;2;1;2;;2;1;1;1;2;2;2;1;11;5;5;;1;1;53;56;1;11;4;5619;400000;47;906.23243837;
6,005,969;1;1;1;60;2;47;1;1;;;1;;2;2;2;2;144;;1;;2;250,000;2;;;1;260,000;2;;2;;2;;2;;;1;50,000;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;60;3;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;12;10;3;;1;;54;97;1;11;3;9700;510000;47;1323.4699745;
6,005,969;1;2;1;60;2;47;2;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;500,000;1;5,000,000;3;;10;1;10;60;;.;60;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;2;2;1;12;10;3;;1;;98;00;1;11;4;0000;500000;47;1323.4699745;
6,005,970;1;1;1;60;2;47;2;;;;;;;;;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;360,000;1;4,320,000;3;;3;2;12;30;2;;30;;;;1;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;96;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;12;20;5;;1;;97;52;1;11;4;5224;360000;47;1319.2018949;
6,005,971;1;1;1;60;2;47;2;;;;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;364,000;1;4,000,000;3;;5;2;12;48;;.;48;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;14;;8;;1;;53;56;1;11;4;5619;364000;47;862.22008125;
6,005,971;1;3;1;60;2;47;2;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;700,000;1;8,000,000;3;;1;1;12;70;;.;70;;;;1;4;;5;;2;;;;;;;;;;;;1;2;2;1;0;60;4;;8;2;;;;;;;;2;;;;1;1;1;1;1;2;1;1;1;2;;2;1;2;1;2;2;2;2;3;5;5;;1;1;98;49;1;11;4;4923;700000;47;862.22008125;
6,005,972;1;1;1;60;2;47;1;2;1;;1;;2;2;2;2;4;;1;;2;300,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;4;1;;3;6;;2;4;2;;5;;2;;;;;;;;;;;;1;2;2;1;0;7;4;;8;2;;;;;;;;1;30;1;1;1;1;1;2;2;2;2;2;2;2;;1;1;2;2;1;2;2;1;12;5;3;;1;1;06;86;1;11;1;8621;300000;47;1023.4700917;
6,005,973;1;1;1;60;2;47;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;500,000;1;5,000,000;3;;1;2;12;40;;.;40;;;;1;1;;2;;2;;;;;;;1;;;;;;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;10;2;;1;;41;47;1;11;4;4752;500000;47;1876.2505932;
6,005,974;1;2;1;60;2;47;1;1;;;1;;2;2;2;2;60;;1;;2;500,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;35;6;;2;2;7;;9;;2;;;;;;;;;;;;1;2;2;1;0;360;4;;3;2;;;;;;;;1;20;2;1;1;1;1;2;2;2;2;1;1;2;;2;1;2;2;1;2;2;1;3;10;8;;1;1;87;45;1;11;1;4520;500000;47;1032.9394205;
6,005,974;1;3;1;60;2;47;1;1;;;1;;2;2;2;2;6;;1;;2;300,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;42;;.;44;;;;2;7;;2;;2;;;;;;;;;;;;1;2;2;1;8;30;1;;2;2;;;;;;;;2;;;;1;1;1;2;1;1;2;2;1;2;;2;1;2;2;1;2;2;1;12;15;3;;1;1;53;56;1;11;1;5613;300000;47;1032.9394205;
6,005,974;1;6;1;60;2;47;1;1;;;1;;2;2;2;2;1;;1;;2;400,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;24;1;;24;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;0;86;4;;2;2;;;;;;;;1;24;2;1;2;;;;;;;;;;;;;1;1;1;2;2;1;12;10;3;;1;;54;97;1;11;3;9700;400000;47;1032.9394205;
6,005,975;1;1;1;60;2;47;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;1,200,000;1;12,000,000;3;;3;2;12;70;;.;70;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;0;8;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;1;30;9;;1;;41;47;1;11;4;4771;1200000;47;1640.658157;
6,005,975;1;2;1;60;2;47;1;1;;;1;;2;2;2;2;4;;1;;2;560,000;2;;;1;180,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;70;;.;70;;;;4;7;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;13;2;;;;;;;;2;;;;1;1;1;1;1;2;1;1;1;2;;2;1;2;2;2;2;2;2;11;15;9;;1;1;53;47;1;11;1;4711;740000;47;1640.658157;
6,005,975;1;3;1;60;2;47;2;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;1,000,000;1;12,000,000;3;;1;1;12;48;;.;48;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;1;1;2;1;1;1;2;;2;1;2;2;2;2;1;1;13;30;8;;1;1;95;41;1;11;4;4111;1000000;47;1640.658157;
6,005,975;1;4;1;60;2;47;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;420,000;1;5,000,000;3;;1;1;12;70;;.;70;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;1;1;2;2;1;1;2;;2;1;2;2;2;2;2;2;3;3;3;;1;1;98;49;1;11;4;4921;420000;47;1640.658157;
6,005,979;1;1;1;60;2;47;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400,000;1;1,800,000;1;;1;1;12;30;2;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;1;1;1;2;;2;2;2;2;2;2;2;1;12;20;5;;1;1;62;01;1;11;4;0161;400000;47;595.66654284;
6,005,979;1;3;1;60;2;47;1;1;;;1;;1;2;2;2;12;;1;;2;300,000;2;;;1;150,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;2;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;1;2;2;;2;2;2;2;2;2;2;2;3;1;5;;1;1;45;47;1;11;1;4711;450000;47;595.66654284;
6,005,979;1;4;1;60;2;47;1;1;;;1;;1;2;2;2;60;;1;;2;600,000;2;;;1;200,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;70;;.;70;;;;2;4;;2;;2;;;;;;1;;;;;;;2;2;1;4;12;4;;3;2;;;;;;;;2;;;;1;1;1;1;2;2;2;1;2;2;;2;1;1;2;1;2;2;2;3;8;1;;1;1;97;49;1;11;1;4921;800000;47;595.66654284;
6,005,982;1;1;1;60;2;47;1;1;;;1;;2;2;2;2;480;;1;;2;360,000;2;;;1;208,000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;65;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;1;2;2;1;2;2;2;;2;1;2;2;2;2;2;1;3;8;3;;1;1;54;97;1;11;3;9700;568000;47;595.66654284;
6,005,983;1;2;1;60;2;47;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;600,000;1;6,000,000;3;;1;1;12;70;;.;70;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;4;12;4;;3;2;;;;;;;;2;;;;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;2;2;2;2;12;10;8;;1;1;98;49;1;11;4;4921;600000;47;1275.0677509;
6,006,094;1;1;1;60;2;47;2;;;;;;;;;;372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;400,000;1;4,800,000;3;;4;1;12;24;1;;24;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;24;2;1;1;2;1;2;2;2;2;2;2;2;;2;1;1;1;1;2;2;1;3;5;8;;1;1;64;03;1;11;4;0311;400000;47;1635.2950484;
6,006,094;1;2;1;60;2;47;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;240,000;1;240,000;1;;1;2;5;24;2;;0;6;;2;1;6;;1;;2;;;;;;;;;;;;1;2;2;1;5;1;4;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;3;3;;1;;59;52;1;11;4;5221;240000;47;1635.2950484;
6,006,094;1;3;1;60;2;47;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;200,000;1;200,000;1;;10;2;1;24;2;;24;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;3;3;;1;;59;52;1;11;4;5221;200000;47;1635.2950484;
6,006,098;1;1;1;60;2;47;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;500,000;1;6,000,000;3;;1;1;12;60;;.;60;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;60;8;;1;;59;93;1;11;4;9329;500000;47;2000.3922886;
6,006,101;1;1;1;60;2;47;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;400,000;1;2,500,000;3;;8;2;12;20;2;;20;;;;1;1;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;3;2;;;;;;;;2;;;;1;2;1;2;1;2;2;1;1;2;;2;1;1;2;1;2;2;2;14;;3;;1;1;53;56;1;11;4;5619;400000;47;1611.0003514;
6,006,102;1;1;1;60;2;47;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;150,000;1;1,800,000;3;;10;1;12;24;1;;24;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;1;1;1;1;1;1;2;1;3;10;3;;1;1;64;03;1;11;4;0311;150000;47;2111.8492375;
6,006,103;1;1;1;60;2;47;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;650,000;1;5,600,000;3;;1;1;10;48;;.;48;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;1;2;160;4;;3;2;;;;;;;;2;;;;1;2;1;2;1;2;2;2;1;2;;2;1;1;2;2;2;2;2;3;4;5;;1;1;58;96;1;11;4;9609;650000;47;1873.7179164;
6,006,105;1;1;1;60;2;47;2;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;1,800,000;1;10,000,000;3;;8;1;12;50;;.;50;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;182;8;;8;2;;;;;;;;2;;;;1;2;1;2;2;2;2;1;1;2;;2;1;1;2;2;2;2;2;11;25;3;;1;1;59;55;1;11;4;5511;1800000;47;1892.1324551;
6,006,105;1;2;1;60;2;47;1;1;;;1;;1;2;2;2;48;;1;;2;600,000;2;;;2;;1;260,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;3;7;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;2;;2;1;1;2;2;2;2;2;3;4;3;;1;1;45;47;1;11;1;4771;860000;47;1892.1324551;
6,006,107;1;1;1;60;2;47;1;1;;;1;;1;1;2;1;1;;1;;2;1,500,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;5;11;EN LA PLAYA;2;;2;;;;;;;;;;;;1;2;2;1;0;1;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;2;2;2;2;3;5;3;;1;;59;86;1;11;1;8699;1500000;47;2069.1400018;
6,006,111;1;1;1;60;2;47;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;1,000,000;1;12,000,000;3;;10;1;12;70;;.;70;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;180;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;41;47;1;11;4;4723;1000000;47;1688.5189422;
6,006,111;1;3;1;60;2;47;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;700,000;1;8,400,000;3;;1;1;12;56;;.;56;;;;1;6;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;15;3;;1;;53;56;1;11;4;5611;700000;47;1688.5189422;
6,006,111;1;4;1;60;2;47;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;300,000;1;3,600,000;1;;1;1;3;24;1;;24;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;24;24;4;;3;2;;;;;;;;1;24;2;1;1;1;1;2;2;2;2;2;2;2;;2;1;1;1;1;2;2;1;3;10;3;;1;1;59;93;1;11;4;9329;300000;47;1688.5189422;
6,006,116;1;1;1;60;2;47;1;1;;;1;;1;2;2;2;240;;1;;2;600,000;2;;;1;200,000;1;70,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;56;;.;60;;;;1;8;;5;;2;;;;;;;;;;;;1;2;2;1;0;200;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;1;3;;1;;58;01;1;11;8;0141;870000;47;1319.2018949;
6,006,117;1;1;1;60;2;47;1;1;;;1;;2;2;2;2;72;;1;;2;600,000;2;;;2;;1;200,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;70;;.;70;;;;2;8;;2;;2;;;;;;;;;;;;1;2;2;1;12;12;4;;3;2;;;;;;;;2;;;;1;1;1;1;1;2;1;1;1;2;;1;1;2;2;2;2;2;2;14;;8;;1;1;62;01;1;11;8;0141;800000;47;1447.0707042;
6,006,117;1;2;1;60;2;47;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;450,000;1;1,350,000;3;;1;1;7;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;5;17;4;;7;2;;;;;;;;2;;;;1;1;1;2;1;2;1;1;1;2;;1;1;2;2;1;2;2;2;3;15;8;;1;1;62;01;1;11;4;0161;450000;47;1447.0707042;
6,006,118;1;1;1;60;2;47;1;2;2;12;1;;1;2;2;2;60;;1;;2;900,000;2;;;2;;1;100,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;5;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;4;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;2;14;;3;;1;;58;01;1;11;8;0122;1000000;47;1319.2018949;
6,006,119;1;1;1;60;2;47;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;3;3,300,000;1;39,600,000;3;;3;2;12;70;;.;70;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;1;1;14;;2;;1;;61;01;1;11;4;0111;3300000;47;1319.2018949;
6,006,120;1;1;1;60;2;47;1;1;;;1;;1;1;2;1;35;;1;;2;908,526;2;;;2;;1;60,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;860,000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;42;;.;42;;;;2;8;;1;;1;1;1;6;1;;;;;;;;;1;2;1;0;96;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;3;;1;;62;01;1;11;8;0161;968526;47;1408.3877165;
6,006,121;1;1;1;60;2;47;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;600,000;1;7,200,000;3;;1;1;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;10;1;;1;2;;;;;;;;2;;;;1;1;1;2;1;2;2;1;1;2;;1;1;2;2;2;2;2;2;3;20;3;;1;1;62;01;1;11;4;0161;600000;47;2136.4446895;
6,006,122;1;1;1;60;2;47;1;1;;;1;;2;2;2;2;9;;1;;2;264,000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;14;1;;14;;;;1;8;;5;;2;;;;;;;;;;;;1;2;2;1;0;204;4;;9;2;;;;;;;;1;30;2;1;1;2;1;2;1;2;1;1;1;2;;2;1;2;2;1;2;2;1;3;1;3;;1;1;62;01;1;11;8;0141;264000;47;1407.4938922;
