Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3175129;1;9;1;70;2;16;35;4; ;2;16;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;94;94;36;1;2;3699;03;66;308,877398338862
3175143;1;1;1;70;2;12;45;8; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;1;0118;03;66;410,655938213739
3175153;1;3;1;70;2;12;40;1; ;2;36;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;03;66;381,798561798932
3175159;1;1;1;70;2;99;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;62;01;1;2;0115;03;66;1522,20199662565
3175161;1;2;1;70;2;24;40;1; ;2;8;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;03;66;1109,54726659326
3175162;1;4;1;70;2;156;48;1; ;2;104;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;13;85;1;2;8532;03;66;724,347464138234
3176383;1;4;1;70;2;4;40;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;58;11;1;1;1110;03;41;1803,09763273157
3176395;1;3;1;70;2;16;48;4; ;2;16;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;51;1;2;5122;03;41;1233,06361415302
3176395;1;6;1;70;2;4;40;1; ;2;12;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;39;64;1;1;6421;03;41;1233,06361415302
3176447;1;2;1;70;2;4;48;1; ;2;4;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;59;53;55;1;1;5530;03;41;1611,94089225853
3176453;1;3;1;70;2;1;40;3; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;03;41;1301,38544392667
3176455;1;2;1;70;2;48;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;03;41;1428,81167004718
3176552;1;7;1;70;2;12;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4530;03;13;2242,85433111219
3176624;1;5;1;70;2;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;03;13;4386,84896068557
3176637;1;3;1;70;2;48;48;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;73;73;02;1;2;0201;03;15;399,380308401006
3176663;1;3;1;70;2;24;48;1; ;2;24;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;71;71;10;1;2;1010;03;15;737,866533127848
3176664;1;3;1;70;2;12;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8511;03;15;511,113862165847
3176674;1;1;1;70;2;8;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ;1; ; ; ;1;350000;2;70;70;10;1;1;1010;03;15;936,87646251954
