DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;FT;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
973780;2;2;2;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;3;1;3;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;3;2;3;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;4;1;4;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;4;2;4;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973781;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;549.856.066.008.557
973781;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;549.856.066.008.557
973782;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973782;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973782;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973782;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973782;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973782;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;671.521.635.988.862
973783;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;443.355.286.731.575
973783;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;443.355.286.731.575
973783;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;443.355.286.731.575
973783;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;443.355.286.731.575
