DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
974374;1;2;1;70;1;24;56;4;;2;24;4;;2;2;;;;;;;;;;1;;2;;2;34;21;74;1;2;7499;13;13;301.426.798.678.323
974374;1;3;1;70;1;48;30;1;;2;48;1;;9;4;;;;;;;;;;1;;2;;2;13;13;80;1;2;8043;13;13;301.426.798.678.323
974377;1;2;1;70;1;4;56;1;;2;20;1;;5;4;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;13;13;314.799.771.903.482
974386;1;1;1;70;1;48;60;1;;2;48;1;;9;1;;;;;;;;;;1;;2;;2;93;93;45;1;2;4530;13;13;318.150.677.082.421
974391;1;3;1;70;1;2;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;5;;;1;1;;13;13;306.264.313.680.891
974396;1;2;1;70;1;50;48;1;;2;50;1;;9;8;;;;;;;;;;1;;2;;2;59;59;74;1;2;7492;13;13;365.541.795.644.506
974397;1;1;1;70;1;4;48;4;;2;4;4;;1;8;;;;;;;;;;1;;2;;2;98;98;60;1;1;6031;13;13;361.194.795.652.929
974406;1;3;1;70;1;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;8;;;1;1;;13;13;316.793.474.689.211
974410;1;1;1;70;1;4;48;1;;2;4;1;;9;8;;;;;;;;;;1;;1;500000;2;37;97;15;1;1;1551;13;13;299.654.323.195.629
974430;1;3;1;70;1;8;48;4;;2;8;4;;2;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;13;13;336.888.850.087.452
974433;1;2;1;70;1;4;48;4;;2;4;4;;2;1;;;;;;;;;;1;;1;100000;2;95;95;45;1;1;4521;13;13;352.276.117.913.544
974434;1;6;1;70;1;4;48;4;;2;4;4;;1;1;;;;;;;;;;1;;1;120000;2;54;54;74;1;1;7493;13;13;30.637.672.536.871
974436;1;8;1;70;1;40;48;1;;2;150;2;;8;4;;;;;;;;;;1;;2;;2;98;98;75;1;2;7512;13;13;348.229.060.081.084
974457;1;4;1;70;1;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;33;;;1;2;;13;13;323.744.288.013.628
974459;1;3;1;70;1;60;48;1;;2;60;1;;7;2;;;;1;;;;;;;;2;;2;98;98;60;1;2;6021;13;13;325.715.748.501.198
974463;1;2;1;70;1;26;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;;;1;2;;13;13;362.459.209.527.152
974465;1;3;1;70;1;104;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;13;13;321.749.616.581.528
974466;1;1;1;70;1;52;48;1;;2;52;1;;5;1;;;;;;;;;;1;;2;;2;45;3;52;1;2;5272;13;13;324.466.510.135.337
974477;1;2;1;70;1;104;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;39;;;1;2;;13;13;303.352.266.415.652
974493;1;2;1;70;1;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;39;;;1;2;;13;13;317.195.465.786.969
974498;1;3;1;70;1;26;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;84;;;1;2;;13;13;381.197.382.532.182
974504;1;2;1;70;1;30;48;1;;2;50;4;;3;1;;;;;;;;;;1;;2;;2;58;58;74;1;2;7492;13;13;393.946.038.348.241
974504;1;3;1;70;1;60;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;2;;13;13;393.946.038.348.241
974504;1;4;1;70;1;24;48;1;;2;40;1;;9;1;;;;;;;;;;1;;2;;2;43;43;52;1;2;5237;13;13;393.946.038.348.241
974506;1;1;1;70;1;4;48;1;;2;8;1;;9;1;;;;;;;;;;1;;2;;2;87;87;35;1;1;3511;13;13;347.412.764.540.214
974508;1;2;1;70;1;16;48;1;;2;30;1;;6;2;;;;;;;;;;1;;2;;2;55;55;63;1;2;6320;13;13;343.721.036.522.121
974517;1;1;1;70;1;30;48;4;;2;40;1;;9;1;;;;;;;;;;1;;2;;2;58;58;74;1;2;7492;13;13;333.419.318.018.765
974535;1;3;1;70;1;30;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;13;13;321.522.174.076.563
974540;1;2;1;70;1;156;40;1;;2;156;1;;6;5;;;;;;;;;;1;;2;;2;55;55;80;1;2;8011;13;13;287.872.210.070.573
