DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,fex_c_2011
1006553,1,3,1,70,2,2,20,1,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,1,,73,926.548.724.342.162
1006554,1,2,1,70,2,12,20,1,,2,16,8,,2,1,,,,,,,,,,1,,2,,2,77,62,1,1,1,121,73,181.247.016.730.632
1006555,1,1,1,70,2,36,8,8,,2,4,8,,2,1,,,,,,,,1,,,,1,8000,2,62,62,1,1,2,115,73,945.349.603.858.348
1006555,1,2,1,70,2,40,30,1,,2,52,1,,3,4,,,,,,,,,,1,,2,,2,53,53,55,1,2,5521,73,945.349.603.858.348
1006569,1,3,1,70,2,20,40,8,,2,2,8,,2,4,,,,,,,,,,1,,1,60000,2,62,62,1,1,2,121,73,121.864.102.212.983
1006569,1,4,1,70,2,12,40,8,,2,3,8,,2,1,,,,,,,,,,1,,1,20000,2,62,62,1,1,1,121,73,121.864.102.212.983
1006572,1,3,1,70,2,8,1,8,,2,2,8,,2,1,,,,,,,,,,1,,1,8000,2,62,62,1,1,1,130,73,926.548.724.342.162
1006577,1,3,1,70,2,8,24,1,,1,,,.,,,.,.,,,,,,,,,.,,,,36,,,1,1,,73,926.548.724.342.162
1006580,1,2,1,70,2,16,48,4,,2,72,1,,2,2,,,,,,,,1,,,,2,,2,77,32,74,1,2,7411,73,926.548.724.342.162
1006585,1,2,1,70,2,60,40,3,,2,24,8,,4,1,,,,,,,,,,1,,2,,2,54,62,1,1,2,111,73,129.170.169.180.735
1006586,1,3,1,70,2,20,20,1,,2,24,3,,1,4,,,,,,,,,,1,,1,6000,2,45,54,95,1,2,9500,73,467.892.984.151.714
1006589,1,2,1,70,2,8,14,4,,2,10,6,,3,1,,,,,,,,,,1,,2,,2,61,62,1,1,1,111,73,13.192.710.358.217
1006593,1,3,1,70,2,48,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,73,497.926.427.921.984
1006616,1,2,1,70,2,48,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,53,,,1,2,,73,185.931.511.152.983
1006622,1,2,1,70,2,24,40,3,,2,96,3,,1,8,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,73,479.629.912.975.512
1006628,1,2,1,70,2,12,40,1,,2,62,1,,3,1,,,,,,,,,,1,,2,,2,33,33,55,1,1,5521,73,872.832.257.018.936
1006656,1,3,1,70,2,48,48,1,,2,48,1,,3,5,,,,,,,,,,1,,2,,2,58,58,74,1,2,7492,73,875.678.000.375.822
1006657,2,1,2,70,2,5,50,1,,2,5,1,,2,4,,,,,,,,1,,,,2,,2,53,53,55,1,1,5521,73,183.267.720.443.838
1006659,1,2,1,70,2,8,60,8,,2,8,8,,3,1,,,,,,,,1,,,,2,,2,62,62,1,1,1,111,73,116.529.379.345.179
1006664,1,2,1,70,2,24,60,3,,2,24,3,,2,1,,,,,,,,1,,,,2,,2,54,53,55,1,2,5521,73,18.118.597.057.489
1006664,1,3,1,70,2,54,60,1,,2,54,3,,1,4,,,,,,,,,,1,,2,,2,45,54,95,1,2,9500,73,18.118.597.057.489
1006694,1,1,1,70,2,1,60,8,,2,2,8,,3,6,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,111,73,938.170.478.788.977
1006727,1,1,1,70,2,4,50,8,,2,4,8,,3,1,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,111,73,843.405.341.511.322
1006742,1,1,1,70,2,4,50,1,,2,12,1,,2,1,,,,,,,,,,1,,2,,2,53,53,55,1,1,5521,73,903.195.003.351.964
1007084,1,2,1,70,2,1,15,4,,2,120,1,,6,5,,,,,,,,,,1,,2,,2,75,53,1,1,1,115,76,180.624.174.733.016
1007110,1,3,1,70,2,2,50,8,,2,2,8,,2,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,111,76,458.103.415.770.893
1007132,2,2,2,70,2,3,48,3,,2,8,8,,7,3,,,,,,,,,,1,,2,,2,54,62,1,1,1,118,76,129.700.712.483.806
1007133,1,2,1,70,2,12,49,8,,2,12,8,,6,8,,,,,,,,,,1,,2,,2,62,62,1,1,1,115,76,259.274.875.764.108
1007133,1,3,1,70,2,3,60,8,,2,16,8,,5,3,,,,,,,,,,1,,2,,2,62,62,1,1,1,114,76,259.274.875.764.108
1007139,1,3,1,70,2,2,50,8,,2,2,8,,5,8,,,,,,,,,,1,,1,200000,2,62,62,1,1,1,117,76,172.989.407.741.629
1007149,2,2,2,70,2,4,48,4,,2,75,3,,1,6,,,,,,,,,,1,,2,,2,77,54,95,1,1,9500,76,221.473.180.869.318
