Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3791290;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;324,958539379846;17
3791290;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;35; ; ; ; ; ; ;1;08;17;324,958539379846;17
3791290;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;14; ; ; ; ; ; ;1;08;17;324,958539379846;17
3791290;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;17;324,958539379846;17
3791291;1;1;1;90;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;3; ; ; ;1;08;17;211,08585068735;17
3791291;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;17;211,08585068735;17
3791291;1;3;1;90;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;3; ; ; ;1;08;17;211,08585068735;17
3791292;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;17;188,667949251608;17
3791292;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;188,667949251608;17
3791293;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;5; ; ; ; ; ; ;1;08;17;266,782186713711;17
3791293;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;20; ;35; ; ; ; ; ; ;1;08;17;266,782186713711;17
3791294;1;1;1;90;2;1;2;2;2;2;1;2;2;2; ;28; ; ; ; ;6; ; ; ;1;08;17;170,384975674992;17
3791295;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;1;08;17;208,455889699054;17
3791295;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;14; ; ; ; ; ; ;1;08;17;208,455889699054;17
3791296;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;08;17;178,179936777255;17
