DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2142417;1;4;3;2;1;4;2;1;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;9;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;1389,31649377598
2142418;1;5;3;2;1;4;2;1;5;4; ; ; ;60000; ;2;2;1;2;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;652,020436714743
2142419;1;3;1;2;1;4;2;1;4;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;761,680380435569
2142420;1;2;1;2;1;4;1;1;5;3; ; ; ; ;50000;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;1;1;2;1;2;2;2;1;1; ;1;01;2;02;54;1;1009,69100170025
2142421;1;3;2;2;1;4;2;1;5;1; ; ;6000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;5;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;420,722636178772
2142422;1;4;3;2;1;4;2;1;5;1; ; ;6000000;40000; ;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;1208,27236880149
2142423;1;3;2;2;1;4;2;1;5;1; ; ;40000000;100000; ;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;3;2;2; ;4;1;1;1;1;1;2;2;2;2;2; ; ;01;2;02;54;1;612,825899828792
2142424;1;5;2;2;1;4;2;1;4;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2; ;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;447,058751016056
2142425;1;3;2;2;1;4;1;5;5;1; ; ;5000000;40000; ;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;5;1;1;1;2;1;2;2;2;1;2; ;1;01;2;02;54;1;1302,92201251592
2142426;1;4;2;2;1;4;6;1;5;1; ; ;5000000;100000; ;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;1363,86514040868
