Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Area;Mes;Dpto;Fex_c_2011
3267925;1;4;3;1;1;1;1;1;4;1; ; ;200000000;600000; ;1;1;1;1;1;2;2;2;2;1;1;1;1;2;2;1;1;1;1;2;2;1;3;2;2; ;6;1;1;1;4;1;2;1;1;1;3;3;1;01;52;08;52;123,560599415955
3267928;1;2;1;1;1;1;1;1;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;2;3;1;01;52;08;52;160,639604793893
3267929;1;5;3;1;1;1;1;1;4;1; ; ;98;500000; ;1;1;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;4;2;2; ;4;1;2;1;4;1;2;1;1;1;3;3;1;01;52;08;52;194,355879778382
3267930;1;2;1;1;1;1;1;1;4;4; ; ; ;250000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;2;3;1;01;52;08;52;183,991327361263
3267932;1;3;2;1;1;1;1;1;4;3; ; ; ; ;170000;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;3;1;2;1;2;1;2;1;1;1;2;3;1;01;05;08;05;1001,28370984617
3267933;1;4;3;1;1;1;1;1;1;1; ; ;35000000;250000; ;1;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;05;08;05;971,225392479077
3267934;1;4;3;1;1;1;1;1;3;3; ; ; ; ;30000;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;5;2;1;1;6;1;2;1;4;1;1;1;1;1;2;2;1;01;05;08;05;674,961265711606
3267935;1;2;1;1;1;1;1;1;3;1; ; ;45000000;250000; ;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;2;2;1;01;05;08;05;968,843997108361
3267936;1;3;2;1;1;1;1;1;4;1; ; ;20000000;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;2;1;1;1;1;3;1;01;05;08;05;1155,48692962508
3267937;1;3;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;1;1;2;1;2;1;2;1;1;1;1;3;1;01;05;08;05;968,843997108361
