DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
612740,1,3,70,5,48,1,,2,10,1,,4,4,,,,,,,,,,1,,2,,2,1,1,39,45,1741,17,68,68,22.223.235.819.576
612740,1,4,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,68,68,22.223.235.819.576
612764,1,1,70,20,48,1,,2,12,1,,9,3,,,,,,,,,,1,,2,,2,1,1,32,32,8045,80,68,68,566.928.671.183.512
612780,1,1,70,30,48,4,,2,60,1,,8,1,,,,,,,,,,1,,2,,2,1,1,85,85,4542,45,68,68,57.586.561.461.884
612789,1,3,70,50,48,1,,2,80,1,,9,1,,,,,,,,,,1,,2,,2,1,1,32,32,6412,64,68,68,417.187.223.780.541
612798,1,2,70,4,55,1,,2,4,1,,6,1,,,,,,,,,,1,,1,461500,2,1,1,95,95,4521,45,68,68,516.608.036.359.602
612804,1,2,70,8,48,3,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,1,54,56,9301,93,68,68,383.926.584.241.236
612812,1,2,70,5,48,1,,2,17,1,,2,2,,,,,,,,,,1,,2,,2,1,1,45,45,5262,52,73,73,204.956.735.872.098
612822,1,5,70,4,40,4,,2,300,4,,2,1,,,,,,,,,1,,PENSION,2,,2,1,1,16,41,5211,52,73,73,186.114.290.928.333
612828,1,3,70,12,48,1,,2,12,1,,6,1,,,,,,,,,,1,,2,,2,1,1,58,58,7492,74,73,73,458.194.868.422.892
612831,1,1,70,5,48,1,,2,5,1,,4,1,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,73,73,502.156.045.305.287
612832,1,3,70,4,40,1,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,1,1,45,94,3699,36,73,73,117.854.036.299.319
612833,1,1,70,8,48,3,,2,8,4,,1,7,,,,,,,,,,1,,2,,2,1,1,54,55,7493,74,73,73,165.551.500.034.986
612841,2,1,70,28,48,1,,2,28,4,,1,6,,,,,,,,,,1,,2,,2,1,1,53,59,9309,93,73,73,160.534.556.389.261
612842,1,1,70,52,48,1,,2,156,1,,2,1,,,,,,,,,,1,,2,,2,1,1,84,84,5020,50,73,73,183.136.686.942.714
612842,1,2,70,8,25,3,,2,8,1,,4,6,,,,,,,,,,1,,2,,2,1,1,54,45,5262,52,73,73,183.136.686.942.714
612848,1,2,70,2,48,1,,2,2,1,,6,2,,,,,,,,,,1,,1,51000,2,1,1,45,53,5521,55,73,73,201.021.415.473.193
612851,1,2,70,6,48,1,,2,6,1,,3,1,,,,,,,,,,1,,2,,2,1,1,45,45,5233,52,73,73,133.482.637.038.684
612854,1,3,70,74,48,1,,2,72,1,,3,2,,,,,,,,,,1,,2,,2,1,1,45,45,1511,15,73,73,182.055.063.695.894
612869,1,3,70,8,40,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,1,1,32,34,8511,85,73,73,389.699.926.259.259
612882,1,2,70,2,48,1,,2,48,4,,3,1,,,,,,,,,,1,,2,,2,1,1,55,79,1810,18,5,5,915.202.732.078.686
