DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
613424;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;478.348.849.591.334
613424;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;478.348.849.591.334
613424;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;478.348.849.591.334
613424;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;478.348.849.591.334
613425;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;544.225.206.234.129
613426;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;542.520.753.396.923
613426;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;542.520.753.396.923
613426;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;542.520.753.396.923
613427;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;251.823.049.001.803
613427;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;251.823.049.001.803
613427;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;251.823.049.001.803
613427;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;251.823.049.001.803
613427;1;6;95;1;;2;1;;1200000;;2;2;;;;;;;;;;;;;1;;;8;8;251.823.049.001.803
613428;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613428;1;2;95;2;;;;;;;;1;2;;2;;;;;;100000;2;1;2;1;;2;8;8;401.286.200.397.891
613428;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613428;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613428;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613428;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613428;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;401.286.200.397.891
613429;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613429;1;8;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;399.868.560.915.597
613430;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;376.984.578.263.335
613430;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;376.984.578.263.335
613431;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;425.426.173.477.632
613431;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;425.426.173.477.632
613431;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;425.426.173.477.632
613431;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;425.426.173.477.632
613431;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;425.426.173.477.632
613432;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;563.581.196.544.008
613432;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;563.581.196.544.008
613432;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;563.581.196.544.008
613433;1;1;95;1;;2;1;;1700000;;2;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613433;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613433;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613433;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613433;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613433;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.385.633.375.872
613434;1;1;95;2;;;;;;;;1;2;;2;;;;;;300000;2;1;2;1;;2;8;8;571.690.862.771.747
613434;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613434;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613434;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613434;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613434;1;8;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613434;1;9;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;571.690.862.771.747
613435;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;673.062.970.745.115
613435;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;673.062.970.745.115
613436;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;489.561.469.064.576
613436;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;489.561.469.064.576
613436;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;489.561.469.064.576
613436;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;489.561.469.064.576
613436;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;489.561.469.064.576
613437;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;572.330.356.303.502
613437;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;572.330.356.303.502
613439;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;53.543.943.825.599
613439;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;53.543.943.825.599
613439;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;53.543.943.825.599
613439;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;53.543.943.825.599
613440;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;473.773.986.632.604
613440;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;473.773.986.632.604
613440;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;473.773.986.632.604
613440;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;473.773.986.632.604
613440;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;473.773.986.632.604
613441;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;47.396.008.471.901
613441;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;47.396.008.471.901
613442;1;1;95;2;;;;;;;;1;2;;2;300000;;;;;;2;2;1;1;;2;8;8;539.613.735.056.754
613442;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.613.735.056.754
613442;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.613.735.056.754
613443;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;546.007.660.414.171
613443;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;546.007.660.414.171
613444;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;377.108.167.885.317
613444;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;377.108.167.885.317
613444;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;377.108.167.885.317
613445;1;1;95;2;;;;;;;;1;2;;2;;;;;;600000;2;1;2;1;;2;8;8;576.628.242.726.248
613445;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;576.628.242.726.248
613446;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;547.489.406.946.326
613446;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;547.489.406.946.326
613446;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;547.489.406.946.326
613446;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;547.489.406.946.326
613446;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;547.489.406.946.326
613447;1;1;95;1;;2;1;;500000;;2;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;8;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613447;1;9;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;429.231.152.626.637
613448;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;559.169.008.358.837
613448;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;559.169.008.358.837
613449;1;1;95;2;;;;;;;;1;2;;2;;;;;;100000;2;1;2;1;;2;8;8;490.722.641.443.348
613449;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;490.722.641.443.348
613450;1;1;95;1;;1;1;;1400000;300000;2;2;;;;;;;;;;;;;1;;;8;8;510.214.535.127.068
613450;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;510.214.535.127.068
613450;1;3;95;2;;;;;;;;1;2;;2;300000;;;;;;2;2;1;1;;2;8;8;510.214.535.127.068
613450;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;510.214.535.127.068
613451;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613451;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613451;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613451;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613452;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;108.845.041.246.826
613453;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;51.441.560.332.755
613453;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;51.441.560.332.755
613454;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;498.347.237.042.715
613454;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;498.347.237.042.715
613455;1;1;95;2;;;;;;;;1;2;;2;;;;;;50000;2;1;2;1;;2;8;8;44.495.897.401.436
613455;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;44.495.897.401.436
613455;1;3;95;2;;;;;;;;1;2;;2;;;;;;50000;2;1;2;1;;2;8;8;44.495.897.401.436
613455;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;44.495.897.401.436
613456;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613456;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613456;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613456;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;52.782.413.051.618
613457;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;444.150.481.812.431
613457;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;444.150.481.812.431
613457;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;444.150.481.812.431
613458;1;1;95;2;;;;;;;;1;2;;2;;;;;;98;2;1;2;1;;2;8;8;431.683.324.307.269
613458;1;2;95;2;;;;;;;;1;2;;2;;;;;;300000;2;1;2;1;;2;8;8;431.683.324.307.269
613458;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;431.683.324.307.269
613459;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;559.169.008.358.837
613459;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;559.169.008.358.837
613460;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613460;2;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;637.087.497.046.599
613461;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;413.962.477.714.184
613461;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;413.962.477.714.184
613461;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;413.962.477.714.184
613462;1;1;95;1;;1;2;;;460000;2;1;2;;2;;;;;;2000000;2;1;2;1;;2;8;8;488.092.907.438.219
613462;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;488.092.907.438.219
613463;1;1;95;2;;;;;;;;1;2;;2;250000;;;;;;2;2;1;1;;2;8;8;511.052.285.932.284
613463;1;2;95;2;;;;;;;;1;2;;2;100000;;;;;1400000;2;1;1;1;;2;8;8;511.052.285.932.284
613463;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;511.052.285.932.284
613463;2;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;511.052.285.932.284
613464;1;1;95;1;;2;1;;1100000;;2;2;;;;;;;;;;;;;1;;;8;8;400.915.431.531.944
613464;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;400.915.431.531.944
613464;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;400.915.431.531.944
613464;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;400.915.431.531.944
613465;1;1;95;2;;;;;;;;1;2;;2;;;;;;600000;2;1;2;1;;2;8;8;539.490.145.434.771
613465;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.490.145.434.771
613466;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613466;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;568.650.417.990.668
613467;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;417.810.865.737.822
613467;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;417.810.865.737.822
613467;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;417.810.865.737.822
613467;1;4;95;1;;2;2;225000;;;1;2;;;;;;;;;;;;;1;;;8;8;417.810.865.737.822
613467;1;5;95;1;;2;2;225000;;;1;2;;;;;;;;;;;;;1;;;8;8;417.810.865.737.822
613468;1;1;95;2;;;;;;;;1;2;;2;;;;;;98;2;1;2;1;;2;8;8;537.755.885.034.908
613468;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;537.755.885.034.908
613468;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;537.755.885.034.908
613468;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;537.755.885.034.908
613468;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;537.755.885.034.908
613468;1;6;95;2;;;;;;;;1;2;;2;;;;;;700000;2;1;2;1;;2;8;8;537.755.885.034.908
613469;1;1;95;2;;;;;;;;1;2;;2;;;;;;300000;2;1;2;1;;2;8;8;973.995.686.083.386
613470;1;1;95;1;;2;2;300000;;;1;1;2;;2;;;;;;300000;2;1;2;1;;2;8;8;481.575.392.458.819
613470;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;481.575.392.458.819
613471;1;1;95;1;;2;2;300000;;;1;2;;;;;;;;;;;;;1;;;8;8;539.860.914.300.718
613471;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.860.914.300.718
613471;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.860.914.300.718
613471;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.860.914.300.718
613471;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;539.860.914.300.718
613472;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613472;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613472;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613472;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613472;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613473;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;500.953.855.534.054
613473;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;500.953.855.534.054
613473;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;500.953.855.534.054
613473;2;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;500.953.855.534.054
613474;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;421.577.785.453.994
613474;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;421.577.785.453.994
613474;1;3;95;2;;;;;;;;1;2;;2;;;;;;50000;2;1;2;1;;2;8;8;421.577.785.453.994
613475;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;1;5;95;1;;2;2;180000;;;1;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;1;8;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;1;10;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613475;2;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;497.437.448.753.204
613476;1;1;95;2;;;;;;;;1;2;;1;;;98;;;;2;2;2;1;;2;8;8;108.845.041.246.826
613478;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;510.078.631.753.227
613478;1;2;95;2;;;;;;;;1;2;;2;;;;;;98;2;1;2;1;;2;8;8;510.078.631.753.227
613478;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;510.078.631.753.227
613478;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;510.078.631.753.227
613479;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613479;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613479;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613479;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613479;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;580.316.432.909.259
613480;1;1;95;2;;;;;;;;1;2;;2;;;;;;600000;2;1;2;1;;2;8;8;477.634.688.408.101
613480;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;477.634.688.408.101
613480;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;477.634.688.408.101
613480;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;477.634.688.408.101
613480;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;477.634.688.408.101
613480;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;477.634.688.408.101
613481;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;;;1;;;8;8;486.133.643.031.328
613481;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;486.133.643.031.328
613481;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;486.133.643.031.328
613481;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;8;8;486.133.643.031.328
613482;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613482;1;7;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;201.874.298.750.627
613483;1;1;95;2;;;;;;;;1;2;;2;;;;;;19000000;2;1;2;1;;2;11;11;278.557.145.409.909
613483;2;1;95;2;;;;;;;;1;2;;2;;;;;;9600000;2;1;2;1;;2;11;11;278.557.145.409.909
613484;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;26.995.795.358.202
613484;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;26.995.795.358.202
613485;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.895.219.587.348
613485;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.895.219.587.348
613485;2;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.895.219.587.348
613485;2;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.895.219.587.348
613486;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;250.482.492.605.841
613486;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;250.482.492.605.841
613486;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;250.482.492.605.841
613486;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;250.482.492.605.841
613487;1;1;95;1;;2;1;;461000;;2;2;;;;;;;;;;;;;1;;;11;11;333.531.199.701.879
613487;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;333.531.199.701.879
613487;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;333.531.199.701.879
613487;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;333.531.199.701.879
613488;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;259.674.810.242.304
613488;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;259.674.810.242.304
613488;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;259.674.810.242.304
613488;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;259.674.810.242.304
613488;1;6;95;1;;1;2;;;500000;2;1;2;;2;;;;;;200000;2;1;2;1;;2;11;11;259.674.810.242.304
613490;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613490;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613490;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613490;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613490;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613490;1;6;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;243.774.610.844.698
613491;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;310.343.768.469.839
613491;1;2;95;1;;1;2;;;700000;2;2;;;;;;;;;;;;;1;;;11;11;310.343.768.469.839
613491;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;310.343.768.469.839
613492;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;182.949.654.282.772
613492;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;182.949.654.282.772
613492;1;3;95;2;;;;;;;;1;2;;2;;;;;;100000;2;1;2;1;;2;11;11;182.949.654.282.772
613493;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.765.908.463.183
613493;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;319.765.908.463.183
613494;1;1;95;1;;2;1;;650000;;2;2;;;;;;;;;;;;;1;;;11;11;230.308.085.035.742
613494;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;230.308.085.035.742
613494;1;3;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;230.308.085.035.742
613494;1;4;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;230.308.085.035.742
613494;1;5;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;230.308.085.035.742
613495;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;25.094.630.729.025
613495;1;2;95;2;;;;;;;;1;2;;2;600000;;;;;;2;2;1;1;;2;11;11;25.094.630.729.025
613495;1;3;95;1;;2;1;;1000000;;2;2;;;;;;;;;;;;;1;;;11;11;25.094.630.729.025
613496;1;1;95;1;;1;2;;;1000000;2;2;;;;;;;;;;;;;1;;;11;11;26.995.795.358.202
613496;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;26.995.795.358.202
613497;1;1;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;294.861.931.022.601
613497;1;2;95;2;;;;;;;;2;;;;;;;;;;;;;1;;;11;11;294.861.931.022.601
