DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
613278,1,1,8,70,48,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,39,,,,8,572.330.356.303.502
613284,1,5,8,70,52,48,1,,2,60,1,,9,2,,,,,1,,,,,,,2,,2,1,45,45,5249,52,8,429.020.581.601.317
613292,1,3,8,70,12,48,1,,2,12,1,,3,4,,,,,,,,,,1,,2,,2,1,34,90,2529,25,8,514.786.372.193.497
613316,1,1,8,70,3,50,4,,2,4,1,,2,4,,,,,,,,,,1,,2,,2,1,95,0,4521,45,8,559.370.291.524.599
613316,1,4,8,70,8,50,1,,2,8,3,,1,4,,,,,,,,,,1,,2,,2,1,54,54,9500,95,8,559.370.291.524.599
613316,1,5,8,70,12,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,8,559.370.291.524.599
613317,1,2,8,70,12,40,1,,2,12,1,,4,4,,,,,,,,,,1,,2,,2,1,13,13,8044,80,8,551.631.394.162.807
613354,1,3,8,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,97,,,,8,537.755.885.034.908
613355,1,5,8,70,8,48,1,,2,12,1,,4,1,,,,,,,,,,1,,2,,2,1,45,45,5233,52,8,36.265.277.008.034
613358,1,3,8,70,250,48,1,,2,250,1,,9,1,,,,,,,,,,1,,2,,2,1,33,33,6512,65,8,343.688.068.339.508
613363,1,3,8,70,104,48,1,,2,104,1,,9,4,,,,,,,,,,1,,2,,2,1,45,45,1511,15,8,535.315.848.634.008
613365,1,5,8,70,12,60,1,,2,12,1,,5,4,,,,,,,,,,1,,2,,2,1,55,16,7430,74,8,505.790.033.190.038
613366,1,3,8,70,104,48,1,,2,104,1,,5,2,,,,,,,,,,1,,2,,2,1,45,45,5234,52,8,428.906.279.838.892
613369,1,1,8,70,2,48,1,,2,2,1,,5,9,todavia lo cubre la eps de su trabajo anterior,,,,,,,,,1,,1,900000,2,1,87,87,2892,28,8,580.192.843.287.276
613369,1,4,8,70,24,48,4,,2,24,4,,5,4,,,,,,,,,,1,,2,,2,1,95,95,4521,45,8,580.192.843.287.276
613375,1,1,8,70,2,60,1,,2,2,1,,7,2,,,1,,,,,,,,,1,950000,2,1,58,58,7492,74,8,527.576.951.272.216
613381,1,5,8,70,20,60,4,,2,20,4,,5,4,,,,,,,,,,1,,2,,2,1,95,95,4521,45,8,61.561.719.988.199
613381,1,7,8,70,24,60,1,,2,24,1,,3,4,,,,,,,,,,1,,2,,2,1,45,45,5233,52,8,61.561.719.988.199
613383,1,1,8,70,2,48,5,,2,2,4,,2,2,,,,,,,,,,1,,1,900000,2,1,0,0,0,0,8,1.144.660.712.607
613383,1,2,8,70,4,48,4,,2,26,4,,9,1,,,,,,,,,,1,,2,,2,1,41,41,5249,52,8,1.144.660.712.607
613389,1,2,8,70,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,33,,,,8,559.169.008.358.837
613390,1,4,8,70,26,26,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,8,551.507.804.540.825
613398,1,1,8,70,52,48,1,,2,26,1,,2,2,,,,,,,,,,1,,2,,2,1,55,85,4542,45,8,53.543.943.825.599
613398,1,3,8,70,16,48,1,,2,6,1,,4,4,,,,,,,,,,1,,2,,2,1,45,33,6331,63,8,53.543.943.825.599
613409,1,4,8,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,59,,,,8,510.214.535.127.068
613411,1,3,8,70,1,48,1,,2,2,1,,5,9,ES COTIZANTE EN SALUD,,,,,,,,,1,,2,,2,1,11,11,5011,50,8,531.301.749.673.871
613429,1,3,8,70,144,48,1,,2,150,1,,9,1,,,,,,,,,,1,,2,,2,1,34,34,9242,92,8,399.868.560.915.597
613431,1,4,8,70,48,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,84,,,,8,425.426.173.477.632
