DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
619557;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;8;;;;;;;2;18;136.686.769.788.938
619557;1;2;90;;1;;1;2;1;2;2;2;2;2;2;7;;30;;50;;;;;;;2;18;136.686.769.788.938
619558;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;18;109.591.155.628.764
619558;1;2;90;;1;;1;2;2;2;2;2;2;2;2;12;;45;;;;;;;;;2;18;109.591.155.628.764
619559;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;2;18;176.962.320.266.726
619559;1;2;90;;1;;1;2;2;2;2;2;2;2;2;5;;3;;;;;;;;;2;18;176.962.320.266.726
619559;1;3;90;;1;;1;1;2;2;2;2;2;2;2;4;;5;3;;;;;;;;2;18;176.962.320.266.726
619560;1;1;90;;1;;1;2;2;2;2;2;2;2;2;10;;26;;;;;;;;;2;18;119.270.389.946.197
619560;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;18;119.270.389.946.197
620251;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;969.597.606.809.284
620251;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;36;;;;;;;;;2;63;969.597.606.809.284
620251;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;25;;;;;;;;;2;63;969.597.606.809.284
620251;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;969.597.606.809.284
620252;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;85.863.547.732.951
620252;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;2;63;85.863.547.732.951
620252;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;85.863.547.732.951
620254;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;50;;;;;;;;;2;63;820.239.961.398.161
620259;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;2;63;938.018.807.919.178
620259;1;2;90;;1;;1;2;2;2;2;2;2;2;2;12;;25;;;;;;;;;2;63;938.018.807.919.178
620259;1;3;90;;1;;1;2;2;2;2;1;2;2;2;3;;7;;;;;4;;;;2;63;938.018.807.919.178
620259;1;4;90;;1;;1;2;2;2;2;2;2;2;2;8;;7;;;;;;;;;2;63;938.018.807.919.178
620260;1;1;90;;1;;1;2;1;2;2;2;2;2;2;5;;10;;12;;;;;;;2;63;698.066.108.548.462
620260;1;3;90;;1;;2;2;2;2;2;2;2;2;2;12;;;;;;;;;;;2;63;698.066.108.548.462
620261;1;1;90;;1;;2;2;1;2;2;2;2;2;2;16;;;;72;;;;;;;2;63;799.534.128.185.239
620261;1;2;90;;1;;1;2;1;2;2;2;2;2;2;5;;5;;72;;;;;;;2;63;799.534.128.185.239
620261;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;799.534.128.185.239
620261;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;799.534.128.185.239
620262;1;1;90;;1;;1;2;1;2;2;2;2;2;2;8;;8;;28;;;;;;;2;63;692.827.725.031.076
620262;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;14;;35;;;;;;;2;63;692.827.725.031.076
620263;1;1;90;;1;;2;2;2;2;2;2;1;2;2;7;;;;;;;;5;;;2;63;495.483.126.426.403
620263;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;495.483.126.426.403
620263;1;3;90;;2;;1;2;1;2;2;2;2;2;2;;;5;;7;;;;;;;2;63;495.483.126.426.403
620264;1;1;90;;1;;1;2;2;2;2;2;2;2;2;7;;24;;;;;;;;;2;63;820.239.961.398.161
620265;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;740.813.489.317.579
620265;1;2;90;;1;;1;2;2;2;2;2;2;2;2;25;;30;;;;;;;;;2;63;740.813.489.317.579
620270;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;480.258.295.911.451
620270;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;42;;;;;;;;;2;63;480.258.295.911.451
620271;1;1;90;;2;;2;1;2;2;2;2;2;2;2;;;;42;;;;;;;;2;63;74.857.091.096.673
620271;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;74.857.091.096.673
620271;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;74.857.091.096.673
620272;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;591.117.086.213.713
620272;1;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;591.117.086.213.713
620272;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;591.117.086.213.713
620272;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;591.117.086.213.713
620273;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;67.132.557.599.899
620274;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;627.733.629.134.123
620275;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;589.042.497.000.946
620275;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;40;;;;;;;;;2;63;589.042.497.000.946
620276;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;684.515.750.069.525
620276;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;56;;;;;;;;;2;63;684.515.750.069.525
620277;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;962.780.889.768.041
620277;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;962.780.889.768.041
620278;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;851.679.480.285.194
620278;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;54;;;;;;;;;2;63;851.679.480.285.194
620278;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;851.679.480.285.194
620278;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;2;63;851.679.480.285.194
620279;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;768.577.802.078.508
620279;1;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;768.577.802.078.508
620279;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;63;768.577.802.078.508
620279;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;768.577.802.078.508
620279;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;63;768.577.802.078.508
620279;1;6;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;768.577.802.078.508
620280;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;910.496.257.665.013
620280;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;63;910.496.257.665.013
620280;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;2;63;910.496.257.665.013
620280;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;2;63;910.496.257.665.013
620280;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;910.496.257.665.013
620281;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;784.405.436.182.446
620281;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;63;;;;;;;;;2;63;784.405.436.182.446
620282;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;2;63;67.132.557.599.899
620283;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;89.942.381.429.816
620283;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;40;;;;;;;;;2;63;89.942.381.429.816
620283;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;2;63;89.942.381.429.816
620283;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;63;89.942.381.429.816
620284;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;76.534.015.265.121
620284;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;45;;;;;;;;;2;63;76.534.015.265.121
620284;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;76.534.015.265.121
620284;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;76.534.015.265.121
620285;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;827.056.678.439.404
620285;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;2;63;827.056.678.439.404
620285;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;827.056.678.439.404
620286;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;688.528.857.214.551
