Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
4003352;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;679,171835980713
4003352;1;6;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;679,171835980713
4003353;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;953,308491549692
4003354;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;05;03;05;823,176443451617
4003354;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;823,176443451617
4003354;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;6; ;4; ; ; ; ; ; ;05;03;05;823,176443451617
4003355;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;05;03;05;1044,1171889067
4003355;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;05;03;05;1044,1171889067
4003357;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;05;03;05;1168,84170414652
4003357;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;12; ;15; ; ; ; ; ; ;05;03;05;1168,84170414652
4003357;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;4; ;15; ; ; ; ; ; ;05;03;05;1168,84170414652
4003358;1;1;1;90;2;1;2;1;2;2;1;2;2;2; ;12; ;10; ; ;8; ; ; ;05;03;05;1048,80233371806
4003358;1;2;1;90;2;1;2;1;2;2;1;2;1;2; ;15; ;15; ; ;18; ;7; ;05;03;05;1048,80233371806
4003358;1;3;1;90;2;1;1;1;2;2;1;2;2;2; ;10;10;8; ; ;15; ; ; ;05;03;05;1048,80233371806
4003359;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;05;03;05;1234,93376180092
4003359;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;15; ; ; ; ; ; ;05;03;05;1234,93376180092
4003359;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;05;03;05;1234,93376180092
4003359;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;05;03;05;1234,93376180092
4003359;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1234,93376180092
4003359;1;6;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;1234,93376180092
4003360;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;70; ; ; ; ; ; ;05;03;05;937,776741295015
4003360;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;937,776741295015
4003361;1;1;1;90;2;1;2;2;2;2;2;1;2;2; ;7; ; ; ; ; ;6; ; ;05;03;05;1206,25747322212
4003362;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;16; ; ; ; ; ; ; ; ;05;03;05;941,820301758475
4003362;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;941,820301758475
4003363;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;35; ; ; ; ; ; ;05;03;05;936,961520391057
4003363;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;18; ;22; ; ; ; ; ; ;05;03;05;936,961520391057
4003364;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;05;03;05;797,815694287572
4003364;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;05;03;05;797,815694287572
