DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
846959,1,5,3,1,1,1,1,4,3,,,,,320000,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,833.183.380.371.076
846962,1,3,2,1,1,1,1,4,3,,,,,170000,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,702.219.026.136.233
846964,1,3,1,1,1,1,1,4,3,,,,,170000,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,699.770.187.450.335
846965,1,2,1,1,1,1,1,1,4,,,,150000,,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,993.980.753.807.264
846966,1,4,3,1,1,1,1,4,3,,,,,160000,1,2,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,979.720.815.399.999
846970,1,7,4,1,1,1,1,1,1,,,50000000,300000,,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,91.752.210.914.034
846970,2,3,2,1,1,1,1,1,3,,,,,100000,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,,,,,,,,,,,1,1,5,,5,1,91.752.210.914.034
846972,1,1,1,3,1,1,1,1,3,,,,,100000,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,5,1,5,1,895.285.598.973.072
846973,1,2,1,1,1,1,1,1,1,,,13000000,120000,,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,699.961.715.351.586
846975,1,3,2,1,1,1,1,4,3,,,,,150000,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,81.216.508.448.087
