DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636386,1,2,1,80,1,2,,,,2,,2,,1,2,,2,,1,3,17,17,158.885.950.575.543
2636387,1,1,1,80,1,1,4,7,,3,,2,,,,,9,2,1,3,17,17,16.243.973.457.274
2636388,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,17,17,137.948.908.818.473
2636388,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,17,17,137.948.908.818.473
2636389,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,17,17,157.511.668.523.797
2636392,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,76,76,823.805.873.506.554
2636392,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,76,76,823.805.873.506.554
2636398,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,76,76,830.627.587.043.421
2636398,1,2,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,76,76,830.627.587.043.421
2636401,1,1,1,80,1,1,1,7,,2,,2,,,,,2,2,1,3,76,76,829.286.807.324.128
2636403,1,1,1,80,1,1,4,3,,2,,2,,,,,8,2,1,3,76,76,836.108.520.860.995
2636404,1,3,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,76,76,875.156.611.761.236
2636405,1,1,1,80,1,1,4,5,,3,,2,,,,,9,2,1,3,76,76,764.534.492.112.688
2636405,1,2,1,80,1,1,4,4,,2,,2,,,,,9,2,1,3,76,76,764.534.492.112.688
2636405,1,7,1,80,1,2,,,,2,,2,,2,,.,,,1,3,76,76,764.534.492.112.688
2636408,1,2,1,80,1,1,1,3,,2,,2,,,,,9,2,1,3,70,70,981.461.027.049.315
2636410,1,1,1,80,1,1,1,4,,2,,2,,,,,4,2,1,3,70,70,124.856.501.904.823
2636410,1,8,1,80,1,2,,,,2,,2,,2,,.,,,1,3,70,70,124.856.501.904.823
2636410,1,9,1,80,1,2,,,,2,,2,,2,,.,,,1,3,70,70,124.856.501.904.823
2636412,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,70,70,113.983.491.877.224
2636412,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,70,70,113.983.491.877.224
