DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2403302;1;4;1;70;1;200;48;1; ;2;200;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;55;1;2;5521;06;05;05;1115,07807652117
2403304;1;3;1;70;1;16;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;06;05;05;1174,1758072668
2403307;1;2;1;70;1;16;48;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;60;1;2;6041;06;05;05;1320,87498838299
2403308;1;2;1;70;1;8;48;1; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5262;06;05;05;1051,06548294136
2403308;1;3;1;70;1;32;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;06;05;05;1051,06548294136
2403318;1;1;1;70;1;12;50;1; ;2;12;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;05;05;1114,58370253062
2403318;1;3;1;70;1;16;48;1; ;2;8;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5236;06;05;05;1114,58370253062
2403324;1;1;1;70;1;1;48;1; ;2;1;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;97;45;1;1;4530;06;05;05;998,071790349375
2403328;1;1;1;70;1;12;48;1; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;98;60;1;1;6031;06;05;05;1174,1758072668
2403328;1;3;1;70;1;6;48;1; ;2;26;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;45;1;1;4521;06;05;05;1174,1758072668
2403330;1;4;1;70;1;52;48;1; ;2;52;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;06;05;05;1036,67093878723
2403334;1;1;1;70;1;4;50;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;06;05;05;824,860224994408
2403334;1;5;1;70;1;35;50;1; ;2;35;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;45;1;2;4521;06;05;05;824,860224994408
2403339;1;2;1;70;1;24;48;1; ;2;24;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;2;5211;06;05;05;670,112487764777
2403341;1;3;1;70;1;52;48;1; ;2;44;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5225;06;05;05;1211,68264777412
2403350;1;1;1;70;1;32;50;4; ;2;30;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;2;4552;06;05;05;924,43847640842
2403354;1;5;1;70;1;45;48;1; ;2;49;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;45;97;24;1;2;2424;06;05;05;1090,92873127511
2403356;1;1;1;70;1;2;30;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;75;45;52;1;1;5262;06;05;05;974,533086271654
2403357;1;1;1;70;1;54;48;1; ;2;54;1; ;6;1; ; ; ; ; ; ; ; ;1; ;CUENTA  CON  LA  PENSION;2; ;2;80;80;19;1;2;1921;06;05;05;1036,67093878723
2403359;1;1;1;70;1;40;48;1; ;2;40;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;89;89;26;1;2;2610;06;05;05;976,333229903583
2403369;1;2;1;70;1;40;48;1; ;2;45;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;03;64;1;2;6422;06;05;05;831,48434513235
2403369;1;4;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;05;05;831,48434513235
2403391;1;3;1;70;1;4;24;1; ;2;96;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;06;05;05;962,41524618701
2403399;1;1;1;70;1;4;48;4; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5261;06;05;05;1029,12338783062
2403400;1;2;1;70;1;20;48;1; ;2;32;3; ;1;9;MEDICO  PARTICULAR; ; ; ; ; ; ; ; ;1; ;2; ;2;97;54;95;1;2;9500;06;05;05;981,107053696569
2403403;1;1;1;70;1;24;48;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;2;4552;06;05;05;931,908175409332
2403403;1;2;1;70;1;24;48;1; ;2;240;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;06;05;05;931,908175409332
2403411;1;1;1;70;1;20;48;1; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;52;1;2;5239;06;05;05;981,107053696569
2403433;1;3;1;70;1;21;48;1; ;2;20;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;38;38;60;1;2;6031;06;08;08;515,348146508387
2403436;1;3;1;70;1;4;60;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;99;2;98;97;45;1;1;4530;06;08;08;477,952694474126
2403449;1;6;1;70;1;8;48;3; ;2;362;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;08;08;609,849053669626
2403449;1;7;1;70;1;9;48;1; ;2;10;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;98;2;53;50;55;1;1;5530;06;08;08;609,849053669626
2403450;1;2;1;70;1;2;60;3; ;2;99;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;06;08;08;614,3172748132
2403451;1;3;1;70;1;8;48;1; ;2;20;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5529;06;08;08;663,360037036743
2403456;1;3;1;70;1;8;50;1; ;2;36;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;06;08;08;353,809519862005
2403456;2;2;2;70;1;4;84;4; ;2;99;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;32;92;1;1;9249;06;08;08;353,809519862005
2403460;1;1;1;70;1;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;1; ;06;08;08;604,847585842718
2403466;1;1;1;70;1;24;48;1; ;2;24;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8060;06;08;08;627,433439287741
2403466;1;3;1;70;1;10;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;51;1;1;5125;06;08;08;627,433439287741
2403468;1;6;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;06;08;08;476,863289427373
2403469;1;8;1;70;1;4;48;1; ;2;28;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;53;55;1;1;5530;06;08;08;718,326606330027
2403494;2;2;2;70;1;4;48;3; ;2;36;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;08;08;553,066262438521
2403516;1;1;1;70;1;52;48;3; ;2;52;4; ;1;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;53;55;1;2;5529;06;08;08;444,486116628452
2403535;1;2;1;70;1;8;48;1; ;2;8;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;98;60;1;1;6031;06;08;08;490,821748221039
2403535;1;3;1;70;1;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;77;53;55;1;1;5530;06;08;08;490,821748221039
2403543;1;2;1;70;1;26;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;2; ;06;08;08;589,952252115281
2403544;1;1;1;70;1;30;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;06;08;08;493,117051644177
2403548;1;5;1;70;1;13;56;3; ;2;13;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;08;08;435,056573681489
2403549;1;2;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;11; ; ;1;2; ;06;08;08;450,761303326214
2403549;1;5;1;70;1;36;48;1; ;2;36;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;55;1;2;5529;06;08;08;450,761303326214
2403552;1;3;1;70;1;52;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;06;08;08;774,21045321317
2403553;1;2;1;70;1;26;40;3; ;2;26;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;08;08;538,820546893708
2403553;1;4;1;70;1;13;48;1; ;2;26;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;45;52;1;1;5231;06;08;08;538,820546893708
2403554;1;3;1;70;1;16;48;1; ;2;16;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;18;1;2;1810;06;08;08;467,656301864142
2403557;1;3;1;70;1;2;48;1; ;2;2;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;45;45;15;1;1;1589;06;08;08;619,158587779487
2403560;1;4;1;70;1;4;40;1; ;2;4;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;110000;2;90;90;25;1;1;2529;06;08;08;710,892760332826
2403564;1;3;1;70;1;16;40;1; ;2;16;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;33;70;1;2;7020;06;08;08;641,733125808733
2403570;1;3;1;70;1;52;40;1; ;2;12;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;13;80;1;2;8011;06;08;08;491,758623154809
2403570;1;4;1;70;1;24;40;1; ;2;24;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5234;06;08;08;491,758623154809
2403571;1;5;1;70;1;12;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;1; ;06;08;08;572,556148181996
2403583;1;2;1;70;1;4;40;1; ;2;4;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;33;74;1;1;7412;06;08;08;556,175029573043
2403633;1;3;1;70;1;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;1; ;06;11;11;2650,07893318211
2403635;2;2;2;70;1;8;48;1; ;2;96;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;37;64;1;1;6412;06;11;11;2302,89984365984
2403640;1;2;1;70;1;4;72;1; ;2;4;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;81;36;1;1;3611;06;11;11;2851,65589720174
2403640;1;3;1;70;1;16;70;1; ;2;16;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;81;36;1;2;3611;06;11;11;2851,65589720174
2403642;1;1;1;70;1;4;48;1; ;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;95;45;1;1;4521;06;11;11;2720,51218480477
2403645;1;2;1;70;1;20;16;4; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;97;15;1;2;1530;06;11;11;2173,50824412501
2403650;1;2;1;70;1;4;24;1; ;2;12;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;06;11;11;2658,75149218709
2403650;1;3;1;70;1;4;24;1; ;2;12;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;06;11;11;2658,75149218709
2403666;1;2;1;70;1;4;48;1; ;2;4;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;39;39;70;1;1;7010;06;11;11;2392,86784921255
2403687;1;3;1;70;1;4;60;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;06;11;11;2788,32845922518
2403690;1;1;1;70;1;24;48;1; ;2;24;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;26;1;2;2694;06;11;11;2090,52961177827
2403717;1;5;1;70;1;2;48;1; ;2;1;2; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7522;06;11;11;2713,62254951641
2403717;1;7;1;70;1;7;48;1; ;2;28;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7512;06;11;11;2713,62254951641
2403731;1;3;1;70;1;58;78;1; ;2;78;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;92;1;2;9232;06;11;11;2322,0549184335
2403741;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;39;55;1;2;5512;06;11;11;2505,2374060087
2403742;1;2;1;70;1;12;48;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;34;72;1;1;7240;06;11;11;2483,14895142936
2403746;1;2;1;70;1;20;48;1; ;2;20;1; ;3;9;CON  EL  SOCIOECONOMICO; ; ; ; ; ; ; ; ;1; ;2; ;2;59;32;85;1;2;8515;06;11;11;2511,54946590026
2403760;1;2;1;70;1;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;95;95;45;1;1;4521;06;11;11;2813,33028514835
2403784;1;2;1;70;1;24;48;4; ;2;27;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;11;11;2641,52626930536
2403787;1;4;1;70;1;12;48;4; ;2;1;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;16;39;64;1;1;6412;06;11;11;2086,64598766654
2403793;1;1;1;70;1;2;48;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;160000;2;95;95;45;1;1;4521;06;11;11;2558,63092197343
2403793;1;2;1;70;1;16;48;1; ;2;6;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;06;11;11;2558,63092197343
2403797;1;1;1;70;1;24;48;1; ;2;336;1; ;5;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;39;21;85;1;2;8532;06;11;11;2258,45000350953
2403797;1;3;1;70;1;4;36;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;1; ;06;11;11;2258,45000350953
2403803;1;6;1;70;1;132;48;1; ;2;36;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;53;55;1;2;5522;06;11;11;2248,03296011589
2403812;1;2;1;70;1;24;48;1; ;2;288;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;2;9500;06;11;11;2665,84831762274
2403813;1;2;1;70;1;4;48;1; ;2;99;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5234;06;11;11;2723,82758833769
2403813;1;4;1;70;1;12;48;1; ;2;12;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;92;22;1;1;2231;06;11;11;2723,82758833769
2403814;1;2;1;70;1;8;48;1; ;2;8;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;90;97;36;1;1;3699;06;11;11;2621,67841871121
2403815;1;2;1;70;1;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;93;1;1;9301;06;11;11;2757,77945021324
