DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;DPTO;fex_c_2011
1080812;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;774,075540090732
1080812;1;2;1;90; ;2; ;1;2;2;2;2;1;2;2;2; ; ;15; ; ; ; ;6; ; ; ;63;774,075540090732
1080812;1;3;1;90; ;2; ;1;2;2;2;2;2;2;1;2; ; ;10; ; ; ; ; ; ;3; ;63;774,075540090732
1080812;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;63;774,075540090732
1080812;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;774,075540090732
1080813;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;718,263242186588
1080813;1;2;1;90; ;1; ;1;2;1;2;2;2;2;2;2;18; ;25; ;20; ; ; ; ; ; ;63;718,263242186588
1080813;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;63;718,263242186588
1080813;1;4;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ;63;718,263242186588
1080813;1;5;1;90; ;1; ;1;2;2;2;2;1;2;2;2;5; ;10; ; ; ; ;5; ; ; ;63;718,263242186588
1080813;1;6;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;63;718,263242186588
1080814;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;3; ; ; ; ; ; ; ; ;63;574,44351346518
1080815;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;827,101633021881
1080815;1;2;1;90; ;1; ;1;2;1;2;2;2;2;2;2;15; ;20; ;30; ; ; ; ; ; ;63;827,101633021881
