DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
676640,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,4,5,95,2,,,,,,,,1,2,,1,,,300000,,,,2,2,2,,2,5,844.657.869.149.682
676640,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,7,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,8,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676640,1,9,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,844.657.869.149.682
676643,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,650.120.354.123.327
676643,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,650.120.354.123.327
676643,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,650.120.354.123.327
676644,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,766.115.006.940.239
676645,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,917.664.274.654.898
676646,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,720.815.601.005.414
676646,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,2000000,2,1,2,,2,5,720.815.601.005.414
676647,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,360000,2,1,2,,2,5,753.329.610.641.283
676647,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,753.329.610.641.283
676648,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.199.953.787.056
676648,1,2,5,95,2,,,,,,,,1,2,,1,,,40000,,,,2,2,2,,2,5,858.199.953.787.056
676649,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,710.202.182.833.568
676650,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,60.633.347.713.746
676650,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,60.633.347.713.746
676650,1,3,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,100000,1,5,60.633.347.713.746
676650,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,60.633.347.713.746
676650,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,60.633.347.713.746
676651,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,131.012.233.266.108
676651,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,131.012.233.266.108
676652,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,134.514.417.778.903
676652,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,400000,1,5,134.514.417.778.903
676652,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,134.514.417.778.903
676652,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,134.514.417.778.903
676652,1,5,5,95,2,,,,,,,,1,2,,2,,,,,,,2,2,2,590000,1,5,134.514.417.778.903
676652,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,134.514.417.778.903
676653,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,153.223.001.388.048
676654,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,154.818.184.887.451
676654,1,2,5,95,1,,1,2,,,180000,2,2,,,,,,,,,,,,,,,5,154.818.184.887.451
676654,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,154.818.184.887.451
676654,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,154.818.184.887.451
676655,1,1,5,95,1,,2,1,,461500,,2,2,,,,,,,,,,,,,,,5,141.330.137.214.479
676655,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,141.330.137.214.479
676656,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,1000000,2,1,2,,2,5,611.274.289.344.673
676656,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676656,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676656,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676657,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,858.199.953.787.056
676657,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.199.953.787.056
676658,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,571.513.864.751.575
676658,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,571.513.864.751.575
