DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
697697;1;2;2;3;2;4;1;4;3;;;;;60000;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;63;1;956.613.065.656
697699;1;4;3;3;1;4;1;5;1;;;10000000;80000;;2;2;2;2;2;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;63;1;144.306.751.737.772
697701;1;3;3;2;1;4;6;5;4;;;;100000;;2;2;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;2;4;;;1;2;1;63;1;742.901.301.994.899
697704;1;2;2;2;1;4;6;5;1;;;10000000;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;119.424.555.724.237
697705;1;4;3;2;1;4;6;5;1;;;50000000;100000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;854.922.138.146.744
697707;1;3;3;2;1;4;1;5;4;;;;40000;;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;2;1;1;;2;1;2;1;63;1;130.183.365.241.965
697707;2;1;1;2;1;4;6;;4;;;;60000;;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;1;2;;63;1;130.183.365.241.965
697709;1;2;2;2;1;4;6;5;1;;;125000000;300000;;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;63;1;131.348.121.975.966
697919;1;3;2;3;1;4;1;5;4;;;;200000;;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;1;2;;1;1;2;1;66;1;155.126.618.764.231
697922;1;3;2;2;1;1;6;4;4;;;;400000;;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;4;1;2;2;1;1;5;2;2;1;2;1;66;1;11.893.766.235.292
697925;1;1;1;2;1;1;6;4;3;;;;;90000;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;2;1;2;;1;2;1;66;1;497.410.791.255.895
697927;1;1;1;2;1;1;6;4;3;;;;;90000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;2;1;2;;1;2;1;66;1;564.164.733.909.898
697929;1;5;4;2;2;1;6;4;4;;;;90000;;1;2;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;4;3;1;2;2;1;2;1;2;;1;2;1;66;1;711.932.315.056.224
697929;2;1;1;2;2;1;6;4;4;;;;50000;;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;2;;66;1;711.932.315.056.224
697934;1;1;1;2;1;1;6;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;2;1;2;;1;2;1;66;1;133.111.536.013.447
697938;1;1;1;2;1;1;6;4;3;;;;;90000;2;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;3;1;2;1;2;2;1;2;1;2;;1;2;1;66;1;929.045.249.320.908
697940;1;4;3;2;1;1;1;4;4;;;;100000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;3;1;2;2;1;1;1;2;1;1;2;1;66;1;102.541.127.035.743
697941;1;1;1;2;1;1;6;4;3;;;;;90000;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;2;1;2;2;1;2;1;2;;1;2;1;66;1;119.815.853.022.261
697945;1;2;2;2;1;1;6;4;3;;;;;300000;1;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;2;2;2;;1;2;1;66;1;128.442.074.593.105
697947;1;3;3;3;1;1;1;4;4;;;;150000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;1;2;1;66;1;84.051.519.442.203
697948;1;2;1;2;1;1;1;4;3;;;;;150000;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;2;1;1;2;2;1;1;2;1;66;1;11.893.766.235.292
697952;1;3;2;2;1;1;1;4;3;;;;;200000;1;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;2;1;1;2;2;2;1;2;1;66;1;929.045.249.320.908
697953;1;3;2;3;1;1;1;4;1;;;40000000;300000;;2;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;2;2;1;1;2;1;66;1;843.609.233.300.208
697953;2;3;1;3;1;1;1;4;1;;;40000000;300000;;2;2;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;1;1;2;;66;1;843.609.233.300.208
