DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,FEX_C,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2731721,1,2,1,80,303.565.668.202.777,1,1,4,3,,2,,2,,,,,9,2,1,7,27,27,303.608.870.967.754
2731722,1,2,1,80,303.565.668.202.777,1,1,3,2,,2,,2,,,,,2,2,1,7,27,27,303.608.870.967.754
2731727,1,2,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731729,1,3,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,612.122.440.673.272
2731729,1,4,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,612.122.440.673.272
2731730,1,2,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731732,1,4,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731732,1,7,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731733,1,1,1,80,133.568.894.009.222,1,1,1,3,,2,,2,,,,,9,2,1,7,27,27,133.587.903.225.812
2731734,1,1,1,80,133.568.894.009.222,1,1,2,3,,2,,2,,,,,9,2,1,7,27,27,133.587.903.225.812
2731735,1,4,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731735,1,5,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731736,1,1,1,80,303.565.668.202.777,1,1,2,6,,2,,2,,,,,6,2,1,7,27,27,303.608.870.967.754
2731736,1,2,1,80,303.565.668.202.777,1,1,2,5,,3,,2,,,,,10,2,1,7,27,27,303.608.870.967.754
2731737,1,1,1,80,133.568.894.009.222,1,1,2,4,,2,,1,50000,,1,,9,1,1,7,27,27,133.587.903.225.812
2731738,1,3,1,80,303.565.668.202.777,1,2,,,,2,,2,,2,,.,,,1,7,27,27,303.608.870.967.754
2731739,1,2,1,80,133.568.894.009.222,1,1,1,4,,2,,2,,,,,4,2,1,7,27,27,133.587.903.225.812
2731740,1,1,1,80,510.933.074.236.469,1,1,4,6,,2,,2,,,,,8,2,1,7,18,18,485.738.986.813.308
2731740,1,2,1,80,510.933.074.236.469,1,1,4,3,,2,,2,,,,,9,2,1,7,18,18,485.738.986.813.308
2731741,1,1,1,80,518.062.213.535.626,1,1,2,3,,2,,2,,,,,9,2,1,7,18,18,52.531.787.082.777
2731741,1,4,1,80,518.062.213.535.626,1,2,,,,2,,2,,2,,.,,,1,7,18,18,52.531.787.082.777
2731744,1,1,1,80,578.486.454.195.931,1,1,4,7,,2,,2,,,,,11,2,1,7,18,18,573.883.028.312.824
2731746,1,1,1,80,672.537.232.382.496,1,2,,,,2,,2,,2,,.,,,1,7,18,18,679.706.106.060.729
2731746,1,2,1,80,672.537.232.382.496,1,2,,,,2,,2,,2,,.,,,1,7,18,18,679.706.106.060.729
2731746,1,3,1,80,672.537.232.382.496,1,2,,,,2,,2,,2,,.,,,1,7,18,18,679.706.106.060.729
2731746,1,5,1,80,672.537.232.382.496,1,1,4,4,,2,,2,,,,,4,2,1,7,18,18,679.706.106.060.729
2731747,1,2,1,80,371.873.030.547.371,1,2,,,,2,,2,,2,,.,,,1,7,18,18,370.946.008.429.792
2731749,1,2,1,80,371.873.030.547.371,1,2,,,,2,,2,,2,,.,,,1,7,18,18,370.946.008.429.792
2731750,1,2,1,80,326.004.689.331.779,1,2,,,,2,,2,,2,,.,,,1,7,18,18,32.581.711.606.097
2731754,1,2,1,80,780.372.791.937.493,1,2,,,,2,,2,,2,,.,,,1,7,18,18,796.215.355.438.667
2731755,1,2,1,80,371.873.030.547.371,1,2,,,,2,,2,,2,,.,,,1,7,18,18,370.946.008.429.792
2731756,1,1,1,80,558.013.988.202.636,1,1,1,8,,2,,2,,,,,8,2,1,7,18,18,564.126.400.238.635
2731757,1,1,1,80,672.481.844.656.852,1,1,3,4,,2,,2,,,,,4,2,1,7,18,18,661.390.860.196.128
2731759,1,1,1,80,490.460.608.243.174,1,1,3,5,,3,,2,,,,,11,2,1,7,18,18,475.982.358.739.119
2731759,1,2,1,80,490.460.608.243.174,1,2,,,,2,,2,,2,,.,,,1,7,18,18,475.982.358.739.119
2731762,1,2,1,80,13.418.135.509.881,1,1,4,3,,2,,2,,,,,11,2,1,7,63,63,134.510.386.662.144
