Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2862066;1;1;1;70;66;5;48;1; ;2;5;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;97;60;1;1;6041;01;66;347,622555662673
2862067;1;2;1;70;66;12;48;1; ;2;52;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;24;1;1;2424;01;66;325,981996010724
2862068;1;2;1;70;66;12;48;1; ;2;12;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;44;64;1;1;6421;01;66;237,724750823325
2862071;1;3;1;70;66;12;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;90;1;1;9000;01;66;338,684178274662
2862071;1;4;1;70;66;36;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;55;15;1;2;1530;01;66;338,684178274662
2862072;1;1;1;70;66;3;48;4; ;2;3;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;03;03;75;1;1;7512;01;66;267,950237206238
2862076;1;2;1;70;17;176;48;1; ;2;364;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;60;1;2;6042;01;17;206,382170764794
2862187;1;3;1;70;68;4;40;1; ;2;9;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;75;1;1;7512;01;68;364,862368413442
2862188;1;1;1;70;68;1;30;1; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;1;5261;01;68;520,260223598345
2862188;1;3;1;70;68;1;30;1; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;97;97;52;1;1;5233;01;68;520,260223598345
2862193;1;3;1;70;68;12;48;1; ;2;72;4; ;8;9;SEGURO DE LA UNIVERSIDAD; ; ; ; ; ; ; ; ;1; ;2; ;2;11;34;66;1;1;6601;01;68;687,616710029769
2862193;1;4;1;70;68;3;48;4; ;2;4;4; ;3;9;SEGURO UNIVERSITARIO; ; ; ; ; ; ; ; ;1; ;1;150000;2;03;03;18;1;1;1810;01;68;687,616710029769
2862201;1;1;1;70;68;2;48;4; ;2;2;4; ;9;2; ; ; ; ;1; ; ; ; ; ; ;1;800000;2;77;58;75;1;1;7512;01;68;535,682043052666
2862204;1;1;1;70;68;4;50;5; ;2;4;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;95;95;45;1;1;4521;01;68;446,23359695131
2862204;1;3;1;70;68;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;1; ;01;68;446,23359695131
2862206;1;2;1;70;68;4;48;3; ;2;4;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;54;54;95;1;1;9500;01;68;398,828403895009
2862207;1;3;1;70;68;6;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;33;94;36;1;1;3699;01;68;451,380885917257
2862282;1;1;1;70;76;36;48;1; ;2;99;4; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;12;57;93;1;2;9302;01;76;761,578739016981
2862285;1;1;1;70;76;2;48;1; ;2;2;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;01;76;1082,00998447182
2862291;1;3;1;70;76;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;15;39;64;1;1;6412;01;76;1044,7775498497
2862321;1;3;1;70;73;3;48;1; ;2;3;4; ;9;1; ; ; ; ;1; ; ; ; ; ; ;1;2500000;2;13;13;80;1;1;8050;01;73;284,61013694394
2862321;1;4;1;70;73;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;3000000;2;05;05;73;1;1;7310;01;73;284,61013694394
2862323;1;3;1;70;73;32;48;1; ;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;2;4522;01;73;355,354319786945
2862327;1;2;1;70;73;2;60;4; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;32;74;1;1;7492;01;73;284,283231484299
2862332;1;3;1;70;73;16;40;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;09;39;52;1;2;5231;01;73;239,69240012196
2862335;1;1;1;70;73;58;112;4; ;2;58;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;2;5211;01;73;281,191141055157
2862336;1;2;1;70;73;9;30;4; ;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;1;1551;01;73;295,332870658531
2862337;1;2;1;70;73;48;48;4; ;2;26;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;79;79;18;1;2;1810;01;73;308,838132349159
2862341;1;1;1;70;73;4;48;4; ;2;4;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;1;150000;2;98;98;60;1;1;6021;01;73;275,986043139275
2862345;1;2;1;70;73;4;48;1; ;2;24;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;53;55;1;1;5521;01;73;219,635203036666
2862345;2;2;2;70;73;6;40;1; ;2;8;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5522;01;73;219,635203036666
2862349;1;1;1;70;73;9;40;1; ;2;9;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;01;73;303,881852278514
2862350;1;5;1;70;73;24;48;3; ;2;24;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;01;73;293,909207838154
2862353;1;3;1;70;73;3;48;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;50;1;1;5020;01;73;265,2234084995
2862359;1;3;1;70;73;24;44;1; ;2;104;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;53;55;1;2;5521;01;73;465,962950665805
2862359;1;5;1;70;73;2;50;1; ;2;2;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;270000;2;84;84;50;1;1;5020;01;73;465,962950665805
2862360;1;2;1;70;73;2;48;1; ;2;4;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;342000;2;95;95;45;1;1;4521;01;73;258,790409795979
2862360;1;3;1;70;73;2;44;1; ;2;2;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;800000;2;39;39;75;1;1;7524;01;73;258,790409795979
2862362;1;5;1;70;73;8;48;1; ;2;2;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;725000;2;58;58;74;1;1;7492;01;73;322,754023852021
2862364;1;3;1;70;73;6;50;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;01;73;368,859581477572
2862367;1;1;1;70;52;27;40;1; ;2;30;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;21;92;1;2;9242;01;52;387,472014843262
2862368;1;1;1;70;52;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;740000;2;97;97;92;1;1;9249;01;52;153,300084934269
2862368;1;3;1;70;52;13;48;1; ;2;26;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;38;64;1;1;6421;01;52;153,300084934269
2862369;1;1;1;70;52;26;48;1; ;2;26;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;93;45;1;2;4552;01;52;200,20130285581
2862371;1;1;1;70;52;99;40;1; ;2;99;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7524;01;52;371,087600205046
2862378;1;1;1;70;52;4;48;4; ;2;4;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;520000;2;13;13;85;1;1;8532;01;52;400,402605711621
2862383;1;3;1;70;52;3;60;1; ;2;8;4; ;1;9;CARNET DE OTRO MUNICIPIO; ; ; ; ; ; ; ; ;1; ;2; ;2;45;61;01;1;1;0140;01;52;161,334439124788
2862387;1;1;1;70;52;4;48;1; ;2;12;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;97;52;1;1;5221;01;52;284,564515297965
2862387;1;2;1;70;52;4;24;3; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;01;52;284,564515297965
2862387;1;3;1;70;52;20;48;1; ;2;20;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;52;1;2;5221;01;52;284,564515297965
2862387;2;2;2;70;52;12;24;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;56;93;1;1;9301;01;52;284,564515297965
2862389;1;1;1;70;52;2;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;95;95;45;1;1;4521;01;52;241,157984915618
2862390;1;1;1;70;52;26;48;1; ;2;26;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;45;33;52;1;2;5236;01;52;210,949254582272
2862394;1;2;1;70;52;12;25;1; ;2;52;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;01;52;106,892118436599
2862398;1;4;1;70;05;9;48;1; ;2;9;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;52;1;1;5229;01;05;1192,09766676725
2862400;1;1;1;70;05;5;48;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;71;71;13;1;1;1320;01;05;1017,55040975954
2862400;1;2;1;70;05;5;48;1; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;71;13;1;1;1320;01;05;1017,55040975954
2862405;1;2;1;70;05;5;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;1; ;01;05;1052,90289346185
2862408;1;2;1;70;05;2;24;1; ;2;3;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;53;53;55;1;1;5521;01;05;928,82301459039
2862413;1;1;1;70;05;5;48;2; ;2;6;1; ;6;4; ; ; ; ;1; ; ; ; ; ; ;2; ;2;13;13;80;1;1;8043;01;05;1166,65513945004
2862415;1;8;1;70;05;8;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;52;1;1;5219;01;05;1223,43853300078
2862423;1;1;1;70;05;24;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;45;1;2;4530;01;05;1112,49963385144
2862424;1;1;1;70;05;16;48;1; ;2;12;4; ;4;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;02;02;74;1;2;7414;01;05;1043,52578134362
2862426;1;1;1;70;05;3;48;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;16;92;1;1;9214;01;05;1166,65513945004
2862427;1;2;1;70;05;6;48;1; ;2;96;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5529;01;05;964,175498292693
2862428;1;6;1;70;05;4;48;2; ;2;4;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;5000000;2;02;02;75;1;1;7512;01;05;1162,18641785595
2862437;1;2;1;70;50;52;48;1; ;2;52;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;01;50;127,690626612788
2862444;1;2;1;70;50;48;48;1; ;2;2;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;900000;2;45;45;52;1;2;5239;01;50;240,228478410519
2862462;1;3;1;70;50;2;48;1; ;2;2;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;45;45;52;1;1;5234;01;50;188,578721540499
2862463;1;1;1;70;50;4;48;3; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;54;54;85;1;1;8532;01;50;158,247871586146
2862474;1;1;1;70;50;4;40;1; ;2;12;1; ;3;2; ; ; ; ; ; ; ; ;1; ;ARRIENDOS;2; ;2;50;50;55;1;1;5511;01;50;125,360208137938
2862478;1;1;1;70;50;6;48;5; ;2;6;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;01;50;208,239267930779
