DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2403190;1;1;1;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1024,34956403764
2403191;1;2;1;1;1;1;1;1;1;3; ; ; ; ;200000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;974,533086271654
2403192;1;3;2;1;1;1;1;1;3;3; ; ; ; ;220000;1;2;1;1;2;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;805,817212612424
2403195;1;3;2;1;1;1;1;1;3;1; ; ;25000000;180000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;3;1;1;1;2;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1174,1758072668
2403196;1;3;2;1;1;1;1;1;3;1; ; ;25000000;150000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2; ;5;1;1;1;2;1;1;1;1;1;2;2;1;01;1;06;05;1;05;853,222905578142
2403197;1;4;1;1;1;1;1;1;4;4; ; ; ;150000; ;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1112,03795475123
2403198;1;2;2;2;1;1;1;1;3;3; ; ; ; ;100000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;3;2;2; ;4;1;1;1;2;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1064,98346665794
2403199;1;1;1;6; ;1;2;6; ;4; ; ; ;40000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;2; ;2;2; ;3;1;4;1;2;1;2;2;1;2;2;2; ;01;1;06;05;1;05;851,144629848963
2403200;1;3;2;1;1;1;1;1;4;3; ; ; ; ;250000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;1;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1093,34614724167
2403201;1;5;3;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;2;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1307,18498405064
2403202;1;1;1;1;1;1;1;2;3;3; ; ; ; ;450000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;682,706888286983
2403203;1;3;2;1;1;1;1;1;1;3; ; ; ; ;280000;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;801,043388819438
2403204;1;1;1;1;1;1;1;6; ;3; ; ; ; ;170000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;2;1;2;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1112,03795475123
2403205;1;4;3;1;1;1;1;1;3;3; ; ; ; ;280000;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;787,125405102864
2403208;1;2;1;1;1;1;1;1;1;1; ; ;50000000;200000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1133,54190464651
2403209;1;3;2;1;1;1;1;1;1;3; ; ; ; ;250000;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;857,996729371128
2403210;1;3;2;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;1;1;1;1;2;2;1;1;2;2;2;2;1;2;1;1;1;2;1;2; ;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1024,62769613489
2403211;1;4;3;1;1;1;1;1;1;3; ; ; ; ;500000;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;698,475168348511
2403212;1;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;976,333229903583
2403213;1;3;2;1;1;1;1;1;3;3; ; ; ; ;380000;1;1;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;4;2;1;01;1;06;05;1;05;1093,34614724167
2403214;1;3;2;1;1;1;1;1;3;3; ; ; ; ;430000;1;2;1;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;06;05;1;05;952,516393728612
2403216;1;4;3;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;982,068899737331
2403217;1;6;5;1;1;1;1;1;4;1; ; ;50000000;480000; ;1;2;1;2;1;2;2;2;1;2;1;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1065,26159875519
2403218;1;4;1;1;1;1;1;1;1;3; ; ; ; ;520000;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1112,03795475123
2403219;1;4;3;1;1;1;1;1;3;3; ; ; ; ;510000;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;779,304828373645
2403220;1;3;2;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1052,95196149652
2403221;1;4;3;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;2;1;2;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;962,41524618701
2403222;1;7;3;1;1;1;1;1;1;1; ; ;250000000;500000; ;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1121,93680720963
2403223;1;5;3;1;1;1;1;1;4;1; ; ;50000000;400000; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2; ;5;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;838,828361424008
2403224;1;3;2;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;867,419021391965
2403225;1;4;3;1;1;1;1;1;3;1; ; ;34000000;300000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1174,1758072668
2403226;1;5;4;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;2;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;3;2;2; ;7;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;969,962797143615
2403227;1;6;3;1;1;1;1;1;3;1; ; ;200000000;900000; ;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;4;2;1;01;1;06;05;1;05;843,602185216994
2403228;1;5;4;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;5;2;2; ;5;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;1204,84474296394
2403229;1;6;1;1;1;1;1;1;1;1; ; ;50000000;400000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2; ;2;2; ;1;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;924,43847640842
