Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
392412;1;1;70;8;40;1; ;1;1;2;8;8; ;4;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;840000;2;95;62;0115;01;23;1826,9119722976
392413;1;4;70;8;40;8; ;1;1;2;9;8; ;4;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1300000;2;62;62;0115;01;23;2021,8640971653
392415;1;1;70;8;40;8; ;1;1;2;8;8; ;5;2;5; ;4; ;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;1;1080000;2;62;62;0115;01;23;1760,42599435955
392415;1;5;70;12;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;23;1760,42599435955
392447;1;1;70;8;44;1; ;1;1;2;5;1; ;6;2;8; ;1; ;2;11;ERA UN TRABAJO TEMPORAL; ; ; ; ; ; ; ; ;1; ;1;216850;1;3200000;2;79;79;1810;18;54;425,123661515581
392460;1;1;70;3;48;8; ;1;1;2;3;8; ;3;2;5; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;250000;1;2500000;2;62;62;0121;01;76;4887,12443295557
392472;1;1;70;1;60;1; ;1;1;2;1;1; ;4;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;1;3600000;2;95;95;4521;45;66;1215,31600157876
392474;1;5;70;90;60;1; ;1;1;2;120;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5211;52;66;911,207409519637
392481;2;2;70;20;48;1; ;1;1;2;104;1; ;3;2;5; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;79;05;5511;55;66;760,290701349999
392482;1;1;70;1;48;1; ;1;1;2;1;1; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ;1; ; ; ;1;360000;1;6200000;2;95;95;4521;45;66;1069,43351973958
392482;1;3;70;4;40;1; ;1;1;2;4;1; ;4;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;440000;1;1200000;2;95;95;4521;45;66;1069,43351973958
392492;1;2;70;6;40;3; ;1;1;2;104;3; ;1;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;66;1058,38183879907
392494;1;2;70;6;40;3; ;1;1;2;2;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;600000;2;54;54;9500;95;66;1144,50613292031
392498;1;3;70;12;60;8; ;1;1;2;12;8; ;4;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2340000;2;62;62;5125;51;68;1247,26021784368
392501;1;4;70;4;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;68;1248,82330779528
392506;1;1;70;12;48;1; ;2;2;2;8;1; ;4;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;140000;2;73;80;5133;51;68;1639,55469215478
392520;1;5;70;12;48;1; ;2;2;2;12;1; ;6;1; ;.;7; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;2; ;2;00;97;5211;52;68;682,367223659087
392520;1;6;70;32;48;1; ;2;2;2;32;1; ;8;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5225;52;68;682,367223659087
392521;1;2;70;32;48;2; ;1;1;2;240;2; ;9;1; ;.;2; ;1; ;.; ; ; ;1; ; ; ; ; ; ;2; ;2; ;2;32;32;7512;75;68;1321,10029094961
