Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3156719;1;3;1;10;3;2;1;2;1995;18;3;6;1; ; ;3; ; ;2;1;1;1;6;0;2;2;11;02;13;2075,96228757314
3156719;1;4;1;10;4;1;1;11;2001;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;02;13;2075,96228757314
3156720;1;1;1;10;1;1;1;10;1962;50;1;2;1; ; ;1;3;74000;2;1;2; ;3;2; ;2;2;02;68;825,336454795936
3156720;1;2;1;10;2;2;1;7;1979;33;2;2;1; ; ;1;5; ;2;1;2; ;6;2;3;2;13;02;68;825,336454795936
3156720;1;3;1;10;2;2;1;8;2007;5;3; ;1; ; ;1;5; ;2;2;1;1;2;0; ;2;0;02;68;825,336454795936
3156721;1;1;1;10;1;1;1;10;1949;63;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;13;1098,18654567976
3156721;1;2;1;10;2;2;1;7;1955;57;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1098,18654567976
3156721;1;3;1;10;3;1;1;11;1945;67;5;3;1; ; ;1;2;190000;2;1;2; ;5;11;2;2;11;02;13;1098,18654567976
3156722;1;1;1;10;1;1;1;7;1985;27;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;02;13;1649,53932421468
3156722;1;2;1;10;2;2;1;8;1992;20;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;02;13;1649,53932421468
3156722;1;3;1;10;2;1;1;12;2011;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;02;13;1649,53932421468
3156723;1;1;1;10;1;1;1;3;1966;46;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1850,28605591574
3156723;1;2;1;10;2;2;1;12;1967;45;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1850,28605591574
3156723;1;3;1;10;3;1;1;7;1996;16;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1850,28605591574
3156723;1;4;1;10;4;1;1;7;1998;14;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1850,28605591574
3156723;1;5;1;10;2;2;1;9;2009;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1850,28605591574
3156725;1;1;1;10;1;1;1;8;1985;27;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;02;13;1315,39407121277
3156725;1;2;1;10;2;2;1;4;1987;25;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;02;13;1315,39407121277
3156725;1;3;1;10;3;2;1;11;2004;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;13;1315,39407121277
3156725;1;4;1;10;2;2;1;1;2006;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;02;13;1315,39407121277
3156725;1;5;1;10;2;2;1;4;2008;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;02;13;1315,39407121277
3156725;1;6;1;10;2;1;1;12;2009;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1315,39407121277
3156726;1;1;1;10;1;2;1;8;1954;58;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1963,11342747604
3156726;1;2;1;10;2;1;1;1;1957;56;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;02;13;1963,11342747604
3156726;1;3;1;10;3;2;1;7;1977;35;3;6;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;02;13;1963,11342747604
3156726;1;4;1;10;4;1;1;4;1999;13;4;6;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;02;13;1963,11342747604
3156726;1;5;1;10;5;1;1;10;2002;10;4;6;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;02;13;1963,11342747604
3156727;1;1;1;10;1;1;1;12;1973;39;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;2294,44384379068
3156727;1;2;1;10;2;2;1;9;1994;18;2;1;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;02;13;2294,44384379068
3156727;1;3;1;10;3;2;1;6;2002;10;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;02;13;2294,44384379068
3156727;1;4;1;10;2;2;1;10;2012;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;02;13;2294,44384379068
3156728;1;1;1;10;1;1;1;6;1966;46;1;3;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;02;13;1522,98185802295
3156729;1;1;1;10;1;1;1;9;1950;62;1;2;1; ; ;1;3;70800;2;2;2; ;1;0; ;2;0;02;13;1620,11517530299
3156729;1;2;1;10;2;2;1;1;1959;54;2;3;1; ; ;1;5; ;2;2;2; ;1;0; ;2;0;02;13;1620,11517530299
3156729;1;3;1;10;3;1;1;7;1994;18;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;02;13;1620,11517530299
3156729;1;4;1;10;4;1;1;12;1995;17;4;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;13;1620,11517530299
3156729;1;5;1;10;5;1;1;6;1996;16;4;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;02;13;1620,11517530299
3156738;1;1;1;10;1;2;1;11;1975;37;1;2;1; ; ;2;5; ;2;1;2; ;4;8; ;2;8;02;13;1936,08528291126
3156738;1;2;1;10;2;1;1;5;1962;50;2;2;1; ; ;2;1;44000;2;1;2; ;6;5;4;2;16;02;13;1936,08528291126
3156738;1;3;1;10;3;2;1;12;1999;13;3;6;1; ; ;2;5; ;2;1;1;1;4;7; ;2;7;02;13;1936,08528291126
3156738;1;4;1;10;1;2;1;6;2012;0;3; ;1; ; ;2;5; ;2; ; ; ; ; ; ;2; ;02;13;1936,08528291126
3156739;1;1;1;10;1;2;1;1;1975;38;1;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;02;13;1721,96463996916
3156740;1;1;1;10;1;1;1;12;1975;37;1;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;02;13;1522,98185802295
3156741;1;1;1;10;1;1;1;7;1981;31;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;02;13;1680,94730753204
3156741;1;2;1;10;2;2;1;12;1972;40;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;02;13;1680,94730753204
3156741;1;3;1;10;3;2;1;12;2000;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;02;13;1680,94730753204
