Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3704982;1;1;1;70;1;52;48;1; ;2;98;5; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;21;60;1;2;6042;04;50;186,882583226475;50
3704983;1;1;1;70;1;25;30;1; ;2;25;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;77;55;1;2;5529;04;50;112,594726605716;50
3704987;1;2;1;70;1;54;48;1; ;2;104;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;55;1;2;5530;04;50;217,175995692069;50
3704999;1;2;1;70;1;24;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;04;66;280,463202964392;66
3705009;1;2;1;70;1;12;48;4; ;2;20;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;13;80;1;1;8060;04;66;382,139110149127;66
3705031;1;3;1;70;1;12;54;4; ;2;12;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;75;1;1;7513;04;18;64,6603122056202;18
3705032;1;2;1;70;1;52;48;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;44;50;1;2;5011;04;18;50,497721552462;18
3705044;1;2;1;70;1;52;24;4; ;2;104;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;2;9500;04;47;186,588142917167;47
3705045;1;2;1;70;1;32;48;1; ;2;156;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;16;74;1;2;7499;04;47;197,146650912518;47
3705049;1;3;1;70;1;104;48;1; ;2;75;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;55;1;2;5519;04;47;224,128552968146;47
3705053;1;3;1;70;1;6;48;1; ;2;6;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;60;01;1;1;0115;04;47;173,659872328233;47
3705067;1;5;1;70;1;13;48;1; ;2;13;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;85;1;1;8511;04;47;93,9702570306479;47
3705069;1;4;1;70;1;12;48;1; ;2;20;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;42;45;52;1;1;5241;04;47;234,708091682231;47
3705091;1;3;1;70;1;40;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;04;15;112,656524131548;15
3705101;1;1;1;70;1;3;40;1; ;2;3;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;750000;2;45;45;52;1;1;5234;04;15;87,1494080522075;15
3705104;1;1;1;70;1;2;48;1; ;2;3;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;04;15;80,600218673453;15
3705123;1;6;1;70;1;16;40;1; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;04;63;137,936954916434;63
3705126;1;2;1;70;1;8;40;1; ;2;260;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;04;63;152,437742448482;63
3705130;1;2;1;70;1;52;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;04;63;152,095288160452;63
3705146;1;4;1;70;1;18;30;1; ;2;312;1; ;6;5; ; ; ;1; ; ; ; ; ; ; ;2; ;2;13;06;85;1;2;8513;04;76;447,576795580115;76
3705147;1;2;1;70;1;4;24;1; ;2;13;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;21;74;1;1;7421;04;76;741,273402652972;76
3705151;1;1;1;70;1;8;48;4; ;2;9;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;04;76;1262,05758606273;76
