DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
6,000,906;1;1;1;70;05;12;48;908,526;1;;2;12;1;;3;2;5;;2;;;;;;;;;;;1;1;500000;74;21;21;1;1;7490;11;05;1187.847954
6,000,921;1;2;1;70;05;46;48;908,526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;38;;1;2;;11;05;1097.649555
6,000,936;1;2;1;70;05;2;48;1,800,000;1;;2;2;1;;9;2;1;;1;1;;;1;;;;;;;;2;;82;19;19;1;1;8220;11;05;1081.154898
6,000,946;1;3;1;70;05;24;24;908,526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;11;05;1039.1274078
6,000,960;1;3;1;70;05;4;48;908,526;1;;2;4;4;;1;2;4;;2;;;;;;;;;;;1;1;600000;96;16;16;1;1;9609;11;05;1493.1682128
6,000,969;1;4;1;70;08;12;48;908,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;11;08;710.22793597
6,000,970;1;2;1;70;08;4;48;906,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;;11;08;485.21169146
6,000,971;1;1;1;70;08;108;40;900,000;1;;2;16;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;33;45;1;2;4722;11;08;653.34280755
6,000,977;1;2;1;70;08;12;48;2,000,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;1;;11;08;525.94889509
6,000,979;1;1;1;70;08;4;48;908,000;1;;2;4;1;;2;2;2;;2;;;;;;;;;;;1;1;280000;31;95;93;1;1;3110;11;08;641.94196949
