DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;clase;MES;ESC;DPTO;fex_c_2011
5179313;1;2;1;10;2;2;8;1992;27;2;5; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;1844,45098874096
5179313;1;3;1;10;3;1;3;2009;11;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;27;1844,45098874096
5179313;1;4;1;10;2;1;9;2010;9;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;1844,45098874096
5179313;1;5;1;10;2;2;7;2013;7;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;27;1844,45098874096
5179313;1;6;1;10;2;1;11;2017;2;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;27;1844,45098874096
5179314;1;1;1;10;1;2;10;1950;69;1;5; ;4;3; ;3; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;783,940604751329
5179314;1;2;1;10;2;1;4;2009;11;4;5; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;27;783,940604751329
5179315;1;1;1;10;1;1;5;1956;64;1;5; ;2;3; ;3; ;1;2; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;1072,14693831248
5179315;1;2;1;10;2;2;8;1966;53;2;5; ;2;3; ;3; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1072,14693831248
5179315;1;3;1;10;3;1;1;2004;16;4;5; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;07;10;27;1072,14693831248
5179315;1;4;1;10;2;1;1;2013;7;4;5; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;1072,14693831248
5179315;1;5;1;10;2;1;10;2014;5;4;5; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;27;1072,14693831248
5179316;1;1;1;10;2;1;11;1954;65;1;5; ;2;3; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;755,550952696176
5179316;1;2;1;10;2;2;12;1970;49;2;5; ;2;3; ;3; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;1;1;150000;2;1;2; ;3;5; ; ;2;07;5;27;755,550952696176
5179316;1;3;1;10;3;2;1;1998;22;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;07;10;27;755,550952696176
5179316;1;4;1;10;3;2;7;2012;8;4;5; ; ;2; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;755,550952696176
5179316;1;5;1;10;5;2;9;2000;19;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;755,550952696176
5179316;1;6;1;10;5;1;11;2018;1;4;5; ; ;2; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;27;755,550952696176
5179316;1;7;1;10;7;1;7;2004;16;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;07;10;27;755,550952696176
5179317;1;1;1;10;1;1;8;1962;57;1;5; ;2;3; ;2; ;1;2; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;487,618429590878
5179317;1;2;1;10;2;2;4;1968;52;2;5; ;2;3; ;1;4;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;487,618429590878
5179317;1;3;1;10;3;1;3;2003;17;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;07;8;27;487,618429590878
5179317;1;4;1;10;4;2;8;1953;66;9;5; ;5;3; ;3; ; ; ; ;1; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2;2;2; ;1;0; ; ;2;07;0;27;487,618429590878
5179318;1;1;1;10;1;1;6;1988;32;1;5; ;2;3; ;3; ;1;2; ;1; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1091,34554868287
5179318;1;2;1;10;2;2;1;1992;28;2;5; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;1091,34554868287
5179318;1;3;1;10;3;2;11;2008;11;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;27;1091,34554868287
5179318;1;4;1;10;2;2;12;2012;7;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;1091,34554868287
5179319;1;1;1;10;1;2;2;1986;34;1;5; ;2;2; ;2; ;1;2; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;1826,90729749299
5179319;1;2;1;10;2;1;5;1990;30;2;5; ;2;2; ;2; ;1;1; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1826,90729749299
5179319;1;3;1;10;3;1;7;2009;11;3;5; ;6;1;2;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;27;1826,90729749299
5179319;1;4;1;10;1;1;5;2012;8;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;1826,90729749299
5179319;1;5;1;10;1;1;10;2014;5;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;27;1826,90729749299
5179320;1;1;1;10;1;1;2;1975;45;1;5; ;2;2; ;2; ;1;2; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;07;7;27;1614,71400661387
5179320;1;2;1;10;2;2;11;1974;45;2;5; ;2;2; ;2; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;1614,71400661387
5179320;1;3;1;10;3;1;12;1993;26;3;5; ;6;1;1;1;2; ; ; ;1; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;07;8;27;1614,71400661387
5179320;1;4;1;10;4;1;1;2005;15;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;07;7;27;1614,71400661387
5179321;1;1;1;10;1;2;6;1988;32;1;5; ;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;6;1;3; ;2;07;12;27;1289,99600980528
5179321;1;2;1;10;2;1;2;1976;44;2;5; ;2;3; ;3; ;1;1; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;1289,99600980528
5179321;1;3;1;10;3;1;5;2007;13;3;5; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;27;1289,99600980528
5179321;1;4;1;10;1;2;11;2011;8;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;07;2;27;1289,99600980528
5179321;1;5;1;10;1;2;11;2011;8;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;27;1289,99600980528
5179322;1;1;1;10;1;1;10;1967;52;1;5; ;2;2; ;2; ;1;2; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1097,87202832113
5179322;1;2;1;10;2;2;7;1980;40;2;5; ;2;3; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ;2;1;24; ; ; ;2;1;2; ;3;2; ; ;2;07;2;27;1097,87202832113
5179323;1;1;1;10;1;1;11;1948;71;1;5; ;2;3; ;3; ;1;2; ;1; ;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;487,618429590878
5179323;1;2;1;10;2;2;3;1961;59;2;5; ;2;3; ;3; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;487,618429590878
5179323;1;3;1;10;3;1;8;1995;24;9;5; ;6;2; ;2; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;487,618429590878
5179324;1;1;1;10;1;1;5;1976;44;1;5; ;2;3; ;2; ;1;2; ;1;1;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1097,87202832113
5179324;1;2;1;10;2;2;8;1977;42;2;5; ;2;3; ;2; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1097,87202832113
5179325;1;1;1;10;1;2;12;1940;79;1;5; ;5;3; ;3; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;626,904005763112
5179326;1;1;1;10;1;2;8;1990;29;1;5; ;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;07;6;27;1115,4157195691
5179326;1;2;1;10;2;1;1;1995;25;2;5; ;2;2; ;2; ;1;1; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1115,4157195691
5179326;1;3;1;10;1;2;7;2014;6;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;27;1115,4157195691
5179327;1;1;1;10;1;1;5;1978;42;1;5; ;2;3; ;2; ;2; ; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;1335,04223848628
5179328;1;1;1;10;1;2;5;1970;50;1;1;280_01;4;3; ;2; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1216,18996559258
5179328;1;2;1;10;2;1;8;2001;18;3;1;280_01;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;27;1216,18996559258
5179328;1;3;1;10;1;1;12;2010;9;3;1;280_01; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;27;1216,18996559258
5179328;1;4;1;10;1;2;7;2014;6;3;1;280_01; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;27;1216,18996559258
5179328;1;5;1;10;1;2;12;2015;4;3;1;280_01; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1216,18996559258
5179329;1;1;1;10;1;2;5;1995;25;1;5; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ;1;1; ;1; ; ;3; ; ;2;1;1;2;6;1;2;2;2;07;12;27;1401,41505466092
5179329;1;2;1;10;2;1;6;1993;27;2;5; ;2;2; ;3; ;1;1; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;1401,41505466092
5179329;1;3;1;10;1;2;9;2013;6;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;27;1401,41505466092
5179329;1;4;1;10;1;1;5;2020;0;3;5; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2;07; ;27;1401,41505466092
5179330;1;1;1;10;1;2;7;1984;36;1;1;280_01;2;2; ;3; ;1;2; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1132,95941081707
5179330;1;2;1;10;2;1;2;1995;25;2;1;280_01;2;2; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1132,95941081707
5179330;1;3;1;10;1;2;10;2011;8;3;1;280_01; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;27;1132,95941081707
5179330;1;4;1;10;1;2;1;2017;3;3;1;280_01; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1132,95941081707
5179331;1;1;1;10;1;2;4;1992;28;1;1;280_01;2;3; ;2; ;1;2; ;1; ; ; ; ; ;1; ; ; ;1; ; ;1;1;80000;2;1;2; ;5;11;2; ;2;07;11;27;1150,50310206503
5179331;1;2;1;10;2;1;5;1990;30;2;1;280_01;2;3; ;3; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;1150,50310206503
5179331;1;3;1;10;1;2;7;2014;6;3;1;280_01; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;27;1150,50310206503
5179331;1;4;1;10;1;2;5;2016;4;3;1;280_01; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1150,50310206503
5179331;1;5;1;10;1;2;1;2020;0;3;1;280_01; ;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;27;1150,50310206503
5179333;1;1;1;10;1;2;12;1988;31;1;5; ;4;3; ;2; ; ; ; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;07;1;27;1017,53950447017
5179333;1;2;1;10;2;2;12;2005;14;3;5; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;07;2;27;1017,53950447017
5179333;1;3;1;10;1;2;1;2013;7;3;5; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;07;0;27;1017,53950447017
5179333;1;4;1;10;1;1;5;2015;5;3;5; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;07;0;27;1017,53950447017
5179350;1;1;1;10;1;1;5;1964;56;1;5; ;4;3; ;2; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;6;4;2;2;2;07;15;27;2213,9002082369
5179367;1;1;1;10;1;1;6;1976;44;1;5; ;2;2; ;3; ;1;2; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;5346,69992633925
5179367;1;2;1;10;2;2;2;1985;35;2;5; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;5346,69992633925
5179367;1;3;1;10;2;2;12;2012;7;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;07;1;27;5346,69992633925
5179367;1;4;1;10;2;1;4;2020;0;3;5; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;27;5346,69992633925
5179373;1;1;1;10;1;1;12;1971;48;1;5; ;2;2; ;3; ;1;2; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;07;6;27;4695,91350714106
5179373;1;2;1;10;2;2;9;1974;45;2;5; ;2;2; ;3; ;1;1; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;4695,91350714106
5179373;1;3;1;10;3;2;4;1999;21;3;5; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;4695,91350714106
5179373;1;4;1;10;4;1;6;2000;20;3;5; ;6;1;1;1;2; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;4695,91350714106
5179374;1;1;1;10;1;2;12;1935;84;1;5; ;5;3; ;3; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;07;3;27;2391,77365070223
5179375;1;1;1;10;1;2;10;1960;59;1;5; ;4;3; ;2; ; ; ; ;1;1; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;3858,96931549102
5179375;1;2;1;10;2;1;5;1982;38;3;5; ;4;3; ;1;1; ; ; ;1;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;07;9;27;3858,96931549102
5179375;1;3;1;10;3;2;5;1988;32;3;5; ;4;3; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;3858,96931549102
5179375;1;4;1;10;3;1;4;2019;1;4;5; ; ;2; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2;07; ;27;3858,96931549102
5179375;1;5;1;10;5;2;12;2007;12;4;5; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;07;4;27;3858,96931549102
5179376;1;1;1;10;1;2;3;1984;36;1;5; ;4;3; ;3; ; ; ; ;1;1; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;27;4695,91350714106
5179376;1;2;1;10;2;1;11;2007;12;3;5; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;27;4695,91350714106
5179376;1;3;1;10;3;2;7;2010;10;3;5; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;07;3;27;4695,91350714106
5179376;1;4;1;10;4;1;10;1971;48;5;5; ;6;3; ;3; ; ; ; ;1; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;07;9;27;4695,91350714106
5179377;1;1;1;10;1;2;5;1948;72;1;5; ;5;3; ;3; ; ; ; ;1;1; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;3764,50857932009
5179377;1;2;1;10;2;1;12;1970;49;3;5; ;4;3; ;1;1; ; ; ;1;1;1; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;27;3764,50857932009
5179378;1;1;1;10;1;1;3;1946;74;1;5; ;4;3; ;3; ; ; ;1;1; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;07;2;27;2213,9002082369
5179388;1;1;1;10;1;1;2;1968;52;1;6; ;2;2; ;2; ;2; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ;3; ; ;1;1;2; ;3;4; ; ;2;07;4;47;833,803837675276
5179389;1;1;1;10;1;2;11;1955;64;1;6; ;5;3; ;3; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1;2;300000;2;1;2; ;3;4; ; ;2;07;4;47;882,334009236421
5179389;1;2;1;10;2;2;2;1978;42;3;6; ;4;3; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;47;882,334009236421
5179389;1;3;1;10;2;2;4;2002;18;4;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;07;10;47;882,334009236421
5179389;1;4;1;10;2;1;7;2008;12;4;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;07;5;47;882,334009236421
5179389;1;5;1;10;2;1;10;2010;9;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;07;2;47;882,334009236421
5179389;1;6;1;10;6;1;7;1984;36;3;6; ;4;3; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;882,334009236421
5179389;1;7;1;10;1;1;1;1976;44;5;6; ;5;3; ;2; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ;1;1;35112;2;1;2; ;5;11;2; ;2;07;11;47;882,334009236421
5179389;1;8;1;10;8;1;12;1999;20;5;6; ;1;1;7;3; ;1;9; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1;5; ;2;1;1;1;6;1;2;2;2;07;12;47;882,334009236421
5179389;1;9;1;10;9;2;1;2002;18;9;6; ;1;2; ;2; ;1;8; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;07;10;47;882,334009236421
5179389;1;10;1;10;10;1;10;2001;18;5;6; ;1;1;7;3; ;1;11; ; ; ;1;1; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;07;11;47;882,334009236421
5179389;1;11;1;10;11;2;1;2002;18;9;6; ;1;3; ;2; ;1;10; ; ; ; ; ; ; ; ; ; ;1;2;1;36; ; ; ;2;1;2; ;4;8; ; ;2;07;8;47;882,334009236421
5179389;1;12;1;10;1;1;8;2003;16;5;6; ;6;1;7;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;5; ;2;1;1;1;4;7; ; ;2;07;7;47;882,334009236421
5179389;1;13;1;10;1;1;11;2005;14;5;6; ;6;1;7;3; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;1;5; ;2;1;1;1;4;0; ; ;2;07;5;47;882,334009236421
5179390;1;1;1;10;1;1;1;1944;76;1;6; ;2;3; ;3; ;1;2; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;378,034875916821
5179390;1;2;1;10;2;2;11;1962;57;2;6; ;2;2; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;378,034875916821
5179390;1;3;1;10;3;1;1;1995;25;3;6; ;1;1;1;1;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;47;378,034875916821
5179390;1;4;1;10;4;2;9;1993;26;5;6; ;1;2; ;2; ;1;3; ;1; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;378,034875916821
5179391;1;1;1;10;2;1;10;1960;59;1;6; ;3;2; ;2; ;1;2; ; ;1; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;07;11;47;663,649932759094
5179391;1;2;1;10;2;2;4;1981;39;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;663,649932759094
5179391;1;3;1;10;2;2;6;1998;22;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;34000;2;1;2; ;5;11;2; ;2;07;11;47;663,649932759094
5179391;1;4;1;10;4;2;11;1999;20;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;6;0;2;2;2;07;11;47;663,649932759094
5179391;1;5;1;10;2;2;12;2001;18;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;6;1;2;2;2;07;12;47;663,649932759094
5179391;1;6;1;10;2;2;1;2006;14;5;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;07;7;47;663,649932759094
5179392;1;1;1;10;1;1;2;1979;41;1;6; ;3;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;928,524901895884
5179392;1;2;1;10;2;2;8;1989;30;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;07;5;47;928,524901895884
5179392;1;3;1;10;3;1;6;1999;21;3;6; ;6;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;07;9;47;928,524901895884
5179392;1;4;1;10;2;1;9;2011;8;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;07;2;47;928,524901895884
5179392;1;5;1;10;2;2;6;2015;5;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;07;0;47;928,524901895884
