Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2988566;1;2;1;70;2;52;40;3; ;2;12;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;2;0117;06;25;1501,18098962903
2988600;1;2;1;70;2;48;48;3; ;2;48;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;2;5521;06;25;993,31239242345
2988685;1;4;1;70;2;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;06;25;736,499337436332
2988689;1;2;1;70;2;24;72;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;06;25;677,94049737049
2988690;1;1;1;70;2;12;72;4; ;2;240;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;58;74;1;1;7492;06;25;676,210837892482
2988717;1;2;1;70;2;4;40;3; ;2;8;4; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2;54;53;55;1;1;5529;06;44;1349,60155206999
2988762;1;4;1;70;2;40;40;2; ;2;58;2; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8041;06;44;488,596244793853
2988870;1;5;1;70;2;20;40;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;06;44;411,004856864696
2989119;1;5;1;70;2;10;30;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;06;15;2340,73874898113
2989172;1;3;1;70;2;12;20;4; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;62;01;1;1;0115;06;15;1123,08287333471
2989198;1;3;1;70;2;12;40;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;06;15;976,611775199544
