DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,DSCY,OFICIO1,OFICIO2,RAMA2D_D,RAMA4D_D,DPTO,fex_c_2011
804079,1,1,1,70,8,16,60,1,,2,16,4,,2,7,,,,,,,,,,1,,2,,2,1,2,45,45,52,5211,8,724.518.735.994.265
804079,1,2,1,70,8,15,72,3,,2,16,3,,1,8,,,,,,,,,,1,,2,,2,1,2,54,54,95,9500,8,724.518.735.994.265
804079,1,4,1,70,8,48,48,1,,2,20,1,,2,8,,,,,,,,,,1,,2,,2,1,2,37,37,15,1551,8,724.518.735.994.265
804085,1,3,1,70,8,28,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,2,45,,,,8,643.345.307.805.478
804091,1,2,1,70,8,12,56,1,,2,12,1,,7,2,,,,,,,,,,1,,2,,2,1,1,16,45,26,2610,8,502.775.263.795.318
804106,1,4,1,70,8,12,56,1,,2,60,2,,9,1,,,,,,,,,,1,,2,,2,1,1,58,58,75,7524,8,47.632.004.215.121
804115,1,3,1,70,8,12,56,1,,2,36,1,,8,4,,,,,,,,,,1,,2,,2,1,1,98,45,50,5051,8,407.647.536.684.431
804171,1,2,1,70,11,8,48,1,,2,9,1,,4,1,,,,,,,,,,1,,2,,2,1,1,45,45,52,5243,11,251.811.697.760.558
804176,1,3,1,70,11,4,48,1,,2,5,1,,3,1,,,,,,,,,,1,,2,,2,1,1,53,53,55,5521,11,270.452.860.323.992
804189,2,6,2,70,11,8,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,54,,,,11,220.546.412.618.492
804197,1,3,1,70,11,3,48,1,,2,12,1,,9,4,,,,,,,,,,1,,2,,2,1,1,2,2,65,6512,11,176.035.474.562.741
804203,1,3,1,70,11,3,48,1,,2,128,1,,9,8,,,,,,,,,,1,,2,,2,1,1,39,33,65,6512,11,156.823.427.406
804230,1,3,1,70,11,4,60,1,,2,2,1,,3,4,,,,,,,,,,1,,2,,2,1,1,58,58,70,7020,11,296.752.402.684.497
804239,1,4,1,70,11,20,48,1,,2,16,1,,4,7,,,,,,,,,,1,,2,,2,1,2,45,95,45,4521,11,201.184.621.373.914
804243,1,1,1,70,11,16,48,1,,2,16,1,,9,8,,,1,,,,,,,,,2,,2,1,2,98,98,64,6421,11,234.133.592.750.809
804246,1,2,1,70,11,1,24,1,,2,52,1,,2,8,,,,,,,,,,1,,2,,2,1,1,57,57,93,9302,11,213.331.332.838.549
804260,2,1,2,70,11,30,60,4,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,2,41,56,93,9301,11,234.357.017.008.142
804261,1,2,1,70,11,1,48,1,,2,72,3,,1,8,,,,,,,,,,1,,2,,2,1,1,45,54,95,9500,11,210.588.946.226.891
