Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3487135;1;1;1;80;76;1;4;6; ;2; ;2; ; ; ; ;8;2;1;06;76;702,926731795801
3487135;1;2;1;80;76;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;76;702,926731795801
3487135;1;3;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;702,926731795801
3487140;1;2;1;80;76;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;76;793,38988033744
3487141;1;1;1;80;76;1;4;1; ;3; ;2; ; ; ; ;10;2;1;06;76;757,591705423082
3487141;1;2;1;80;76;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;76;757,591705423082
3487142;1;4;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1153,28059409749
3487143;1;2;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;76;793,38988033744
3487145;1;1;1;80;76;1;3;5; ;3; ;2; ; ; ; ;10;2;1;06;76;760,129161449682
3487146;1;2;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;76;1280,08228347986
3487146;1;3;1;80;76;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;76;1280,08228347986
3487146;1;5;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1280,08228347986
3487146;1;7;1;80;76;1;1;7; ;2; ;2; ; ;1; ;4;1;1;06;76;1280,08228347986
3487147;1;1;1;80;76;1;4;7; ;3; ;2; ; ; ; ;8;2;1;06;76;866,476738669402
3487148;1;2;1;80;76;1;4;3; ;2; ;2; ; ; ; ;4;2;1;06;76;1302,48825640672
3487150;1;3;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1590,31602787521
3487151;1;1;1;80;76;1;1;5; ;3; ;2; ; ; ; ;11;2;1;06;76;738,72490671016
3487151;1;2;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;76;738,72490671016
3487152;1;2;1;80;76;1;4;9;LA EDAD;2; ;2; ; ; ; ;8;2;1;06;76;1623,62353008424
3487153;1;4;1;80;76;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;76;1842,60971828715
3487156;1;1;1;80;68;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;479,981376296742
3487156;1;4;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;479,981376296742
3487159;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;398,046934154082
3487159;1;4;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;398,046934154082
3487161;1;1;1;80;68;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;68;503,734377552456
3487161;1;2;1;80;68;1;1;4; ;2; ;2; ; ; ; ;4;2;1;06;68;503,734377552456
3487163;1;2;1;80;68;1;3;4; ;2; ;2; ; ; ; ;4;2;1;06;68;405,804849121514
3487163;1;3;1;80;68;2; ; ; ;2; ;2; ;1;1; ;8; ;1;06;68;405,804849121514
3487165;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;68;488,445502544506
3487166;1;1;1;80;68;1;2;1; ;1;2;2; ; ; ; ;8;2;1;06;68;430,160102578007
3487166;1;2;1;80;68;1;2;7; ;2; ;2; ; ; ; ;9;2;1;06;68;430,160102578007
3487167;1;1;1;80;68;1;4;3; ;2; ;2; ; ; ; ;4;2;1;06;68;482,577715725377
3487168;1;1;1;80;68;1;4;4; ;3; ;2; ; ; ; ;4;2;1;06;68;455,723857370123
3487172;1;1;1;80;68;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;68;492,581910439135
3487173;1;3;1;80;68;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;203,498845594033
3487173;1;5;1;80;68;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;203,498845594033
3487177;1;3;1;80;68;1;1;2; ;2; ;1;150000; ; ; ;2;2;1;06;68;418,345154327847
3487177;1;4;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;418,345154327847
3487184;1;1;1;80;50;1;2;1; ;2; ;2; ; ; ; ;9;2;1;06;50;219,843400219274
3487184;1;2;1;80;50;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;50;219,843400219274
3487185;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;183,004655202689
3487188;1;1;1;80;50;1;2;5; ;3; ;2; ; ; ; ;10;2;1;06;50;240,066747149759
3487188;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;240,066747149759
3487188;1;4;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;240,066747149759
3487188;1;5;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;240,066747149759
3487192;1;3;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;180,43111671542
3487193;1;2;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;180,43111671542
3487193;1;3;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;50;180,43111671542
3487195;1;1;1;80;50;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;06;50;122,932786099372
3487195;1;2;1;80;50;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;06;50;122,932786099372
3487195;1;3;1;80;50;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;50;122,932786099372
3487204;1;1;1;80;17;1;4;4; ;3; ;2; ; ; ; ;4;2;1;06;17;191,037640624839
3487204;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;191,037640624839
3487205;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;17;142,552765787865
3487206;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;171,256208606004
3487207;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;11;2;1;06;17;195,203351477134
3487208;1;1;1;80;17;1;2;4; ;1;2;2; ; ; ; ;4;2;1;06;17;164,815261628826
3487210;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;17;144,095695591149
3487210;1;2;1;80;17;1;4;7; ;2; ;2; ; ; ; ;9;2;1;06;17;144,095695591149
3487211;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;06;17;180,906256053801
3487211;1;2;1;80;17;1;2;6; ;2; ;2; ; ; ; ;9;2;1;06;17;180,906256053801
3487212;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;8;2;1;06;17;179,844663373758
3487214;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;17;175,485733932517
3487214;1;3;1;80;17;1;2;6; ;2; ;2; ; ; ; ;2;2;1;06;17;175,485733932517
3487214;1;4;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;175,485733932517
