Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3499837;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1282,84936354476
3499837;1;6;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;68;1282,84936354476
3499845;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;68;1783,10711164262
3499845;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1783,10711164262
3499845;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1783,10711164262
3499853;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;4;2;1;06;68;1099,93059571171
3499854;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;68;1102,77570233427
3499854;2;3;2;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;68;1102,77570233427
3499855;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;68;927,184210836609
3499857;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;06;68;1218,42463442651
3499858;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;68;1417,28392326785
3499859;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;68;732,243465540519
3499859;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;732,243465540519
3499864;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;68;963,101313545787
3500314;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;19;1312,32141093718
3500316;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;19;3589,35341819033
3500319;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;19;4115,90455387483
3500319;1;5;1;80;2;2; ; ; ;2; ;2; ;1;2; ;9; ;1;06;19;4115,90455387483
3500319;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;19;4115,90455387483
